gene,eQTL_MR_OR,eQTL_MR_pval,eQTL_MR_FDR,eQTL_MHC_region
NLRX1,0.52,0.007593952,0.188827381,FALSE
TIMELESS,1.41,0.0418863,0.400034548,FALSE
CBX5,1.48,0.006511257,0.171235264,FALSE
RNASEH2B,0.92,0.005485923,0.159401225,FALSE
STAT5A,1.23,0.02910273,0.341001465,FALSE
BAZ1A,1.4,0.00611198,0.168122185,FALSE
BMPR2,1.1,0.02494074,0.31914797,FALSE
RBM39,0.7,0.007585082,0.188827381,FALSE
BCL2L1,1.49,0.03381143,0.365615195,FALSE
SETD1A,1.28,0.02024299,0.29871728,FALSE
RASSF4,1.1,0.02896281,0.340500435,FALSE
DPP4,0.8,0.02000794,0.297767456,FALSE
PPARG,0.86,0.002096165,0.086610228,FALSE
RAF1,1.29,0.00187655,0.080944263,FALSE
JUNB,0.57,0.01935382,0.293167195,FALSE
ERRFI1,1.89,0.01983147,0.296264425,FALSE
CHEK2,0.67,0.01647849,0.273562651,FALSE
ATM,0.82,0.01852535,0.28913173,FALSE
NEK4,0.58,0.008976132,0.205743429,FALSE
DOT1L,0.73,0.01303715,0.244267652,FALSE
DNMT3B,0.64,0.01059233,0.221985588,FALSE
IL24,1.28,0.004310702,0.135908297,FALSE
ARPC1B,1.18,0.002539438,0.099430713,FALSE
FBXO4,0.65,0.01416344,0.256493854,FALSE
BRIP1,1.56,0.004759739,0.145766707,FALSE
CDKN2AIP,0.7,0.004207132,0.133716963,FALSE
TOM1,0.94,0.002729254,0.103601554,FALSE
TGFB2,1.88,0.005674633,0.161541843,FALSE
EP300,0.84,0.001699616,0.075931374,FALSE
CBX8,1.72,0.004663539,0.144707956,FALSE
TERF2,0.77,0.001049135,0.054908229,FALSE
ZNF217,0.87,0.002155978,0.088193989,FALSE
WNT16,1.04,0.8634466,0.972110029,FALSE
MAD1L1,1.04,0.4240172,0.833893776,FALSE
KDM1A,1.08,0.3606496,0.804266359,FALSE
MEOX1,1.01,0.8897058,0.977207774,FALSE
GGCT,1.03,0.4850531,0.861810425,FALSE
MATK,1.05,0.6674489,0.935012061,FALSE
PSMB1,1.03,0.4748094,0.85719011,FALSE
NADK,1.07,0.5962194,0.910697707,FALSE
SPAG9,1.04,0.7141009,0.943106167,FALSE
ELOA,1.04,0.154003,0.637733553,FALSE
PIK3C2A,0.99,0.6478699,0.929258494,FALSE
BRCA1,0.97,0.521956,0.874705138,FALSE
ERCC1,1.03,0.5372069,0.882572974,FALSE
MVP,1.07,0.2652137,0.74334597,FALSE
TACC3,1,0.9360608,0.985279163,FALSE
MDH1,1.14,0.1079708,0.579506858,FALSE
ZMYND11,0.79,0.276092,0.750057341,FALSE
NCAPH2,0.82,0.2712048,0.746186999,FALSE
PRKCH,1.06,0.773678,0.955519411,FALSE
TBPL1,1.11,0.05199162,0.437988567,FALSE
GRN,0.98,0.7572869,0.951552596,FALSE
MAP2K3,0.98,0.9129355,0.982723179,FALSE
NSUN2,1,0.791312,0.959272702,FALSE
VCAN,0.78,0.263465,0.742525167,FALSE
