"gene","GSM1332201","GSM1332202","GSM1332203","GSM1332204","GSM1332205","GSM1332206","GSM1332207","GSM1332208","GSM1332209","GSM1332210","GSM1332221","GSM1332222","GSM1332223","GSM1332224","GSM1332225","GSM1332226","GSM1332227","GSM1332228","GSM1332229","GSM1332230","GSM1337304","GSM1337305","GSM1337306","GSM1337307","GSM1337308","GSM1337309","GSM1337310","GSM1337311","GSM1337312","GSM1337313","GSM1337314","GSM1337315","GSM1337316","GSM1337317","GSM1337318","GSM1337319","GSM1337320","GSM1337321","GSM1337322","GSM1337323","GSM1337324","GSM1337325","GSM1337326","GSM302859","GSM302864","GSM302866","GSM302870","GSM302872","GSM302882","GSM302896","GSM302900","GSM302924","GSM302927","GSM302933","GSM302943","GSM303364","GSM303366","GSM303368","GSM303520","GSM303522","GSM303523","GSM303525","GSM303531","GSM303533"
"A1CF",8.09755694148694,7.50357078967654,8.37700376888098,8.2456110452367,8.4587903093506,8.37485613710459,8.81275351270547,8.84456956934959,8.22187576866938,8.29531179047335,8.36656271355961,7.99004049785314,8.0014610299865,7.96586318650124,8.75867126319215,8.65721011710062,8.71258132683437,8.34825790046678,8.33443538244143,8.4502159814653,6.91856299447334,7.35568675248351,7.60762043034273,7.4163027880584,7.5520243889262,6.70891421149349,6.90233016470705,6.71964748774945,6.2193958249634,7.08043090308805,7.34665365583225,7.4875620398158,7.58658928762616,7.12878534111944,7.04222285423096,6.29263231108473,6.84927233344742,7.20313772225934,6.46034050875715,7.23475423204179,7.17753732829737,7.18973752611646,7.19532671545354,6.91880450859958,7.35554152871801,7.6077781916849,7.41611459598906,7.34632705485295,7.4875620398158,7.58671153795823,7.12878534111944,7.04268034547035,6.2927882593552,6.84967275984338,7.20328578604407,7.23475423204179,7.17737292420503,7.18988669285155,7.19532671545354,7.5520243889262,6.90204065640694,6.71950171082546,6.2199018367387,7.08062994802039
"A2M",11.5528441975548,11.9060254495976,12.2586534195429,11.8869621827498,12.6118910536834,12.4635009818637,12.4464771217355,12.2802630435447,12.6246140972125,12.1836867852828,11.93303840567,12.2427459910222,12.7113840134998,12.0096365633599,12.4177261251571,12.6053330114679,12.7469886307924,12.3605766632467,12.597507687801,12.1502154253913,12.7155127521542,12.5465351730015,12.7192855195767,11.3202762451632,11.289844081016,12.1533424853262,12.8485287651575,12.5695006500517,12.4355554064425,12.5769928754119,12.2872449862683,12.593653418949,12.7113840134998,12.4675855213627,12.7959445749895,12.4177261251571,12.1018837087719,12.4073368151131,12.5067622177498,12.5027738630167,12.7317460175505,12.514372714657,11.9776954756141,12.7155127521542,12.5465351730015,12.7192855195767,11.3202762451632,12.2872449862683,12.593653418949,12.7113840134998,12.4675855213627,12.7959445749895,12.4177261251571,12.1018837087719,12.4073368151131,12.5027738630167,12.7317460175505,12.514372714657,11.9776954756141,11.289844081016,12.8485287651575,12.5695006500517,12.4355554064425,12.5769928754119
"A4GALT",6.60696671776889,6.68263263714999,6.95380389037377,7.82212944721993,7.72326569632998,6.50433911322444,8.2875231213825,8.5076246598628,6.99522919274677,7.01662117189913,6.8682997953491,6.47293048295889,6.49463256789599,4.41719120643995,6.28602478841926,5.26869976395183,7.10809661735775,6.57094230301761,6.28852267382395,6.58841694848133,6.55429243507384,7.87920621854553,6.37053177647468,5.8662023120552,5.83962847442095,7.9556301594475,8.37584913640837,7.90058417858363,8.23202411968024,7.44938641224198,7.72906773068601,7.62739744908353,6.81712353628398,7.31746775897412,7.60204152441318,7.84015406909335,7.31982415259861,7.38330409501124,7.22588374011298,7.0015870018802,7.2011207424607,7.30266214228488,7.5643852052221,6.55445041891397,7.87937743449506,6.36943562917969,5.86486829811475,7.72949895228481,7.62730811243148,6.81712353628398,7.3176394648407,7.60204152441318,7.83970119790162,7.31995373086823,7.38330409501124,7.00147747607009,7.2005512038068,7.3027332117919,7.56460477972084,5.8399175971557,8.37584913640837,7.90058417858363,8.23202411968024,7.44923771153372
"A4GNT",6.98416510731157,6.50606906712509,7.81850726458312,7.18823026941399,6.9180817708938,6.91022946370474,7.47921822377909,7.33933055673665,7.27334979774904,7.46599310186989,7.96932926320658,7.484489031532,5.59674990320617,7.07222774007232,6.81055236333112,7.23041794690202,5.09233106507509,7.14824109828247,6.78613540340493,3.92162846807114,7.50154469590557,7.06556652923714,6.87959566245102,6.77981461981697,6.3372712596931,6.28239705217308,6.88850688555829,6.51883507768743,6.81813235289321,7.15950633630244,7.28239705760246,6.33247635387075,6.65232079781292,6.58031443052552,7.18173116924902,6.28725131339466,6.52961780224379,6.33097848385508,5.8815282408105,6.72263754881807,7.27395013455149,7.12011698907504,6.84612771663784,7.5016909571666,7.06530294662423,6.87945920063778,6.78047692332689,7.28239705760246,6.33298166892938,6.65165935707185,6.58013479093099,7.18173116924902,6.28776427908684,6.52961780224379,6.33156290526006,6.72229148133413,7.27416084268044,7.119842867044,6.84599417689072,6.33742751773204,6.88897722829417,6.51797947459716,6.81825481308341,7.15978917451136
"AAAS",4.26838842776626,7.05986456066659,5.11023798656627,6.79000969787875,5.65267757123991,4.76259701211023,5.85352767508699,5.29682751769518,5.9804068779791,5.57224191598937,5.25693417680766,4.43195847972524,6.38002204475333,5.97646955205663,5.26596225287461,4.83789508252578,5.63886973329275,7.42316114403673,6.16348774193362,7.04645149235183,6.44932449462623,6.88819917854285,7.60685086061017,5.2353548751749,6.58706768442642,7.60467713448757,8.10830408035607,7.79754830041721,7.59771055632132,7.79806026565559,6.07414557273239,6.56235112790831,7.33215270131365,7.09532551071832,7.43526278291541,7.28698606843702,6.95835785983912,6.86154912623793,7.5825603374796,7.91908976916614,7.67062458652479,7.61949800517682,7.40805004879595,6.44955231710442,6.88803285872056,7.60724347027708,5.2357535597672,6.07493994328334,6.56276727914399,7.33252668958519,7.09511138350782,7.43526278291541,7.28747912423438,6.95835785983912,6.86140027555445,7.91864422523304,7.67082692181848,7.61919933821746,7.40759319553043,6.58726549723228,8.10841312963069,7.79731983958111,7.59761953558088,7.79754830041721
"AACS",9.37599885678385,9.3426552355042,8.82824215128148,9.66773853527951,9.18936191533509,8.57099832228059,8.41866675158204,8.4696846016861,8.65139827970508,9.82952977959868,9.05959960575046,8.7299131073933,8.11472906434431,8.00537156449349,8.65784773605868,8.99092500143102,7.96150304662388,8.68095212091862,8.18475631109485,8.9080022250588,7.98954870043447,8.34509468888317,8.49250951027984,8.57575684187895,8.76243957394401,9.27265047311525,7.72048968621757,8.25282944011611,8.17905684538801,8.05591327901941,8.71270702457059,7.96072579645265,7.9515463629709,8.31212089698312,7.9333930420392,7.96944284742028,7.54591122183466,7.92315393823986,7.73475050486704,8.11805406396676,8.14309638097997,8.10684653735116,8.18459954488373,7.98954870043447,8.34483195421496,8.49234728049204,8.57575684187895,8.71283272230681,7.96109599740274,7.9515463629709,8.31212089698312,7.9333930420392,7.96932926320658,7.54581798312885,7.92301010634152,8.11789453229518,8.14293672737608,8.10673970914159,8.18475631109485,8.76243957394401,7.72048968621757,8.2526841124112,8.17893728478093,8.05591327901941
"AADAC",3.29389785341966,4.37876621694675,1.37900746698787,3.3365858139212,3.77278233057827,4.14536904512194,4.4773337393438,4.91426660431507,3.45681239141115,4.26778278506359,3.18543621403178,3.77807752961498,2.84658738521276,2.97635704292928,4.66230028239069,5.18509983616907,4.19345723011344,3.71777477174852,4.19082206669843,4.09989728329215,2.44705598481691,4.16062335187271,3.65509578199463,4.03119327208105,3.75421464450485,4.58059569721885,2.20473344468118,3.28290461671594,3.77408926711559,3.81578376645117,3.67414829760204,4.4222659658814,3.74707856524237,3.87113374782698,5.06345991526016,3.861582576519,3.04576014985424,3.63295558194549,3.21438609307268,2.64864968749114,3.94521838385729,3.56786412547286,3.48624936603267,2.44391192762919,4.15761959680268,3.65920030767407,4.02867964932208,3.67587109990683,4.41878325485986,3.74502904527551,3.86889354754615,5.06455317926165,3.86527905953177,3.04756396273108,3.63439164541847,2.65989585199485,3.94582712358032,3.56806659775726,3.48822382924776,3.75320958308004,2.2206698920099,3.28392104892993,3.7743122424032,3.81719066681073
"AAGAB",7.52885852077939,8.06522798877619,6.47026412804599,8.1770744340925,7.75863441002362,7.6113281029455,7.88987835028956,6.49169402099308,7.19665044832162,7.70147633955884,7.06020742043868,8.48069334870836,8.0197501651702,8.17643471024196,7.568008431975,7.69405779976657,6.68676889989958,7.4498525754628,7.70661678088863,7.40467021836522,7.87209793821159,8.21802450731072,7.65190137704278,8.17028334889345,8.28739264513675,8.05716628282955,7.9107044439546,7.83315352187006,7.72377030528419,7.78781360629356,8.11458109304521,8.28320730508003,8.32467018916829,8.41055308640158,7.51030745506796,7.87142533336038,8.2123028454769,8.16410907133027,7.93823147176424,8.34395396991255,7.77092938153743,7.78341440581311,7.85266602016428,7.87209793821159,8.21779419524288,7.65214325180828,8.17015615216394,8.11443312174611,8.28332638524259,8.32451594523688,8.41073634920919,7.51030745506796,7.87154417905497,8.21191195174969,8.16387776360569,8.34395396991255,7.77092938153743,7.78354202317368,7.85233057995776,8.28739264513675,7.91056268378587,7.83302479232694,7.72366849740165,7.78781360629356
"AAK1",7.23875819880109,8.0871165275004,7.66458742005643,7.63195337126109,9.24349798365783,8.55863834808725,8.85547778365316,8.98346617343919,8.52971292583869,8.53427294773745,7.33031762248643,6.91209517899032,8.43950726865321,8.67429752482509,9.29918253865094,9.34051844147353,9.70846984883727,9.43065763301437,9.43327531178411,8.94487704754951,8.91990829081655,8.76243957394401,8.41825249830582,8.34207313854235,8.53022616874859,7.44662765757654,8.15454437831554,8.810361294231,8.49250951027984,8.3400562633556,8.37763101827232,8.05035668404407,8.5842645334428,8.57017766912888,8.07887508815717,8.18541042033959,8.53657945811015,8.43440572151521,8.8607865461697,8.95109786481473,8.71547049629173,8.63522660834864,8.15512869788837,8.91990829081655,8.76243957394401,8.41825249830582,8.34260988743933,8.37763101827232,8.05020415928113,8.5842645334428,8.57017766912888,8.07915142118688,8.1855293687749,8.53657945811015,8.43453229875122,8.95075759450766,8.71528823389709,8.63507828496824,8.15500106912378,8.52990560305529,8.15437669966012,8.810361294231,8.49267174006764,8.3400562633556
"AAMDC",7.86329839171446,8.33205612056919,8.53887514829682,7.90649989519876,6.75877650760959,7.92405902995892,6.3296182797155,7.62160522754086,7.81497702779488,7.70370055142432,6.97052734102348,7.41984716162887,7.59462817345386,7.49113310181705,4.70697611499637,7.66644077524202,6.82776154710879,7.37941249683887,7.30336244514071,6.97446845273324,7.91390676309612,8.60506707539931,8.84244186988512,7.10126953192724,7.55056151728868,8.8245918818053,8.56306461114151,8.73238929245322,8.60687670478462,8.61158907053362,7.99423351574664,8.44480549379516,7.89215736056754,7.9830527363316,8.0637063453077,8.44292850954733,7.99877349799736,8.08283458149683,8.24259631565566,8.33508071467278,8.2221556811139,7.84761061636082,8.16880310614973,7.91379002550074,8.60506707539931,8.84244186988512,7.10178206090183,7.99433130225622,8.44490826288986,7.89205108548802,7.98282021045669,8.06350658435186,8.44292850954733,7.99889415375517,8.08254847076732,8.33508071467278,8.22230444126749,7.84771358412097,8.168602376268,7.55087867218293,8.56306461114151,8.73238929245322,8.60687670478462,8.61144058629963
"AAMP",8.66728835674256,9.22375189707969,8.75475932878537,8.89481485014196,9.05253188174214,8.13907514439431,8.71133368250131,8.35531405594952,8.98899383657947,9.32724736494895,8.63151507098729,8.90457587277836,8.7264699760669,8.54481492548795,8.52389793850342,8.42509995895372,8.31196894699023,8.8701689079952,8.7000844268108,8.72154075690623,8.33941509948567,8.36439305067979,8.42134313642278,8.8797832836333,8.74791851628581,9.23198579026357,8.58885734600049,8.8166016790551,8.62396090170922,8.8607865461697,8.34295567541655,8.16201492671932,8.27358389414135,8.35290297207598,8.23064812526805,8.36450323763706,8.19922901659177,7.99500023128338,8.06283575071775,8.51979557391943,8.09435966514117,8.24339135360806,8.52122812105602,8.33928209437159,8.36428286372253,8.42134313642278,8.8797832836333,8.34282675258505,8.1625263820868,8.27358389414135,8.35259852823989,8.23028227516165,8.36450323763706,8.19922901659177,7.99485944016921,8.52004052200848,8.09435966514117,8.24339135360806,8.52122812105602,8.74773024503715,8.58872301349634,8.81696621941128,8.62385772847761,8.8607865461697
"AANAT",2.32971353996796,1.395697245502,1.29705886284115,2.44030288166239,2.96037062782608,2.49324639645859,2.07879269475778,3.40499904327326,2.41645466052116,2.30466200100058,2.26564919202714,1.90850965983974,2.41357390626654,1.8152039169042,3.11111992664025,2.91792166305817,2.49530193790568,3.0566868701318,2.15248330749007,2.21840869594938,1.24285133948279,1.29895273384216,2.14293456530848,2.77896017222901,2.08595539063148,1.89197519994038,2.17082195540272,2.56459869459009,1.26424344584194,2.22403855166271,2.12157979826052,2.42457002568287,3.28392104892993,2.51352539573208,1.67113861258786,2.92727150012109,1.74574318772811,2.61104313930209,2.08301094192555,2.2482611545273,2.1315124247776,2.92877742039725,2.13804653379355,1.26348486198205,1.31580868486598,2.13804653379355,2.78073655512125,2.1124932672159,2.41215584610248,3.28176643803244,2.52214522561672,1.65745357867881,2.93157439134028,1.73763659298746,2.6090189052481,2.23988618767279,2.12933505528942,2.93587701894984,2.1301129908821,2.0875658426416,2.16328464421325,2.55373997136185,1.26978672064482,2.2235241026392
"AAR2",8.88720085989378,9.0547794542755,9.09836849651715,8.88865842845977,9.09226039573269,8.59599936602676,9.22105908632541,9.27661922998108,9.08638999090349,9.1563828758148,8.86006319560942,8.56076700883971,8.95142695365695,9.0429891298715,9.28951089642954,9.17734315639171,8.96911735876111,9.21845302920249,8.98165165865181,9.12912445994423,8.70567013259516,8.78422116031472,8.68477098708346,8.82787776113953,8.8959531680215,8.66380532477715,8.90970933592474,8.73487700493707,8.91851375903369,8.5208629328702,8.85006755855207,8.59793911020992,8.78114296786269,8.71859568675182,8.80728090643127,8.7575852942129,8.55290610225753,8.44016031631447,8.25107444127552,8.97030908120547,8.68717856829584,8.51413405149159,8.65615466846875,8.70596881279421,8.78422116031472,8.68477098708346,8.82770309364894,8.84990564327085,8.59793911020992,8.78114296786269,8.71859568675182,8.80728090643127,8.75745066251873,8.55290610225753,8.44016031631447,8.97016775650563,8.68702053270627,8.51395900141014,8.65615466846875,8.8959531680215,8.90970933592474,8.73487700493707,8.91851375903369,8.52100418240276
"AARS",10.2685466660627,10.1727340356995,10.4398413623063,10.3845900140229,10.2750588788951,9.63970068020633,10.8821973610313,10.3004048391469,10.036322865958,10.6882627323563,10.2266847200989,9.84972428642585,10.2809092092956,10.1761151130771,10.6015180846275,10.1042167935654,10.1291956366723,10.4115619733252,10.4879055278325,10.2033828306309,9.98931306908109,10.5060903339206,10.0554396656259,9.8598624561085,10.1796473855685,10.7431631139408,10.3926526519481,10.7020261160283,10.5153732436209,10.5112420081336,10.4426089336353,10.2176148661431,10.2966417705306,9.87590694268876,9.94310146417746,10.3836690793749,10.2545312347433,10.3853295488223,10.5305579213076,10.6676067792661,10.1471644621597,10.2291380271513,10.4824425897586,9.98931306908109,10.5060903339206,10.0554396656259,9.86011966389896,10.4426089336353,10.2176148661431,10.2966417705306,9.87590694268876,9.94310146417746,10.3836690793749,10.2545312347433,10.3853295488223,10.6676067792661,10.1471644621597,10.2291380271513,10.4824425897586,10.1796473855685,10.3926526519481,10.7020261160283,10.5153732436209,10.5112420081336
"AARSD1",7.94585673510448,7.99046185416326,7.95000521378434,8.30151267806565,6.90985734949982,7.05854696233005,7.34276723825582,7.13234445469051,6.98749866092382,6.72293147029819,7.75818670960748,6.7377941917818,7.19750771077635,7.406117123607,5.23117125102418,5.4575188399572,6.60619352896546,6.54251816358008,6.19126598626794,6.29310268198459,7.70558064456832,7.6341500110186,7.6154131614348,7.83737759641003,7.99553893360152,7.28494208101792,7.76729697035206,7.7250661197323,7.65822439214788,7.70747624072183,7.69082962779615,7.36063464063572,7.16832947475699,7.30128365308361,7.73048816844112,7.36388491268521,7.64121119677077,7.30777732428469,7.63025884588365,7.64693210986405,7.49113310181705,7.020793584653,7.20366560497536,7.70604100553405,7.63404051564085,7.61568478181404,7.83703335766852,7.69073713680783,7.3607618575166,7.1693957015566,7.30128365308361,7.73048816844112,7.36342109295898,7.64121119677077,7.3075177226138,7.6473572037599,7.49125330302737,7.020793584653,7.20348421434817,7.99538940635906,7.76717001079311,7.7250661197323,7.65822439214788,7.70747624072183
"AASDHPPT",9.67600017413064,9.79248846430254,9.58557772870367,9.23707527754215,9.36843904512724,10.0408707040424,9.57654218924909,8.65447977431673,9.88839774583193,9.24151273792244,9.85960524831803,9.39907498911093,9.31580723724306,9.33544846768743,9.52894535607342,10.1088998724352,9.7035943094358,9.64623012248628,9.35891244930331,9.72440596372983,9.14290509666629,9.02461729426236,9.43687728741652,9.94115504764006,9.97157867415673,8.87549596257452,8.33497066408358,8.11633010521848,8.0920695104881,8.36495048735657,8.83774442659729,9.55655263546287,9.42834597196827,9.4157350934942,9.33295561081711,8.9245302750846,8.79776113360056,9.05975307499409,9.22212007693978,9.13306271583564,9.49939024634551,9.61303050958006,8.48720438757884,9.14290509666629,9.02461729426236,9.43687728741652,9.94115504764006,8.83759214451318,9.55655263546287,9.42811070162083,9.4157350934942,9.33276340646316,8.92470804826823,8.79776113360056,9.05975307499409,9.13321694423401,9.49939024634551,9.61303050958006,8.48729172052084,9.97157867415673,8.33508071467278,8.11646789871584,8.0920695104881,8.36508823357037
"AASS",7.21775415632718,7.68096873242378,6.59736558920214,6.1017852586106,6.63934392854518,6.92824841967765,6.33278491641267,7.28404586649822,6.54262710089883,6.18715211017921,3.40557020314373,3.61790730079813,4.74315828286472,4.24016191182518,5.34205505231588,3.8839928842252,5.21064528436716,4.98527028788118,3.65115014399773,3.70637740100493,6.63317887793155,6.51482583587703,7.2650361488622,4.88301429030796,6.16849139271804,7.3509071212544,5.29524565715375,6.3147870538301,6.07884328424462,6.50119976130691,5.56454672682639,5.83806627510688,5.44159642213102,5.21064528436716,5.54759547242215,6.753466922509,5.81126673506846,5.9672074946324,6.71401905326734,5.88822744291853,6.03062618121599,5.89561482354703,5.2282085201732,6.63317887793155,6.51463589049173,7.26566224734517,4.88080987422327,5.564403733686,5.83724143658428,5.44135789259056,5.21266974542061,5.54803079841288,6.75303968713826,5.81263532710948,5.96745648560199,5.88788219593288,6.03142305483182,5.89546873127412,5.2291456113413,6.1679986221778,5.29378828715805,6.31410064039405,6.07812938877895,6.50158145563332
"AATF",8.97550994968152,9.19642672178308,9.31814275788313,9.33166560434556,9.3263672970281,8.81963990427179,9.32516820857532,9.24837641569293,9.66554755180785,8.53781195535229,8.78366053903737,8.45452092197199,9.23278732306591,8.91004136807129,8.94472936629312,9.03463840444115,8.31436688046766,9.26246945970263,9.03899391626119,9.13866727890262,8.46252801211174,8.64642275272359,8.70114761165805,10.067680056545,9.10814269605457,8.97030908120547,8.52322864911261,8.61953282360962,8.67021637445155,8.38880152673906,8.88064118697853,8.90697755532854,8.87826805657304,8.81347552555927,8.94076795044076,8.49593099552064,9.10301803101077,8.57006050564672,8.03831326605087,8.99075579074493,8.54060286758665,8.65419230311701,7.91932880621286,8.4623834553787,8.64631323729857,8.70114761165805,10.067680056545,8.88050441633308,8.90697755532854,8.87797491783063,8.81347552555927,8.94090930405919,8.49593099552064,9.10301803101077,8.57017766912888,8.99075579074493,8.54060286758665,8.65433488723994,7.91932880621286,9.10779546132979,8.52288786749248,8.61953282360962,8.67000948855436,8.38868362783737
"AATK",7.20165314312505,6.15820939632846,8.11762697906589,7.41694174222038,7.8931819747739,7.67262046067367,8.42753670851941,8.07709590432385,7.43749813495129,7.32012197156567,7.26866026100391,7.04268034547035,7.36690390626577,6.88140943630214,5.62116097513372,7.65247700177207,7.69280342271926,7.85466957544645,7.5654492030722,7.64586579127277,8.26762263843498,6.89685539228468,7.92426316642316,8.85257178408438,7.42472286786519,6.83290222595452,7.69631858987429,7.40550869356524,7.47284074125303,7.41144440208475,7.28934949625109,7.62273836222805,7.75706030965728,7.35938183643272,7.6278764162055,7.30197862876845,6.69470954836115,7.12839918660804,6.64836229393043,7.541331777219,6.76655745952444,7.30090050943594,7.28761162705301,8.26747931339692,6.89659241076165,7.92405902995892,8.85257178408438,7.2890365483452,7.62286703043691,7.75692061627916,7.35926322045828,7.62774259204026,7.30128365308361,6.69420602363348,7.12839918660804,7.541331777219,6.76671828824316,7.30100131319609,7.28720104225734,7.42459800582259,7.69631858987429,7.40571623885602,7.472526177377,7.41144440208475
"ABAT",7.68521733577025,8.67148718074204,8.15124667972649,7.27269763725253,5.68983442757972,6.1710385833186,5.2290004631631,3.9777826244018,7.78757150963609,5.81284990503786,7.20422112926041,6.91606545172921,3.45336523728572,6.46173670514715,4.57472713351886,7.2975510301605,6.34648874333088,6.69161907473355,7.18528402484549,6.62409129348105,6.36891056930434,7.47580886371942,7.31245868577187,5.84482518329441,5.2859754108462,7.07306643561656,6.90644587232127,7.64391569552494,7.47862689232214,6.69003231245184,6.82349918600562,6.59875588305184,6.74061977098096,7.14098543095512,5.9123515372417,6.9828071075716,6.91916865271581,7.47300321463775,6.85580998673176,6.65330920751055,6.63401857308719,6.28671669294821,5.51907681082763,6.36817493592027,7.47590606284305,7.31215649175524,5.84482518329441,6.82367152522338,6.5990857699922,6.7404384551954,7.14135588787837,5.91331728100807,6.98266743318391,6.91929446366928,7.47316568802246,6.65284243857222,6.63364189830158,6.28671669294821,5.51907681082763,5.2864161196147,6.90664213909548,7.64376987254974,7.47903478419856,6.6892131956372
"ABCA1",10.1895404765712,10.8130617837023,10.1821431285478,10.2910376584561,11.3164106861011,10.9025514625063,9.83089597674693,11.2672021896979,10.8523846283964,9.91982632661346,10.6868553097326,10.8188540935756,10.0314418770242,10.4863948902264,10.8429498747673,10.9048181494233,10.8170832917419,10.9261696095076,11.0381232718453,10.7936285162469,9.56394942652606,10.5922812441049,10.6930498155695,10.4435395628552,10.2366952255127,9.45010462420228,9.52158901694785,9.62125081132283,9.69642013292064,9.27712601253749,9.07566518264483,10.5492689019227,9.70868727554479,9.84294014499864,9.37134963131869,9.453478465612,10.2576938104987,9.18750593650794,10.1572269611418,9.14923322433995,9.37904213986053,10.279751310995,9.74644158984178,9.56417916579291,10.5922812441049,10.6930498155695,10.4435395628552,9.07566518264483,10.5492689019227,9.70868727554479,9.8427036969689,9.37134963131869,9.45330130427874,10.2576938104987,9.18750593650794,9.14923322433995,9.37926258341358,10.279751310995,9.74644158984178,10.2366952255127,9.52158901694785,9.62172290674418,9.69642013292064,9.27712601253749
"ABCA11P",7.06619739360557,5.62725639440668,5.61023029107847,3.81493256148925,6.72765418409862,6.93108059261757,6.70452169934655,6.22841051035543,6.67194484865227,5.87725836323472,5.38214371539324,5.98063877390686,5.17862658235772,5.47014496179401,6.29638243858782,6.27234610140722,6.11779794728227,6.02666406909749,6.45670315920234,6.3510452390417,5.46522550580739,6.07366782537805,6.62007712870931,6.38735010047549,5.90608309507057,4.98224704151291,6.20315419741143,5.9972236422277,3.42427904932316,5.27058519296631,3.46896577651838,6.19478465786751,6.23739463755796,5.74671815362513,6.64490445404745,6.02521378921221,6.29656767254738,5.89675053944283,5.96390255442445,6.03160927033798,6.11010513846063,5.31503770050185,4.76949708422868,5.46623338228819,6.07430503317775,6.62055385853545,6.38745221317545,3.46262023064757,6.19478465786751,6.23799351826744,5.7473575826282,6.64471344897169,6.02521378921221,6.29737841823399,5.89682541938288,6.03174307876705,6.10952943593189,5.31431904512737,4.76925977858149,5.90705486913799,6.20299029744739,5.9969663651544,3.42559729468745,5.27113294065715
"ABCA12",2.0634424164995,5.06073512569544,5.78695672821869,1.39336710288494,4.07803126722806,4.86311560884887,5.72113332138445,5.46081791794876,2.57055411689716,4.54780670327832,4.2182537947919,4.43195847972524,4.5504329741035,3.10103498445777,1.49968879721998,5.74187806651797,4.04714921274914,4.42756843057515,3.87339043148782,4.462827750957,1.50193835707213,3.36242518939155,3.49550000963211,3.80324120993985,4.30558773012868,3.85005633412193,1.8152039169042,0.232116435151855,4.8959891651765,4.88801546774169,1.8254754331117,4.27684801086539,4.403420869589,3.85669107873124,4.38273206951454,4.85147590226874,4.91317266375285,4.55809235003434,3.70990896329854,4.99974937092167,3.60057787995107,4.5351406627836,4.7048901337207,1.49910294779088,3.35946938653183,3.49568227471706,3.80354468898716,1.82817944810958,4.27441896383605,4.40362421918602,3.8542841152355,4.38273206951454,4.84884685018639,4.91332966878211,4.56202742492587,4.99995718974414,3.6031661517592,4.53624253077802,4.70444198344823,4.30522343925498,1.82086048301589,0.244971195885429,4.89571986167552,4.88736158683267
"ABCA2",6.65000520378754,7.37856657933461,7.61370466463613,7.42155818616767,7.80146732071506,7.69451422617134,7.09289083924351,8.15594956961293,8.09321345226354,8.17041054562296,7.06503957426532,7.18466591128147,8.01377892865692,7.4668803708284,8.12325074174256,8.47750506495852,8.33585530568118,8.66211517529129,7.96659336648367,8.45494831636534,7.88539246714124,8.19549239902485,7.43386938266157,7.92315393823986,7.51376645093903,7.38767242868543,8.49349283393944,8.45996003829602,8.54591787419666,7.91219101237155,8.02365735898528,7.9171336666006,8.20114125632213,7.64135177493776,8.0443593889618,7.9017864569522,7.81088234273602,8.06968870281964,7.87327340600657,8.16296149650673,8.29638509806814,7.91597875782804,8.23270971535268,7.88592775878358,8.19549239902485,7.43350217210002,7.92301010634152,8.02365735898528,7.917254448157,8.2009794665633,7.64121119677077,8.04420373240187,7.90164777461328,7.81078747036683,8.06968870281964,8.16315368687321,8.29650629019562,7.91585268852574,8.23280526305224,7.51343901736997,8.49349283393944,8.45996003829602,8.54609498925058,7.91204725952219
