"probe","GSM302859","GSM302864","GSM302866","GSM302870","GSM302872","GSM302882","GSM302896","GSM302900","GSM302924","GSM302927","GSM302933","GSM302943","GSM303364","GSM303366","GSM303368","GSM303520","GSM303522","GSM303523","GSM303525","GSM303531","GSM303533"
"1007_s_at",455.207,380.915,1045.91,267.234,496.446,535.535,533.512,461.087,451.419,346.906,424.253,443.796,460.627,447.267,363.816,518.872,403.16,458.881,474.206,461.823,491.01
"1053_at",130.464,164.607,179.668,230.873,159.015,138.826,285.481,124.244,188.933,244.477,247.29,259.629,128.363,99.9521,186.665,85.9658,172.58,155.121,199.089,128.127,158.887
"117_at",384.954,607.418,216.343,432.933,216.515,294.525,397.513,374.274,157.833,204.651,236.36,279.577,328.532,489.927,696.969,681.605,416.09,301.222,446.703,473.566,449.531
"121_at",696.633,1049.8,1069.12,1226.57,1028.09,1270.81,1502.4,1512.82,809.497,1181.37,958.228,931.861,1090.97,845.656,1295.63,1122.55,1107.45,891.712,841.252,1174.45,941.806
"1255_g_at",27.859,37.9584,54.1311,60.5177,106.949,44.01,92.0819,69.8737,18.9164,45.6037,52.1041,18.3536,133.198,81.1025,41.5528,46.8555,58.8987,57.559,39.8498,40.6414,52.1911
"1294_at",651.668,722.132,531.081,247.627,688.858,539.266,625.225,704.858,370.579,641.149,785.397,767.93,794.29,639.277,584.028,706.413,318.09,640.957,826.951,907.142,679.513
"1316_at",101.028,78.7277,96.5782,80.2892,106.083,119.234,132.874,111.041,66.092,110.532,55.4314,91.4533,68.6835,110.252,106.297,134.27,95.1848,62.1022,94.1361,120.171,159.063
"1320_at",85.5756,13.6344,35.6155,33.9748,57.0131,34.1984,20.8631,86.7154,44.8845,49.2813,8.24582,15.4359,15.8279,47.3224,28.7386,42.1138,15.1715,80.8699,55.4,102.54,14.2593
"1405_i_at",360.931,207.402,30.4506,10.004,1450.14,241.827,1443.93,1157.03,201.427,1356.17,1251.82,2367.74,1188.55,49.0446,673.391,890.461,495.634,211.956,240.898,222.938,86.2821
"1431_at",86.5112,58.4818,20.9457,58.2907,63.1736,63.9279,48.5133,47.3443,24.507,36.8131,43.6626,51.7854,38.7516,58.742,57.6384,64.9356,36.0183,42.3432,91.0803,80.004,74.3973
