"probe","GSM1332201","GSM1332202","GSM1332203","GSM1332204","GSM1332205","GSM1332206","GSM1332207","GSM1332208","GSM1332209","GSM1332210","GSM1332221","GSM1332222","GSM1332223","GSM1332224","GSM1332225","GSM1332226","GSM1332227","GSM1332228","GSM1332229","GSM1332230"
"1007_s_at",122.6,117.9,193.6,135.7,225.9,162.4,181.7,225.5,156.7,249.2,223.9,189,195.4,150.1,291,240.6,303.3,249.5,251.3,225.7
"1053_at",101.7,68.6,79.4,59.8,69.3,35.2,59.7,43.8,42.8,62,114.4,87.9,28.7,62,40.2,45.4,38.8,59.4,27.3,37.2
"117_at",224.6,518.3,378.7,77.2,828.5,329,236.3,215.4,115.5,277.8,129.5,108,222.7,157.4,165.4,128.3,89,108.4,240.2,140.9
"121_at",344.8,360.7,564.4,434.5,553.7,606,625,531.5,592.7,654.5,701,709.4,436.9,586.4,635.2,643.9,706.7,603.1,596,606.2
"1255_g_at",14.9,19.3,21.4,14.1,11.4,5.4,7.4,12.3,5.1,30.4,54.9,12.7,25.1,18.6,14.9,33.7,12,8.8,21.7,13.8
"1294_at",108.7,111.2,146.3,152.3,111.3,88.6,116.5,187.5,148.5,202.7,199,214.6,194.7,185.4,191.5,203.9,169.8,224.6,227,254.5
"1316_at",45.6,49.5,50.8,54,60.9,65.1,57.2,65.9,44.8,62.2,64.9,48.3,60,41.2,65.1,52.4,53.3,60.5,53.5,41.9
"1320_at",30.3,35,32.3,14.7,9.2,4,31,14.1,7.7,9.8,49.5,29,10,19.7,13.1,9.6,9.1,5.9,7.5,6
"1405_i_at",14.5,5.6,5.3,14.2,5.5,8.9,14.9,6.7,1.6,115.6,111.5,148,371.1,157.9,414.2,105.7,192.2,320.9,569.7,192
"1431_at",14.6,13.2,29,53,32.6,6.5,9.1,10.3,19.5,24.5,20.8,19.5,34.4,16.8,9.6,10.2,21.2,25.5,20.5,18.3
"1438_at",8.6,19.4,38.1,28.3,14.3,46.7,20,38.8,35.3,20.9,49.6,30.6,98.3,35.2,61.5,14.7,110.9,59.5,68.8,48.1
"1487_at",169.6,161.7,142.6,155,176.9,102.4,145.8,159.1,147.6,210.4,165.2,185,182.6,142.4,181.1,142.9,152.3,190.1,166.1,188.2
"1494_f_at",89.3,110,182.8,108.3,139,101.4,229.2,157.1,92.6,156.7,115.6,104.6,101.6,112.6,170.2,160,135.9,128.7,148.7,100.6
"1598_g_at",478.4,903.3,1005.8,521.3,1406.4,853.4,1602,1437.4,1057.3,1306.5,644.3,550.9,1199.7,1206.7,1870.5,950,1946.9,1667.7,1696.9,1502.8
"160020_at",318.1,369.8,603,442.3,538.1,347.4,536.1,649.3,498.8,487.6,348.9,281.8,435.1,248.7,509.2,260.5,655.5,285.2,474.9,299.6
"1729_at",164.8,126,92.9,137,156.4,105.6,161.2,166.6,205.9,162.5,217.5,156.9,187.8,178,250.1,167.9,233.1,151.3,158.4,202.6
"1773_at",54.6,50.6,43.5,7.2,27.4,43.9,50.5,48.1,28.7,51.1,75.5,63.8,50.3,35.8,73.4,17.5,45.7,6,53.6,26.5
"177_at",71.7,53.3,79.1,44.8,15.5,33.9,42.2,56.7,35.9,36.5,61.4,71.6,74.3,47.5,34,44.6,23,36.3,64,29.9
"179_at",202.7,266,342.8,218.1,346.7,254.5,509.8,432.8,261.2,353.7,336.3,254.2,340.3,316.3,320.4,263.5,421.3,253.9,265.3,276
"1861_at",98.6,99.3,69.3,50.2,101.9,54.5,75,85.1,87.4,92.4,91.3,70.5,74,76.4,77.8,24.9,65.7,73.1,97.2,89.4
"200000_s_at",367.6,469.8,539.8,692.4,569.7,227.2,389.8,459.2,536.3,471.9,311.2,320.5,324.5,361,455,357.9,426.8,377.5,362.1,379.2
"200001_at",1171.8,1234.2,1345.4,1644,1608.7,734.5,1647,2072.6,1799.6,1435,1456.2,1036,1748.9,1329.7,1790.6,768.9,1977.5,2055.4,1468.1,2108.7
"200002_at",3187.9,2419.1,3144.4,2882.2,3021.6,1703,3534.3,2836.3,2190,2076.7,2901.4,2579.8,1848.7,2522.4,1988.8,2213.4,1964.6,2962.9,2340.9,2528
"200003_s_at",5660.2,3899.1,4857.6,4178.3,3875.4,2204,5230.7,3803,3314.6,2912.9,6192.9,4971.8,3303.1,4983.6,4191.9,2847.9,3719.7,4780.6,3649.1,3514.6
"200004_at",1342.3,1500.5,1571,2076.3,1805.8,2242,1692.2,1541.5,1399.2,1364,1290.3,1858.5,1896,2317,2125,2199.4,1775.7,1934.3,1725.1,2035.7
"200005_at",1155.4,1198.8,979.6,858.8,1002.3,589.4,1002.3,857.8,836.5,753.8,902.8,1048.8,891.5,760.7,589.1,757,675.6,668.7,699.1,610.1
"200006_at",3411.7,1867.1,1870,2561.2,1227.4,1646.9,1877.8,1761.4,1645.4,1433.2,1760.9,2109.2,1541.7,2104.8,1596.2,2141.8,1357,2106.1,1520.3,2107.2
"200007_at",3911.5,2093.5,2303.5,2040.6,1490.2,2503.2,2228.4,1645.3,2007.9,1563.2,3772.7,2373.1,1750.3,2035.3,1770.6,2025.9,1556.7,2232.3,1394.9,1991.6
"200008_s_at",796.2,722.5,781.1,438,551.3,373.5,968.4,369.4,482.3,540.5,699.6,837.9,629.6,482.2,672.4,461.5,677.5,469.4,660.4,510.1
"200009_at",1609.4,1415.4,1948.1,1486.6,1036.9,1558.8,1271.4,987.5,1252.5,1375.5,1562.2,1566.3,1296.6,1890.9,1328.2,1664.4,1302.8,1388.8,1526.8,1551.6
"200010_at",4269.2,4018.6,3008.3,3055,3496.1,3448.3,4676.7,3450.1,3510.7,3090.7,1370,3783.2,2847.3,3450.6,3183.6,3227.6,2932.6,2873.4,3120.5,2886.2
"200011_s_at",259.7,439.8,431.5,638.3,693.6,315.8,599.5,558,588.7,595.8,257.7,468.7,449.1,515.3,646.3,386.2,732.6,572.4,685.9,572.5
"200012_x_at",1800.4,3929.9,6506.9,4673.9,3622.5,5072.4,4805.2,4374.3,2946.3,2827.7,1451.8,3591.1,2766.6,4217.1,3124.3,4139.8,2699.7,3818.2,3114.8,3106.2
"200013_at",7123.8,4207.3,4262.9,2986,3210.5,2273.1,3399.7,2927.9,2460.9,2296.5,1665.2,3176.3,2357.8,2736.8,1941.6,2348.3,1983,2777.9,2497.2,2299.1
"200014_s_at",1161.8,918.2,625.3,628.1,427.8,672.9,735.1,533.8,470.5,323.1,570.3,800.4,527.7,617.6,473.5,605.5,353.2,461.6,398.9,477.9
"200015_s_at",1817.7,977.1,1039.5,1695.3,1325.9,1684.4,1339.1,1203.6,1223.1,1031.9,1339.2,1764.9,981.5,1247,1241.5,1621.6,1513.4,1355.1,1215.4,1318.3
"200016_x_at",7112.1,4348,5506.4,5601.4,3751.1,5851.5,4553.5,4921.7,4446.4,2710,4501.1,3866.6,2811.6,3561.1,2619.7,4452.9,3191.1,3271.7,2535.7,2935.7
"200017_at",4714,4289.7,2841.6,3332.6,4463.5,4483.2,5928.3,4374.1,3674.6,3308.3,3049.2,3803.9,2293.3,3450.5,4007.5,4306.8,3920,4501.1,3560,4108
"200018_at",4926,4752.5,4501.4,3590.1,4078.7,5369.3,5679.3,4644.3,3595.2,3391,2576.8,3228.7,3276.1,4310.9,3969.9,4399.6,3880.8,4515.1,3774.4,3818.8
"200019_s_at",3805.4,4285.1,3659.5,3493.2,3164.9,2350.3,3372,3347.8,2733.8,2857.5,2986.3,3033.3,1978.8,2844.9,2448.2,2737.4,1826,3843.1,2851.8,3354.2
"200020_at",427.1,374.3,371.7,332,380.4,431.3,401.2,251.9,346.1,428.6,316.1,427.2,355.3,579.7,589.1,456.5,583.5,468.9,521.5,513.8
"200021_at",5170.5,4348.1,7431.4,7083,4339.9,4937.1,5693.4,4923.2,4064.3,4496.6,6080.7,5597.1,6164.8,7709.8,5504.9,5024.6,4938.8,6139.7,5586.9,4570.3
"200022_at",5178.8,4178.4,4378.2,3651.2,4028.5,1832,3212.9,2680.3,2943.6,2961,3892.8,3955.3,3316,3395.6,1725.2,2328.9,2649.6,2966.3,2921.6,2441.3
"200023_s_at",1524.8,1540.9,1075.2,1050.5,1542.3,1366.3,1371,1144.8,1300.6,1025.9,1370.6,1439.5,1392.1,1454.2,1007.6,1601.9,1132.4,1453.5,1053.5,1113.2
