module,n_cpgs,n_panel_in_module,n_panel_total,odds_ratio,p_value,fdr
turquoise,8030,20,67,0.633424783821039,0.103993770913899,1
blue,1341,6,67,1.37023613367339,0.45678650678491,1
brown,304,0,67,0,0.628803333612002,1
green,57,0,67,0,1,1
red,53,0,67,0,1,1
purple,33,0,67,0,1,1
midnightblue,28,0,67,0,1,1
lightcyan,27,0,67,0,1,1
magenta,37,0,67,0,1,1
lightgreen,24,0,67,0,1,1
tan,32,0,67,0,1,1
pink,40,0,67,0,1,1
cyan,31,0,67,0,1,1
salmon,32,0,67,0,1,1
yellow,215,0,67,0,1,1
greenyellow,32,0,67,0,1,1
black,47,0,67,0,1,1
