module,n_cpgs,cor_RA,p_RA,fdr_RA
turquoise,8030,0.301563369569863,8.81202390609279e-12,1.5861643030967e-10
brown,304,-0.280839838112497,2.37232675125801e-10,2.13509407613221e-09
grey,9612,-0.279203002722422,3.04240029992126e-10,
tan,32,0.271499012883755,9.59956481443887e-10,5.75973888866332e-09
pink,40,0.203718743033346,5.35427997470208e-06,2.21013975172672e-05
red,53,0.202453212301109,6.13927708812979e-06,2.21013975172672e-05
black,47,0.198565292502694,9.2967625226232e-06,2.52232602411619e-05
cyan,31,0.19805716144256,9.80904564934074e-06,2.52232602411619e-05
salmon,32,0.193700377251873,1.54498238252457e-05,3.47621036068028e-05
green,57,0.190276583134916,2.19239571944563e-05,3.83338779597249e-05
purple,33,0.189823708196238,2.29521611331975e-05,3.83338779597249e-05
midnightblue,28,0.189621339777392,2.34262587531652e-05,3.83338779597249e-05
yellow,215,-0.178349059492854,7.07403181087624e-05,0.000106110477163144
greenyellow,32,0.169879017254844,0.000155449225018574,0.000215237388487256
lightcyan,27,0.161152998603787,0.000336728660306286,0.000432936848965225
blue,1341,0.122647761518038,0.00650757464557204,0.00750667016972744
magenta,37,0.12227697979887,0.00667259570642439,0.00750667016972744
lightgreen,24,0.106059526776557,0.0187348228381212,0.0198368712403636
grey60,25,-0.0224608685252929,0.619546133866036,0.619546133866036
