module,n_cpgs,cor_RA,p_RA,fdr_RA
green,101,0.217765749868286,0.00216869539812564,0.0720496811737766
turquoise,8632,0.20469555206387,0.00400276006520981,0.0720496811737766
greenyellow,44,0.188271355323127,0.00822687572090349,0.0983515410796526
grey,5596,0.181591552833055,0.0108580535390761,
blue,4332,-0.17845321869757,0.012332487652462,0.0983515410796526
paleturquoise,25,0.172895862274164,0.0153786128382824,0.0983515410796526
skyblue,27,0.171127737194991,0.0164766993456448,0.0983515410796526
royalblue,32,0.167253920280921,0.019123910765488,0.0983515410796526
black,57,0.161052500037371,0.0241299219655827,0.102663472550682
magenta,48,0.159372958512919,0.0256658681376704,0.102663472550682
purple,46,0.144006713360282,0.0440403328629943,0.120820960958228
yellow,115,0.143676236102325,0.0445332188119585,0.120820960958228
darkgreen,31,0.143377785376721,0.0449822994249299,0.120820960958228
lightcyan,37,0.143286715962452,0.0451200843077174,0.120820960958228
salmon,41,0.142075820815489,0.0469859292615331,0.120820960958228
cyan,40,0.138348269132064,0.0531381723860766,0.127531613726584
midnightblue,39,0.133372886917117,0.0623762626036988,0.13253966169755
darkmagenta,23,0.133266085057517,0.0625881735793988,0.13253966169755
grey60,37,0.12833303727065,0.0730384921413876,0.144937477311418
white,29,0.126828122502852,0.0764947796921371,0.144937477311418
darkolivegreen,24,0.121895052108639,0.0887614370963187,0.159770586773374
darkturquoise,31,0.119513265595984,0.0952226869690707,0.163238891946978
saddlebrown,26,0.113932048548022,0.111828511806866,0.177421848941983
darkred,32,0.113453169032756,0.113352847935156,0.177421848941983
lightgreen,35,0.109275846975703,0.127347477138664,0.191021215707996
steelblue,26,0.0817750437679682,0.254520853505891,0.366510029048483
orange,30,0.069789188957533,0.331058106846374,0.440317752545921
darkorange,30,0.0688128645887707,0.337884009849604,0.440317752545921
tan,43,0.0681640562351961,0.342469363091272,0.440317752545921
red,62,0.0611337157819857,0.394661558824049,0.489924693712613
yellowgreen,21,0.052339165269709,0.466270267223609,0.559524320668331
violet,25,0.0401978950395092,0.575890787855927,0.668776398800431
pink,49,0.0361227727896775,0.615211660592227,0.692113118166255
brown,147,0.0318946121417827,0.657200650835056,0.716946164547334
lightyellow,34,0.0289799185276391,0.686794883926703,0.727194582981215
darkgrey,30,0.0203586242412338,0.777002826301461,0.799202907052931
sienna3,23,0.00875488368593446,0.903067935575531,0.903067935575531
