module,n_cpgs,cor_RA,p_RA,fdr_RA
green,101,0.217765749868286,0.00216869539812564,0.0740510612063815
turquoise,8632,0.20469555206387,0.00400276006520981,0.0740510612063815
greenyellow,44,0.188271355323127,0.00822687572090349,0.0870911251126937
blue,4332,-0.17845321869757,0.012332487652462,0.0870911251126937
paleturquoise,25,0.172895862274164,0.0153786128382824,0.0870911251126937
skyblue,27,0.171127737194991,0.0164766993456448,0.0870911251126937
royalblue,32,0.167253920280921,0.019123910765488,0.0884480872903822
black,57,0.161052500037371,0.0241299219655827,0.0949637121093805
magenta,48,0.159372958512919,0.0256658681376704,0.0949637121093805
purple,46,0.144006713360282,0.0440403328629943,0.115898625511782
yellow,115,0.143676236102325,0.0445332188119585,0.115898625511782
darkgreen,31,0.143377785376721,0.0449822994249299,0.115898625511782
lightcyan,37,0.143286715962452,0.0451200843077174,0.115898625511782
salmon,41,0.142075820815489,0.0469859292615331,0.115898625511782
