size,Accuracy,AccuracySD,Kappa
5,0.669963963925672,0.0356560523525635,0.341102002128849
10,0.663237111985271,0.0257737683154622,0.327794274953512
15,0.661813874774111,0.0307856033436149,0.32476100257119
20,0.66180728669683,0.0267154100036979,0.324627203298584
25,0.652337881940239,0.0359581288020662,0.305486545130509
30,0.651019133051534,0.0318007028835149,0.303123622145026
40,0.643487331410748,0.0335621353671034,0.287500145778567
50,0.608874919331473,0.0428135807440851,0.217805044437001
75,0.574366287179247,0.0344804251205702,0.146775542326512
100,0.558725624999557,0.0262525794796098,0.114679900496982
150,0.519391828375628,0.0500691298910082,0.0367236004941
200,0.494151062486851,0.0397802938285118,-0.0138082357070186
300,0.468389484295228,0.0528234622474395,-0.0654437334064524
500,0.406724797593722,0.0414386534100861,-0.188011847285587
750,0.386287023400426,0.0535368510903451,-0.230945928667045
1000,0.381559617494816,0.0514624997149325,-0.240326952841423
1490,0.378143805684307,0.0472103214218195,-0.246251032528369
