size,Accuracy,AccuracySD,Kappa
5,0.602222222222222,0.0647634732943936,0.202309396098177
10,0.588846153846154,0.0656085907445601,0.174856919754381
15,0.590726495726496,0.083383989487729,0.178821806490309
20,0.585555555555555,0.0876270785753967,0.167432936505982
25,0.576923076923077,0.0865754228488529,0.150655423725171
30,0.56,0.085144380938115,0.114805007923844
40,0.55474358974359,0.0648589984338606,0.105240080511397
50,0.529145299145299,0.0559803311024143,0.0521515623000899
75,0.518888888888889,0.0750292930907823,0.0340202980182529
100,0.488034188034188,0.0611915332738423,-0.02584476696793
150,0.464401709401709,0.065783753844015,-0.0729421219936185
200,0.435384615384615,0.0812457598000589,-0.129844794743769
300,0.411495726495726,0.09422811123144,-0.179437277899336
500,0.459188034188034,0.0932987808212917,-0.0903872922152108
557,0.498461538461539,0.0866979943162776,-0.0143495562657922
