sex,drug,view_row,view_col,nmi
female,Adalimumab,expression,expression,1
female,Adalimumab,expression,methylation,0.06032578987392069
female,Adalimumab,expression,fused,0.2954385345481803
female,Adalimumab,methylation,expression,0.06032578987392069
female,Adalimumab,methylation,methylation,1
female,Adalimumab,methylation,fused,0.5371575521096582
female,Adalimumab,fused,expression,0.29543853454818036
female,Adalimumab,fused,methylation,0.5371575521096582
female,Adalimumab,fused,fused,1
male,Adalimumab,expression,expression,0.9999999999999999
male,Adalimumab,expression,methylation,0.30099016469944345
male,Adalimumab,expression,fused,0.3040867330207132
male,Adalimumab,methylation,expression,0.30099016469944345
male,Adalimumab,methylation,methylation,1.0000000000000002
male,Adalimumab,methylation,fused,0.11704313687134384
male,Adalimumab,fused,expression,0.3040867330207132
male,Adalimumab,fused,methylation,0.11704313687134384
male,Adalimumab,fused,fused,1
