sex,drug,view_row,view_col,nmi
female,Etanercept,expression,expression,1
female,Etanercept,expression,methylation,0.03860991712908741
female,Etanercept,expression,fused,0.6855155702651253
female,Etanercept,methylation,expression,0.03860991712908741
female,Etanercept,methylation,methylation,1.0000000000000002
female,Etanercept,methylation,fused,0.08083201091232663
female,Etanercept,fused,expression,0.6855155702651253
female,Etanercept,fused,methylation,0.08083201091232663
female,Etanercept,fused,fused,1.0000000000000002
male,Etanercept,expression,expression,1.0000000000000002
male,Etanercept,expression,methylation,0.009352396238739794
male,Etanercept,expression,fused,0.38897041694608636
male,Etanercept,methylation,expression,0.009352396238739794
male,Etanercept,methylation,methylation,1
male,Etanercept,methylation,fused,0.009352396238739794
male,Etanercept,fused,expression,0.38897041694608636
male,Etanercept,fused,methylation,0.009352396238739794
male,Etanercept,fused,fused,1.0000000000000002
