sex,ensembl_id,logFC_response,p_response,fdr_response,p_response_x_drug,fdr_response_x_drug,n
female,ENSG00000049541,-0.119532098275917,0.107152550890351,0.999809345944711,0.00627533934849824,0.98732352139657,56
female,ENSG00000074935,0.33343685841075,0.00170987529869227,0.999809345944711,0.499049362737606,0.989437116859335,56
female,ENSG00000096696,2.87013937239962,0.000291503650038844,0.999809345944711,0.360830843704673,0.988420583775084,56
female,ENSG00000099251,0.596091655106828,0.000708500146213883,0.999809345944711,0.658916054739042,0.994061805312729,56
female,ENSG00000100246,-0.388175411020173,0.00154293976287241,0.999809345944711,0.306171793818996,0.98732352139657,56
female,ENSG00000104756,0.0109620248043555,0.907402985010536,0.999809345944711,0.452798557622762,0.989437116859335,56
female,ENSG00000106070,-0.559309109342699,0.000892862880008971,0.999809345944711,0.0299975347819028,0.98732352139657,56
female,ENSG00000106605,0.0231768642294768,0.876971333384023,0.999809345944711,0.829142217674605,0.997135838041019,56
female,ENSG00000108561,-0.0308111095398072,0.602766800121709,0.999809345944711,0.23882842872497,0.98732352139657,56
female,ENSG00000110925,0.0945042476616126,0.239427399226326,0.999809345944711,0.171086479528062,0.98732352139657,56
female,ENSG00000124780,2.00465870680575,0.000157331650612292,0.999809345944711,0.375180452388613,0.988420583775084,56
female,ENSG00000125864,0.466297665218498,0.281342549646578,0.999809345944711,0.729207746808577,0.996202148585697,56
female,ENSG00000130766,0.0936606812596061,0.458229933847513,0.999809345944711,0.858667048230748,0.998843294460772,56
female,ENSG00000130940,0.0477760404116308,0.691381550887448,0.999809345944711,0.985984871107168,0.999374409625416,56
female,ENSG00000131507,0.0537378223622417,0.42146935072695,0.999809345944711,0.316919760552916,0.98732352139657,56
female,ENSG00000139112,0.109168844870705,0.426093930484922,0.999809345944711,0.132040961294505,0.98732352139657,56
female,ENSG00000139200,-1.65530920716758,0.00133784606916381,0.999809345944711,0.558193084626815,0.990166220475329,56
female,ENSG00000140598,-0.211802553173461,0.00290462651749269,0.999809345944711,0.410172569322761,0.988420583775084,56
female,ENSG00000143442,-0.016365885463497,0.786661020820556,0.999809345944711,0.874393178986736,0.998843294460772,56
female,ENSG00000143514,-0.0865846781044952,0.0906682404731023,0.999809345944711,0.14816489193695,0.98732352139657,56
female,ENSG00000145217,1.74271064606472,0.000145515593151962,0.999809345944711,0.899075517766845,0.998843294460772,56
female,ENSG00000146263,-0.00253282813835609,0.9825182482446,0.999809345944711,0.664336822078935,0.994061805312729,56
female,ENSG00000156970,-1.60292176939354,0.000560888118828242,0.999809345944711,0.372070710562322,0.988420583775084,56
female,ENSG00000158169,-0.214470135724527,0.158688605050838,0.999809345944711,0.10593073728412,0.98732352139657,56
