"gene","kME","GS","abs_kME","abs_GS"
"HLA-DMA",0.92979877615915,0.633458726883689,0.92979877615915,0.633458726883689
"UCP2",0.924764306728686,0.650055911556542,0.924764306728686,0.650055911556542
"HLA-DMB",0.918431452476309,0.682751720544546,0.918431452476309,0.682751720544546
"TNS3",0.905946815873963,0.714125035295967,0.905946815873963,0.714125035295967
"NCKAP1L",0.905160420375121,0.613545108958653,0.905160420375121,0.613545108958653
"HLA-DRA",0.896887621508216,0.627437475541503,0.896887621508216,0.627437475541503
"NECAP2",0.896693303813234,0.634935282860889,0.896693303813234,0.634935282860889
"CD74",0.894418116568871,0.597191250663815,0.894418116568871,0.597191250663815
"LPXN",0.894106108154837,0.596464621708408,0.894106108154837,0.596464621708408
"ARPC1B",0.893974781403339,0.567475252719456,0.893974781403339,0.567475252719456
"TAPBP",0.888790094114294,0.635295834497424,0.888790094114294,0.635295834497424
"SEL1L3",0.887993443039288,0.805937629984531,0.887993443039288,0.805937629984531
"TRPV2",0.886143277613372,0.590050576542133,0.886143277613372,0.590050576542133
"SMCO4",0.884835576623307,0.67561034819085,0.884835576623307,0.67561034819085
"BCL6",-0.883781006560838,-0.611619640552491,0.883781006560838,0.611619640552491
"PYCARD",0.882335525725742,0.585100868668047,0.882335525725742,0.585100868668047
"CORO1A",0.880993695066759,0.582169545406187,0.880993695066759,0.582169545406187
"MMP1",0.88048794251047,0.619295873296068,0.88048794251047,0.619295873296068
"CD52",0.877440506506069,0.635260545278984,0.877440506506069,0.635260545278984
"MXRA5",0.875921552362689,0.666820985394968,0.875921552362689,0.666820985394968
"ITGB2",0.873811788943307,0.676213178078902,0.873811788943307,0.676213178078902
"CECR1",0.873171712444771,0.584188487197392,0.873171712444771,0.584188487197392
"PTPN6",0.871622223056986,0.574270334552975,0.871622223056986,0.574270334552975
"FCGR1A",0.870796246278894,0.594021940588768,0.870796246278894,0.594021940588768
"HLA-DQB1",0.869927501432195,0.518702137310866,0.869927501432195,0.518702137310866
"SELPLG",0.865837548815601,0.467308128108032,0.865837548815601,0.467308128108032
"ARPC5",0.86523359352817,0.619528159423952,0.86523359352817,0.619528159423952
"CSK",0.865108942198429,0.476316035789841,0.865108942198429,0.476316035789841
"DOCK2",0.862904646450804,0.598257553483389,0.862904646450804,0.598257553483389
"CD37",0.862365802304282,0.559557563302477,0.862365802304282,0.559557563302477
"CSF1R",0.862172820558215,0.650155468463453,0.862172820558215,0.650155468463453
"HLA-DRB1",0.861501431767294,0.653699508141035,0.861501431767294,0.653699508141035
"NAGK",0.860587830356624,0.60448306641664,0.860587830356624,0.60448306641664
"IFI30",0.860352790620817,0.475882244693737,0.860352790620817,0.475882244693737
"ARHGAP25",0.859240493080352,0.624407230745157,0.859240493080352,0.624407230745157
"RFX5",0.857504503815038,0.728234207342894,0.857504503815038,0.728234207342894
"NCF1",0.852386709639179,0.652503514353218,0.852386709639179,0.652503514353218
"CD14",0.849778283373411,0.610964363711307,0.849778283373411,0.610964363711307
"ARHGDIB",0.849320729852419,0.613472618800448,0.849320729852419,0.613472618800448
"BTN2A2",0.849270727024495,0.677947486184686,0.849270727024495,0.677947486184686
"PSMB10",0.847489156066011,0.660576442112585,0.847489156066011,0.660576442112585
"WASF3",-0.846719487228093,-0.605597449789692,0.846719487228093,0.605597449789692
"RARRES3",0.845798389491672,0.63041483026406,0.845798389491672,0.63041483026406
"LILRB1",0.845627732505788,0.479650893545048,0.845627732505788,0.479650893545048
"SYK",0.84504736999377,0.571402985562474,0.84504736999377,0.571402985562474
"PLXNC1",0.841641866713101,0.732648761035402,0.841641866713101,0.732648761035402
"CYBA",0.841469539706568,0.607938997274123,0.841469539706568,0.607938997274123
"GABARAPL1",-0.841414284073582,-0.751405583136296,0.841414284073582,0.751405583136296
"GMFG",0.841339943857805,0.492812527041592,0.841339943857805,0.492812527041592
"GSAP",0.841304913926138,0.536764446286046,0.841304913926138,0.536764446286046
"COTL1",0.840909217644298,0.453325894132584,0.840909217644298,0.453325894132584
"DOK2",0.840751814045612,0.568065583103914,0.840751814045612,0.568065583103914
"AIF1",0.840702486193068,0.484371511141854,0.840702486193068,0.484371511141854
"IGHG1",0.839884430357648,0.757711414612647,0.839884430357648,0.757711414612647
"LILRB3",0.838814591232517,0.467952823776009,0.838814591232517,0.467952823776009
"STK10",0.838670087278389,0.716006668814432,0.838670087278389,0.716006668814432
"LILRB2",0.837340617869205,0.460688502767527,0.837340617869205,0.460688502767527
"HLA-DQA1",0.836761445433031,0.731694208155951,0.836761445433031,0.731694208155951
"CCR1",0.835563659320307,0.511951031242998,0.835563659320307,0.511951031242998
"AKR1A1",0.835180065650882,0.425069052053805,0.835180065650882,0.425069052053805
"IL10RA",0.833759056597234,0.636352650074028,0.833759056597234,0.636352650074028
"KYNU",0.8332688867109,0.565196532874662,0.8332688867109,0.565196532874662
"LST1",0.832964595235307,0.567587552510261,0.832964595235307,0.567587552510261
"OSBPL3",0.831039916876874,0.578436716075406,0.831039916876874,0.578436716075406
"CTSS",0.830808928736026,0.539331387426723,0.830808928736026,0.539331387426723
"INPP5D",0.829180195907399,0.604369467692243,0.829180195907399,0.604369467692243
"SH3BP5",-0.828690007045714,-0.54578797469529,0.828690007045714,0.54578797469529
"CD3D",0.828141545593146,0.693922180761557,0.828141545593146,0.693922180761557
"BTN3A1",0.828115891137539,0.695516534725489,0.828115891137539,0.695516534725489
"FERMT2",-0.826811379399419,-0.576113192736355,0.826811379399419,0.576113192736355
"IGLV1-44",0.824939587757558,0.78139917261317,0.824939587757558,0.78139917261317
"LAT2",0.82478986948772,0.523520202419896,0.82478986948772,0.523520202419896
"CEBPD",-0.824776375072789,-0.608682278319017,0.824776375072789,0.608682278319017
"FCGR1B",0.824480273405396,0.52063840817752,0.824480273405396,0.52063840817752
"IGLC1",0.824444043291484,0.803449772322115,0.824444043291484,0.803449772322115
"RASSF2",0.823261145226018,0.476146879236271,0.823261145226018,0.476146879236271
"TCF7L2",-0.821036244464116,-0.426308120022911,0.821036244464116,0.426308120022911
"BATF",0.82056457392441,0.47822121823674,0.82056457392441,0.47822121823674
"MAN2B1",0.819783779902837,0.476695776440316,0.819783779902837,0.476695776440316
"TRBC1",0.818519444706273,0.767142598744132,0.818519444706273,0.767142598744132
"LAPTM5",0.818484243254606,0.481836268907083,0.818484243254606,0.481836268907083
"RNASET2",0.818265247899335,0.576853108779279,0.818265247899335,0.576853108779279
"LCP1",0.81800199204099,0.672687205323375,0.81800199204099,0.672687205323375
"RPN2",0.816772178603055,0.606230305922982,0.816772178603055,0.606230305922982
"C2",0.815204650323439,0.392096923677266,0.815204650323439,0.392096923677266
"PXDC1",-0.812223902150261,-0.68804975154745,0.812223902150261,0.68804975154745
"CYAT1",0.809796408024172,0.812668435046906,0.809796408024172,0.812668435046906
"TIMP1",0.809266472334633,0.534652273553132,0.809266472334633,0.534652273553132
"CD86",0.809053906298102,0.586799482763354,0.809053906298102,0.586799482763354
"IDH2",0.808039755438486,0.643014284161579,0.808039755438486,0.643014284161579
