"sample","group","sex","dataset"
"GSM1332201","HC",NA,"GSE55235"
"GSM1332202","HC",NA,"GSE55235"
"GSM1332203","HC",NA,"GSE55235"
"GSM1332204","HC",NA,"GSE55235"
"GSM1332205","HC",NA,"GSE55235"
"GSM1332206","HC",NA,"GSE55235"
"GSM1332207","HC",NA,"GSE55235"
"GSM1332208","HC",NA,"GSE55235"
"GSM1332209","HC",NA,"GSE55235"
"GSM1332210","HC",NA,"GSE55235"
"GSM1332221","RA",NA,"GSE55235"
"GSM1332222","RA",NA,"GSE55235"
"GSM1332223","RA",NA,"GSE55235"
"GSM1332224","RA",NA,"GSE55235"
"GSM1332225","RA",NA,"GSE55235"
"GSM1332226","RA",NA,"GSE55235"
"GSM1332227","RA",NA,"GSE55235"
"GSM1332228","RA",NA,"GSE55235"
"GSM1332229","RA",NA,"GSE55235"
"GSM1332230","RA",NA,"GSE55235"
"GSM1337304","HC","M","GSE55457"
"GSM1337305","HC","M","GSE55457"
"GSM1337306","HC","F","GSE55457"
"GSM1337307","HC","M","GSE55457"
"GSM1337308","HC","M","GSE55457"
"GSM1337309","HC","M","GSE55457"
"GSM1337310","HC","F","GSE55457"
"GSM1337311","HC","M","GSE55457"
"GSM1337312","HC","M","GSE55457"
"GSM1337313","HC","M","GSE55457"
"GSM1337314","RA","M","GSE55457"
"GSM1337315","RA","F","GSE55457"
"GSM1337316","RA","F","GSE55457"
"GSM1337317","RA","F","GSE55457"
"GSM1337318","RA","F","GSE55457"
"GSM1337319","RA","F","GSE55457"
"GSM1337320","RA","F","GSE55457"
"GSM1337321","RA","F","GSE55457"
"GSM1337322","RA","F","GSE55457"
"GSM1337323","RA","F","GSE55457"
"GSM1337324","RA","M","GSE55457"
"GSM1337325","RA","M","GSE55457"
"GSM1337326","RA","F","GSE55457"
"GSM302859","HC","M","GSE12021"
"GSM302864","HC","M","GSE12021"
"GSM302866","HC","F","GSE12021"
"GSM302870","HC","M","GSE12021"
"GSM302872","RA","M","GSE12021"
"GSM302882","RA","F","GSE12021"
"GSM302896","RA","F","GSE12021"
"GSM302900","RA","F","GSE12021"
"GSM302924","RA","F","GSE12021"
"GSM302927","RA","F","GSE12021"
"GSM302933","RA","F","GSE12021"
"GSM302943","RA","F","GSE12021"
"GSM303364","RA","F","GSE12021"
"GSM303366","RA","M","GSE12021"
"GSM303368","RA","M","GSE12021"
"GSM303520","RA","F","GSE12021"
"GSM303522","HC","M","GSE12021"
"GSM303523","HC","F","GSE12021"
"GSM303525","HC","M","GSE12021"
"GSM303531","HC","M","GSE12021"
"GSM303533","HC","M","GSE12021"
