"probe","GSM1337304","GSM1337305","GSM1337306","GSM1337307","GSM1337308","GSM1337309","GSM1337310","GSM1337311","GSM1337312","GSM1337313","GSM1337314","GSM1337315","GSM1337316","GSM1337317","GSM1337318","GSM1337319","GSM1337320","GSM1337321","GSM1337322","GSM1337323","GSM1337324","GSM1337325","GSM1337326"
"1007_s_at",455.2,380.9,1045.9,267.2,403.2,300.7,458.9,474.2,461.8,491,496.4,535.5,533.5,461.1,451.4,346.9,424.3,443.8,400,460.6,447.3,363.8,518.9
"1053_at",130.5,164.6,179.7,230.9,172.6,111.1,155.1,199.1,128.1,158.9,159,138.8,285.5,124.2,188.9,244.5,247.3,259.6,112.7,128.4,100,186.7,86
"117_at",385,607.4,216.3,432.9,416.1,175.7,301.2,446.7,473.6,449.5,216.5,294.5,397.5,374.3,157.8,204.7,236.4,279.6,744.1,328.5,489.9,697,681.6
"121_at",696.6,1049.8,1069.1,1226.6,1107.5,937.9,891.7,841.3,1174.5,941.8,1028.1,1270.8,1502.4,1512.8,809.5,1181.4,958.2,931.9,559.8,1091,845.7,1295.6,1122.6
"1255_g_at",27.9,38,54.1,60.5,58.9,33.4,57.6,39.8,40.6,52.2,106.9,44,92.1,69.9,18.9,45.6,52.1,18.4,60.4,133.2,81.1,41.6,46.9
"1294_at",651.7,722.1,531.1,247.6,318.1,286.8,641,827,907.1,679.5,688.9,539.3,625.2,704.9,370.6,641.1,785.4,767.9,763,794.3,639.3,584,706.4
"1316_at",101,78.7,96.6,80.3,95.2,99.2,62.1,94.1,120.2,159.1,106.1,119.2,132.9,111,66.1,110.5,55.4,91.5,108.3,68.7,110.3,106.3,134.3
"1320_at",85.6,13.6,35.6,34,15.2,98.4,80.9,55.4,102.5,14.3,57,34.2,20.9,86.7,44.9,49.3,8.2,15.4,5.7,15.8,47.3,28.7,42.1
"1405_i_at",360.9,207.4,30.5,10,495.6,24.5,212,240.9,222.9,86.3,1450.1,241.8,1443.9,1157,201.4,1356.2,1251.8,2367.7,1453.1,1188.6,49,673.4,890.5
"1431_at",86.5,58.5,20.9,58.3,36,53,42.3,91.1,80,74.4,63.2,63.9,48.5,47.3,24.5,36.8,43.7,51.8,76,38.8,58.7,57.6,64.9
"1438_at",103.7,32.8,78.2,26.9,59.3,28,167.3,95.6,117.1,59.1,28.9,113.6,155.2,89.2,105.6,108.3,97.6,117.8,64.7,137.8,135.1,79.8,231.5
"1487_at",599.2,576.3,470.5,785.6,655.8,692.3,508.2,491.1,459.1,529.5,836.3,475.7,547.1,599.3,398.5,624.1,351.5,467.7,400.4,622.6,490.9,558.1,574.1
"1494_f_at",213.2,246.1,263.5,289.1,322.8,119.6,128,181.1,160.7,218,330,174,239.6,184,177.2,125.1,93.7,152.2,83.6,238.9,170.7,171.3,204.8
"1598_g_at",2618.9,5368.1,5635.1,924.9,1766.4,4550.5,5259.7,4083.6,2993,4150.5,5780.3,3942.6,3660.6,3525,5239.3,4259.3,6594.8,4419.5,4284.2,3417.6,4678.8,3717.9,6091.1
"160020_at",3172.4,1267,855.4,830,727,1037.3,2290.1,1478,1207.9,1270.8,1091.8,936,841.6,581.3,529.1,855.6,596.5,683.4,628.8,907.4,918.8,716.4,1655.6
"1729_at",714.2,691.1,349.5,237.5,426.3,650.3,821.2,714.6,800.5,917.1,785.1,687.4,621.4,787.7,638.1,743.8,959.7,884.3,949,723.2,655.2,803.3,758.9
"1773_at",146.8,127.5,146.5,126.9,164.1,172.5,179.7,159.6,179.7,144.3,123.3,139.2,163.6,95.8,109.7,90.2,65.7,141.1,56.5,132.3,92.4,75.7,169.3
"177_at",192.4,227.8,183.5,55.5,113,118.3,157.6,183.3,190.2,214.4,172.9,171.6,200.7,109.3,116.3,166.4,65,144.4,169.1,191.3,171,154.3,197.1
"179_at",448.6,680.4,488.1,558.8,609,342.5,496.4,551.8,445.8,510.9,602.9,541.6,508.7,405.3,584.1,485.4,371.7,284.4,282.5,494.3,494,478.5,524.3
"1861_at",238.8,262.2,266.3,110,181.7,243.3,235.6,217.4,266.5,270.1,204.4,225.3,263,167,196.8,226.6,218.1,228.4,176.3,258,196.3,189.2,227.4
"200000_s_at",1267.8,1064.2,1456.3,1147.9,1284.5,1411.3,1584.8,1722.3,1611.9,1391.2,1229.3,1537.2,1233.3,1290.4,2163.2,1236.6,1833.1,1624,1100.9,1467.3,1348.7,1220.7,1347.3
"200001_at",4970,6995.7,4324.8,4047.5,4600.8,6678.2,6835.1,7659,6351.1,6565.7,5569.6,5640.5,4378.7,4699,5393.2,5395.6,4757.5,5831.1,4294.1,4686,6355.4,4894.2,6465.4
"200002_at",10449.6,10370.8,16033,8213.1,7860.2,12057.2,8698.5,7631.9,6965.8,8513.5,8456.4,8585.9,9425.6,8948,8686.9,8173.9,12245.8,9794.3,8051.6,11134.5,7919.6,8677.8,6016.6
"200003_s_at",15626.9,14149.5,16298.2,10753,11271.5,9608.8,11588.5,10325,9529.8,10668.8,10371.1,8992.3,12135.7,11689.5,9232.9,10510.9,15811.7,12427.5,10632.2,13440.7,9862.7,9950.3,8439.6
"200004_at",7032.6,6218.6,5746.9,7330,7838.3,5478.1,5945.6,5847.9,6214.5,5980.9,5491,5488.8,6323.5,6763.7,4629.8,6032.9,5933.5,6209.9,6012.5,5798.8,6217.2,6340.7,5655.5
"200005_at",3340.4,3839.4,4112,3830.7,2734.4,4483.4,4356.1,3750,3534.4,3768.5,3293.4,3589.6,3582.9,3714.5,3886.9,3556,4229,4823.7,3268.5,2754.2,3675,2452.3,3009.9
"200006_at",6400.4,6026.3,8971.9,6420.6,6290.4,6168.7,5439.7,5063.2,5184.5,5050.3,7432,6861.2,7797.1,8292.1,6297.6,6373.2,8035.9,6791.8,6030.4,7033.7,7043,6566.7,4872.7
"200007_at",6779.2,7655.7,8567,5943.6,6025.7,6514,7187.4,4804,4597.3,6208.1,5183.7,5774.8,5059.6,4430.1,5168.9,5040.5,5100.7,5169.6,5401.2,5364.3,5922.8,5241.3,5703.8
"200008_s_at",2204,2056.2,2226.8,2307.4,2050.2,2839,2392.5,2005.2,1738.8,2761.6,2138.2,2585.6,1787.7,1713.2,3186,2730.5,2591.7,3510.2,2155.7,2836.9,2551.2,2550.4,2815.7
"200009_at",6168.4,6977.7,6936.3,5889.7,5338.2,7542.9,7118,6352.1,5923,6776.4,7081.5,5605.2,6190.4,7196.8,5810.8,6308.8,7851.3,7225.9,6535.5,6110.9,6478.3,6206.6,6971.1
"200010_at",10239.3,11602.4,14209.6,10781.3,8177.7,11100.4,9691.9,9819.2,9300.1,10375.9,9448.3,8347.8,8473,9686.6,8104,8613,11665.1,9044.3,8182.8,10805.5,8829.1,9394.2,7066.7
"200011_s_at",2159.1,2432.4,1913.3,1880,1812.2,2160.5,2900.1,2192.6,2104.8,1938,2678.7,2603.7,2845.8,2996.7,2829.5,2540.5,2433.3,2481.8,1816,2037.9,2355.5,2457,1936.2
"200012_x_at",12744.6,14949.3,19608.9,10382,10342.3,16041.3,12237.4,11964.4,12457,13061.4,9486.9,8998,9482.3,10401.3,9921.1,8853.7,13284.5,11196.9,8967.1,11419.3,9521.4,11374.9,9790.5
"200013_at",9916.2,9617.5,15187.2,10370.7,9158.4,10114.4,8591.4,8476.9,7200.5,6725.8,6545,8023.3,8311,7499,8595.3,7330.4,10993.7,9205.7,7126.4,9758.5,7767.9,8228.4,5708.2
"200014_s_at",1996.2,1771.2,2420.8,2681.3,2592.6,1109.8,1182.6,1134.8,1128.2,1128.9,1673.6,1623.3,1815.3,2015.3,1419.8,1490.7,1777.6,1557,1721.2,1546.4,1597.3,1393.2,1229.6
"200015_s_at",4432.2,5387.6,4961.9,3200,4132.4,3685.8,4628.8,3222,3258.7,3372.3,5923.4,5718.4,5703.2,6411.2,5111.6,4326.8,4352.1,4186.5,3990.9,4379.5,5156.6,5214.7,3435.8
"200016_x_at",11954.3,9810.3,13062.2,12249.8,10385.4,10508.4,8914.7,8917.5,8876.8,8848.6,7067.6,7355.8,8248.6,8838.8,7489.3,7645.1,9821,7475.8,7515.7,7634.4,8624.5,7102.7,8657
"200017_at",10059.1,12562.5,16853.4,10368,10856.8,8167,6407.7,5862.4,6460.2,5588.3,8119,9018.4,10270.2,10503.7,8140,8431.8,9920,9195.6,7935.3,10548.9,9211.4,9681.9,6627.6
"200018_at",16467.1,16438.2,18267,13931.9,13393,16161.5,14822,13579,14363,12805.5,10670.9,9512.9,11082.5,11415.6,9222.1,10280.5,12742.7,11570.3,10811.3,12593.4,11323.9,12371.6,11560.2
"200019_s_at",8375.1,12837.9,13781.1,10161.1,8981.8,11587.7,9138.5,10235,9162.4,10494.2,10307.3,10558.9,11014.9,11066.4,9800,9416.7,14992.1,10918.6,9284.1,11408.2,8617.1,8766.8,7474.5
"200020_at",2090.4,1892.1,1614.3,2148.7,1548.5,2349,1897,1645.8,1628.3,1933.6,2042.3,1982.8,2079.6,2805.9,2219.7,2028.2,2752.5,2383.5,2121.9,1870.6,2319.8,2095.9,2232.9
"200021_at",15706.8,18955.1,10258.3,15721,14303.2,11088.1,15731,13641.2,14325.3,16116,13087.1,8379.9,11461.2,13423.1,9551.4,12223.4,12972.6,13796.7,12059.3,14517.9,12390,14118.8,15662.4
"200022_at",6634.6,9126,13190.5,8770.5,7432.8,8785.8,8578.6,6877.5,6227.6,7537.2,8895.1,8385.4,10275,7805.7,8210.6,9010.2,11907.3,8953.3,7352.8,10806.9,6839.8,6870.9,4319.8
"200023_s_at",4687.1,4295.2,6397,2817.6,3249.7,4349.1,4404.5,3957.3,3803.7,3863.9,3982,4593,4772.4,3230,3909.8,4478.7,4812,3745.9,4004.3,3721.2,3628.2,2940,2981.7
"200024_at",9385.3,9132.5,13791.2,9031.4,7920.2,10349.3,5866.3,8554.9,7723.2,13636.8,3687.5,6337.3,5195.7,3660.7,6958.5,6041.2,8257.9,5878.3,5893.1,6136.3,6340.6,6719.7,7077
