sex,gene,in_eQTL_MR_panel,in_mQTL_MR_panel,eQTL_MR_OR,eQTL_MR_pval,eQTL_MR_FDR,eQTL_MR_direction,eQTL_MHC_region,eQTL_MR_significant,mQTL_candidate_cpg,mQTL_cpg_chr,mQTL_cpg_pos_hg19,mQTL_instrument_available,mQTL_MR_beta,mQTL_MR_pval,mQTL_MR_significant,DEG_logFC,DEG_adjP,DEG_direction,DEG_significant,DMP_top_cpg,DMP_cpg_chr,DMP_cpg_pos_hg19,DMP_dbeta,DMP_fdr_bacon,DMP_direction,DMP_genomewide_significant,DMP_suggestive_only,DMR_id,DMR_ncpgs,DMR_meandiff,DMR_fdr,DMR_direction,DMR_significant,direction_combo,methylation_significant_DMP_or_DMR,cross_omics_significant_both_layers,cross_omics_significant_DEG_and_DMR
male,AIF1,TRUE,FALSE,0.556109054393589,2.53117430053952e-24,1.42926975503798e-21,protective (OR<1),TRUE,TRUE,,,,FALSE,,,FALSE,0.206493667845377,0.02587037896199,Up in RA,TRUE,cg04812347,chr6,31584223,-0.0584336644685718,0.930897992611713,hypo,FALSE,FALSE,,,,,no overlapping DMR,FALSE,hypo / up,FALSE,FALSE,FALSE
male,AP4B1,TRUE,FALSE,1.42352855026351,1.29996937712876e-12,3.1459258926516e-10,risk (OR>1),FALSE,TRUE,,,,FALSE,,,FALSE,-0.229955706061632,0.000790090337592787,Down in RA,TRUE,cg22159133,chr1,114447579,0.00726215833207478,0.850159189560188,hyper,FALSE,FALSE,,,,,no overlapping DMR,FALSE,hyper / down,FALSE,FALSE,FALSE
male,BRD2,TRUE,FALSE,1.55350212799669,9.89942317931992e-09,1.39746857214733e-06,risk (OR>1),TRUE,TRUE,,,,FALSE,,,FALSE,-0.366144514066886,0.000419734205716123,Down in RA,TRUE,cg27352066,chr6,32939777,-0.00177167285384936,0.650962728764442,hypo,FALSE,FALSE,chr6:32939192-32941389,68,0.00465587303869813,0.0435352689678904,hyper,TRUE,hypo / down,TRUE,FALSE,TRUE
male,C19orf54,FALSE,TRUE,,,,,,FALSE,cg14004673,chr19,41256593,FALSE,,,FALSE,-0.49741081811832,0.000313086858713823,Down in RA,TRUE,cg14004673,chr19,41256593,0.00531579637777034,0.42239003834838,hyper,FALSE,TRUE,chr19:41255444-41257233,13,0.000465382820072381,0.0435352689678904,hyper,TRUE,hyper / down,TRUE,FALSE,TRUE
male,C5orf44,FALSE,TRUE,,,,,,FALSE,cg10186232,chr5,64920368,TRUE,0.0158814762340421,0.742476687658161,FALSE,,,not measured,FALSE,cg10186232,chr5,64920368,0.013052698459362,0.918705493041705,hyper,FALSE,FALSE,,,,,no overlapping DMR,FALSE,,FALSE,FALSE,FALSE
male,C6orf136,TRUE,FALSE,0.536762096416345,1.19995423521422e-08,1.56363267265606e-06,protective (OR<1),TRUE,TRUE,,,,FALSE,,,FALSE,-0.240607886112944,0.000986612736990967,Down in RA,TRUE,cg02552466,chr6,30616879,-0.0106343020233826,0.753696960404751,hypo,FALSE,FALSE,chr6:30616867-30616879,2,-0.0110806905132451,0.045611457734226,hypo,TRUE,hypo / down,TRUE,FALSE,TRUE
male,CDC37,TRUE,FALSE,0.752103032662304,0.000359995549482369,0.0217797307436833,protective (OR<1),FALSE,TRUE,,,,FALSE,,,FALSE,-0.278439672262709,0.000994165254386132,Down in RA,TRUE,cg26734579,chr19,10509596,-0.00170240817864942,0.938070787583065,hypo,FALSE,FALSE,,,,,no overlapping DMR,FALSE,hypo / down,FALSE,FALSE,FALSE
male,CSNK2B,TRUE,FALSE,0.54638455853634,1.29978374911488e-11,2.44648185666735e-09,protective (OR<1),TRUE,TRUE,,,,FALSE,,,FALSE,-0.349288925432634,8.5605769711534e-06,Down in RA,TRUE,cg23817343,chr6,31636140,-0.00534815656598109,0.765292061726194,hypo,FALSE,FALSE,chr6:31632320-31634349,51,0.00648740463254801,0.0435352689678904,hyper,TRUE,hypo / down,TRUE,FALSE,TRUE
male,DAXX,TRUE,FALSE,0.483553031085274,2.97770723177356e-06,0.000296719767683789,protective (OR<1),TRUE,TRUE,,,,FALSE,,,FALSE,-0.34444635068861,0.000126005378751329,Down in RA,TRUE,cg09992055,chr6,33290281,0.00779867811511495,0.814359103570244,hyper,FALSE,FALSE,chr6:33289660-33290842,22,0.00597276867419996,0.151080581257732,hyper,FALSE,hyper / down,FALSE,FALSE,FALSE
male,ELOVL6,FALSE,TRUE,,,,,,FALSE,cg17484629,chr4,111119220,FALSE,,,FALSE,0.627404693637543,0.00213837161781212,Up in RA,TRUE,cg17484629,chr4,111119220,0.00489913983565565,0.728587983780095,hyper,FALSE,FALSE,chr4:111119052-111120249,15,0.000626034410078834,0.0435352689678904,hyper,TRUE,hyper / up,TRUE,FALSE,TRUE
