cpg,decision
cg14521995,Confirmed
cg18924965,Rejected
cg21898246,Rejected
cg09808176,Rejected
cg18800136,Rejected
cg15686800,Rejected
cg01816997,Rejected
cg02712075,Rejected
cg04761648,Rejected
cg24985459,Rejected
cg09513133,Rejected
cg07611106,Rejected
cg13550731,Rejected
cg13793166,Rejected
cg12980917,Rejected
cg01916088,Rejected
cg07490776,Rejected
cg23314071,Rejected
cg17224732,Rejected
cg27312944,Rejected
cg24307440,Rejected
cg07212292,Rejected
cg09007161,Rejected
cg19160520,Rejected
cg26427109,Rejected
cg21654974,Rejected
cg13209122,Rejected
cg20517616,Rejected
cg24684739,Rejected
cg13712476,Rejected
cg25433490,Rejected
cg02006977,Rejected
cg12417372,Rejected
cg16125762,Rejected
cg22619763,Rejected
cg11295144,Rejected
cg19238422,Rejected
cg08134829,Confirmed
cg00419333,Rejected
cg06839380,Rejected
cg10437627,Rejected
cg07562055,Rejected
cg26230819,Rejected
cg20569141,Rejected
cg05668405,Rejected
cg09150117,Rejected
cg21365564,Rejected
cg08180285,Rejected
cg16516959,Rejected
cg18603466,Rejected
cg01763702,Rejected
cg00515161,Confirmed
cg09667551,Rejected
cg24664526,Rejected
cg25683069,Rejected
cg13622209,Rejected
cg10254974,Rejected
cg09360571,Rejected
cg22746765,Rejected
cg16434002,Rejected
cg23533254,Rejected
cg20140229,Rejected
cg09307727,Rejected
cg05179038,Rejected
cg18497394,Rejected
cg06157539,Rejected
cg06248406,Rejected
cg02325243,Rejected
cg26722322,Rejected
cg19376709,Rejected
cg05301102,Rejected
cg17398233,Rejected
cg03761846,Rejected
cg00688900,Rejected
cg21586955,Rejected
cg26321464,Rejected
cg26057380,Rejected
cg19692996,Rejected
cg10153335,Rejected
cg24837411,Rejected
cg27523423,Rejected
cg15775457,Rejected
cg00456011,Rejected
cg10731794,Rejected
cg00507259,Rejected
cg10348543,Rejected
cg19305111,Rejected
cg14048834,Rejected
cg20489345,Rejected
cg23297477,Rejected
cg16770933,Rejected
cg14938514,Rejected
cg07693657,Rejected
cg11995506,Rejected
cg25040670,Rejected
cg13542817,Rejected
cg15304692,Rejected
cg09077675,Rejected
cg01013630,Rejected
cg17722231,Rejected
cg19216490,Rejected
cg12865552,Rejected
cg00467244,Rejected
cg21784498,Rejected
cg02692441,Rejected
cg14032204,Rejected
cg23717290,Rejected
cg11784071,Rejected
cg05871781,Rejected
cg01820262,Rejected
cg09464509,Rejected
cg19655070,Rejected
cg14526732,Rejected
cg07149862,Rejected
cg19526685,Rejected
cg15478005,Rejected
cg06870868,Rejected
cg00580805,Rejected
cg11928000,Rejected
cg08687718,Rejected
cg25987077,Rejected
cg11523685,Rejected
cg08169659,Rejected
cg14513822,Rejected
cg14580848,Rejected
cg02637781,Rejected
cg25215329,Rejected
cg05360176,Rejected
cg16705073,Rejected
cg00289052,Rejected
cg18082014,Rejected
cg07549162,Rejected
cg07338058,Rejected
cg14589148,Rejected
cg19657723,Rejected
cg02126435,Rejected
cg23057706,Rejected
cg11897690,Rejected
cg03705042,Rejected
cg05009394,Rejected
cg25381667,Rejected
cg03017653,Rejected
cg23637155,Rejected
cg27067379,Rejected
cg10360323,Rejected
cg16502980,Rejected
cg07388801,Rejected
cg12878710,Rejected
cg04467278,Rejected
cg09758623,Rejected
cg26665480,Rejected
cg01526870,Rejected
cg13535779,Rejected
cg02987705,Rejected
cg02604407,Rejected
cg03117949,Rejected
cg17441280,Rejected
cg22652561,Rejected
cg12267883,Rejected
cg12409601,Rejected
cg14352442,Rejected
cg02952711,Rejected
cg25379161,Confirmed
cg14768367,Rejected
cg15160843,Rejected
cg15131722,Rejected
cg27150010,Rejected
cg15848628,Rejected
cg26082665,Rejected
cg04737319,Rejected
cg24541871,Rejected
cg07491444,Rejected
cg00298020,Rejected
cg24717854,Rejected
cg11713788,Rejected
cg00487780,Rejected
cg22373079,Confirmed
cg04672538,Rejected
cg00462311,Confirmed
cg19430489,Rejected
cg04138181,Rejected
cg05401764,Rejected
cg12129209,Rejected
cg26673609,Rejected
cg14771938,Rejected
cg22836535,Rejected
cg13410446,Rejected
cg00443673,Rejected
cg02190746,Rejected
cg23984997,Rejected
cg23542134,Rejected
cg19050973,Rejected
cg08390760,Rejected
cg13091707,Rejected
cg23868720,Rejected
cg11581362,Rejected
cg10763059,Rejected
cg15129307,Rejected
cg06436655,Rejected
cg26793226,Rejected
cg25945821,Rejected
cg00458210,Rejected
cg23970798,Rejected
cg06100899,Rejected
cg02479773,Rejected
cg06097707,Rejected
cg22043634,Rejected
cg19187521,Rejected
cg26445772,Rejected
cg27137978,Rejected
cg26287612,Rejected
cg18207141,Rejected
cg17842157,Rejected
cg17329518,Rejected
cg04193422,Rejected
cg00905725,Rejected
cg19644445,Rejected
cg09438612,Rejected
cg01697541,Rejected
cg00355909,Rejected
cg01897796,Rejected
cg11910829,Rejected
cg13671249,Rejected
cg00993824,Rejected
cg15933195,Rejected
cg20187250,Rejected
cg17666096,Rejected
cg05931087,Rejected
cg11838463,Rejected
cg02324737,Rejected
cg15855450,Rejected
cg27002185,Rejected
cg17420659,Rejected
cg06308025,Rejected
cg04590313,Rejected
cg19818298,Rejected
cg00857660,Rejected
cg15708001,Rejected
cg26168975,Rejected
cg27385940,Rejected
cg11615303,Rejected
cg09077340,Rejected
cg13213997,Rejected
cg16016616,Rejected
cg09818520,Rejected
cg16721977,Rejected
cg05377417,Rejected
cg09224134,Rejected
cg26082690,Rejected
cg17152658,Rejected
cg02293936,Rejected
cg24663490,Rejected
cg08479688,Rejected
cg05074908,Rejected
cg26159077,Rejected
cg23526861,Rejected
cg18825927,Rejected
cg10321208,Rejected
cg07541023,Rejected
cg11862959,Rejected
cg03474133,Rejected
cg13396858,Rejected
cg27656486,Rejected
cg11789530,Rejected
cg13374688,Rejected
cg14148609,Rejected
cg00322319,Confirmed
cg00402812,Rejected
cg02925840,Rejected
cg15844785,Rejected
cg02120739,Confirmed
cg08122789,Rejected
cg20943039,Rejected
cg27064064,Rejected
cg04563419,Rejected
cg26456506,Rejected
cg10384373,Rejected
cg21192065,Rejected
cg19769967,Confirmed
cg27400772,Rejected
cg02675010,Rejected
cg08008199,Rejected
cg27591450,Rejected
cg14142965,Rejected
cg08593051,Rejected
cg17510056,Rejected
cg14237711,Rejected
cg13257514,Rejected
cg05130022,Rejected
cg00744229,Rejected
cg26752884,Rejected
cg05993306,Rejected
cg01253545,Rejected
cg11111423,Rejected
cg11696475,Rejected
cg20458812,Rejected
cg14487680,Rejected
cg16094925,Rejected
cg05613002,Rejected
cg06652675,Rejected
cg23232844,Rejected
cg05729499,Rejected
cg13665940,Rejected
cg07844021,Rejected
cg15896259,Rejected
cg20223162,Rejected
cg12089985,Rejected
cg06510830,Rejected
cg02075405,Rejected
cg07162665,Rejected
cg08854313,Rejected
cg16995420,Rejected
cg25419628,Rejected
cg07162124,Rejected
cg25835306,Rejected
cg08506260,Rejected
cg02891332,Rejected
cg12073754,Rejected
cg05436064,Rejected
cg00146096,Rejected
cg15805053,Rejected
cg04628008,Rejected
cg14193550,Rejected
cg21553524,Rejected
cg24826892,Rejected
cg00319395,Rejected
cg24322382,Rejected
cg27354620,Rejected
cg09523472,Rejected
cg00530492,Rejected
cg25615509,Rejected
cg10855528,Rejected
cg05730301,Rejected
cg14828484,Rejected
cg05890887,Rejected
cg01791104,Rejected
cg02095937,Rejected
cg05164185,Rejected
cg19622488,Rejected
cg14180718,Rejected
cg19319735,Rejected
cg10341935,Rejected
cg04387418,Rejected
cg06081153,Confirmed
cg18379624,Rejected
cg03506045,Rejected
cg07437286,Rejected
cg19245361,Rejected
cg14624895,Rejected
cg19157140,Confirmed
cg17100207,Rejected
cg18227923,Rejected
cg20683754,Rejected
cg03500965,Rejected
cg16963062,Rejected
cg19149410,Rejected
cg11150901,Rejected
cg17925022,Rejected
cg19538502,Rejected
cg21777986,Rejected
cg14155482,Rejected
cg12262681,Rejected
cg27052777,Rejected
cg04403629,Rejected
cg09381635,Rejected
cg20287640,Rejected
cg24022821,Rejected
cg19601991,Rejected
cg14307443,Rejected
cg26976390,Rejected
cg15841415,Rejected
cg01812337,Rejected
