seqnames,start,end,width,strand,no.cpgs,min_smoothed_fdr,Stouffer,HMFDR,Fisher,maxdiff,meandiff,overlapping.genes,sex,dmr_fdr
chr6,32551749,32552453,705,*,9,9.95837822781678e-16,3.77389148125924e-10,0.00689268899370422,6.28886468052687e-10,0.130075453647783,0.0578094952245448,HLA-DRB1,F,1.75750126282243e-06
chr17,80393124,80394416,1293,*,6,6.72678297032159e-15,9.24579415563185e-08,0.00518642384558885,1.8529763883017e-08,0.0396734792597124,0.0148753024016897,HEXDC,F,7.17627723046292e-05
chr6,28945182,28945507,326,*,8,5.51825869235005e-10,9.05379861076135e-08,0.013388435372291,7.53859496051337e-07,-0.0260866135888016,0.0038569419050314,RN7SL471P,F,7.17627723046292e-05
chr6,32303626,32305145,1520,*,7,6.76989935180037e-08,9.0877735709426e-08,0.0127183248714926,3.88803198604378e-07,-0.102333669668163,-0.0488378078767584,C6orf10,F,7.17627723046292e-05
chr16,4731639,4733253,1615,*,10,9.55536160228636e-08,9.24579415563185e-08,0.0179525172609531,2.14976564108322e-06,-0.0538275215360164,-0.00250570086010302,MGRN1,F,7.17627723046292e-05
chr12,129279936,129282057,2122,*,10,2.12737426941487e-07,9.24579415563185e-08,0.0115405716428096,3.37128222412296e-07,0.06649503117043,0.0349963238421422,SLC15A4,F,7.17627723046292e-05
chr2,232393064,232393256,193,*,3,2.99857767562478e-11,1.8348365535992e-07,0.00276390511941329,3.37128222412296e-07,0.0547134976730019,0.0359454575433626,NMUR1,F,0.00010655769603312
chr6,32294260,32295859,1600,*,7,2.70566819590466e-10,2.05930698797098e-07,0.010788009016712,7.53859496051337e-07,-0.0837100690042613,-0.0447207502282865,C6orf10,F,0.00010655769603312
chr19,57349204,57352269,3066,*,23,1.7526817147379e-07,1.91642306623855e-07,0.0231802131615368,2.14976564108322e-06,0.0188664266482442,0.00617484258531359,"ZIM2, PEG3",F,0.00010655769603312
chr6,31148332,31148666,335,*,14,5.02025397040351e-07,7.16756349499153e-07,0.0539508698690449,5.71877321516931e-05,0.0255328070800795,0.0174999862388319,POU5F1,F,0.000333793431961755
chr20,57425979,57427830,1852,*,60,2.89118578110429e-16,8.76560641363627e-07,0.0385224523350199,1.45554225235142e-06,0.0362091697889658,0.00839418378654781,GNAS,F,0.000340178575569201
chr11,67201998,67203661,1664,*,7,1.62569003024481e-08,8.76560641363627e-07,0.00934337517034838,2.48214240160992e-06,0.0703532029976072,0.0532508217555672,"RPS6KB2, AP003419.16, PTPRCAP",F,0.000340178575569201
chr4,69179905,69179965,61,*,3,3.4493262223019e-09,1.38559977836602e-06,0.00446108296238237,1.7547659004696e-06,0.0435843977720067,0.0296569801289834,YTHDC1,F,0.000460909869132183
chr16,29673933,29676071,2139,*,12,3.83356922459579e-09,1.38559977836602e-06,0.00973675916781557,8.35211858955355e-07,-0.0158481121713056,-0.00208593135548005,"SPN, QPRT",F,0.000460909869132183
chr2,232258012,232260784,2773,*,13,3.32870271100276e-11,1.94395946095739e-06,0.00799430095604923,2.41819923981401e-07,-0.030406922678685,-0.00351351548666787,"AC017104.6, B3GNT7",F,0.00056581370060491
chr4,174427146,174430141,2996,*,18,2.53819877264503e-06,1.94395946095739e-06,0.0159697524891946,1.45554225235142e-06,-0.0455091423105195,-0.0219771086534227,,F,0.00056581370060491
chr3,122281881,122281975,95,*,3,5.0519735076901e-10,2.27732967907952e-06,0.00702158268925885,6.77304076930161e-06,-0.039734179194151,-0.027804642665525,PARP9,F,0.000591780479908211
chr6,30859697,30860960,1264,*,18,1.0047205641169e-07,2.28731987080691e-06,0.0342481152754613,3.79355077415919e-05,0.0246390301718134,0.000603305616716232,DDR1,F,0.000591780479908211
chr11,14994130,14996997,2868,*,37,3.1511026801636e-06,2.48008364534101e-06,0.0431617633341005,2.19910281829709e-05,-0.016803384194647,0.00195093650852048,CALCB,F,0.000607881554544898
chr6,32806906,32815091,8186,*,104,7.92793864855469e-11,3.11136828330081e-06,0.0370020418150008,1.45554225235142e-06,0.0545827274163836,0.00708850187057551,"TAPSAR1, PSMB9, PSMB8, TAP1",F,0.000724482104766595
chr10,102295134,102296115,982,*,11,2.7747643272516e-08,3.44177625913228e-06,0.0162485825973341,3.72327404008726e-05,-0.0220716495402371,0.00384629748123737,HIF1AN,F,0.000728561456308138
chr3,42977777,42978248,472,*,8,1.40125096441694e-07,3.44177625913228e-06,0.0199411016122516,5.71877321516931e-05,-0.0274767241734729,-0.0188365112582962,"KRBOX1, KRBOX1, KRBOX1-AS1",F,0.000728561456308138
chr1,110306507,110306642,136,*,3,2.40214737153163e-08,4.57411508757793e-06,0.00944701868847725,2.15082302350817e-05,0.0409033263798676,0.0268096956488579,"GSTM5, RP4-735C1.4, EPS8L3",F,0.000852066158514017
chr14,106320202,106322429,2228,*,13,3.70209779595285e-08,4.54106317636601e-06,0.00689268899370422,6.77304076930161e-06,0.0256873994438043,0.00974040484610327,IGHM,F,0.000852066158514017
chr14,105857176,105857250,75,*,3,6.82491014456285e-08,4.57411508757793e-06,0.00701917363471232,1.30483788476709e-05,0.014992012954486,0.0115783686365429,PACS2,F,0.000852066158514017
chr15,69087774,69087809,36,*,2,1.29114750266718e-08,6.32241815211834e-06,0.000268205602740358,3.84911302672693e-06,-0.0245528830426395,-0.0228467165987402,ANP32A,F,0.00113244235901597
chr10,73848153,73849626,1474,*,14,8.96985594618965e-14,1.25585714213581e-05,0.0115405716428096,8.35211858955355e-07,0.0435178894967635,0.000721002621989416,SPOCK2,F,0.00182766459716452
chr1,149856997,149860026,3030,*,24,2.50696595665287e-10,1.19698528106952e-05,0.0130040162099616,4.17048787854515e-06,0.0217838341089016,0.00968831523258891,"HIST2H2AC, BOLA1, HIST2H2BE, HIST2H2AB",F,0.00182766459716452
chr1,248902767,248904369,1603,*,8,5.69425473376321e-10,1.25585714213581e-05,0.00702158268925885,3.60014499774466e-07,-0.0654777489853609,-0.0284980057270724,LYPD8,F,0.00182766459716452
chr4,40631571,40633269,1699,*,13,6.50920612121058e-09,1.25585714213581e-05,0.0161752269581799,2.56205497631747e-05,-0.0582090817994795,-0.0149956889916906,RBM47,F,0.00182766459716452
chr2,202047246,202048100,855,*,5,8.71875234339014e-07,1.25585714213581e-05,0.0130709264257955,7.58640611190434e-05,-0.0520539890582226,-0.0193756482306638,CASP10,F,0.00182766459716452
chr1,67600172,67600835,664,*,8,9.2773548043656e-07,1.09237366687185e-05,0.0190075420464762,7.65289535960503e-05,-0.0119924337173356,-0.0020991024744223,C1orf141,F,0.00182766459716452
chr12,44152117,44153217,1101,*,14,2.64385550323129e-06,1.37455783370012e-05,0.0358045785084784,0.000206059960062687,0.0194880541739875,0.00869137577123064,"IRAK4, PUS7L",F,0.00193979267622468
