sex,SYMBOL,ENSEMBL,expr_logFC,expr_p,expr_direction,CpG,region,island,delta_M,meth_p,meth_direction,biological_pattern
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg11629380,Body,Island,0.13472388782494446,0.02550999169962048,HYPERmethylated in responders,concordant (gene-body hypermethylation -> higher expression)
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg21616051,TSS200,S_Shore,0.20424020245798866,0.051687019780013846,HYPERmethylated in responders,non-canonical / not the textbook direction
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg17000427,Body,Island,-0.24755084754425938,0.07506616013951095,HYPOmethylated in responders,non-canonical / not the textbook direction
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg05320215,3'UTR,Island,0.12311312141031547,0.07780711487974201,HYPERmethylated in responders,non-canonical / not the textbook direction
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg05320215,Body,Island,0.12311312141031547,0.07780711487974201,HYPERmethylated in responders,concordant (gene-body hypermethylation -> higher expression)
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg08823577,5'UTR,Island,0.1483217346657223,0.1498817310425198,HYPERmethylated in responders,non-canonical / not the textbook direction
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg06120755,Body,N_Shore,0.0839050536623483,0.20420441831946948,HYPERmethylated in responders,concordant (gene-body hypermethylation -> higher expression)
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg02703850,5'UTR,Island,0.08526196379182366,0.20690898444494202,HYPERmethylated in responders,non-canonical / not the textbook direction
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg02406484,3'UTR,Island,0.0847613858602093,0.21379858299624374,HYPERmethylated in responders,non-canonical / not the textbook direction
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg02406484,Body,Island,0.0847613858602093,0.21379858299624374,HYPERmethylated in responders,concordant (gene-body hypermethylation -> higher expression)
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg22954703,Body,Island,-0.12093100177374864,0.21428537668565545,HYPOmethylated in responders,non-canonical / not the textbook direction
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg24226891,Body,N_Shore,0.08227319607383085,0.22257104214091436,HYPERmethylated in responders,concordant (gene-body hypermethylation -> higher expression)
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg16817180,3'UTR,Island,0.06799742530899879,0.24026285762921012,HYPERmethylated in responders,non-canonical / not the textbook direction
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg16817180,Body,Island,0.06799742530899879,0.24026285762921012,HYPERmethylated in responders,concordant (gene-body hypermethylation -> higher expression)
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg15045084,TSS1500,N_Shelf,0.08118101543060904,0.24496217546426133,HYPERmethylated in responders,non-canonical / not the textbook direction
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg22399211,Body,Island,0.10032246338762252,0.24997393018276517,HYPERmethylated in responders,concordant (gene-body hypermethylation -> higher expression)
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg02401749,Body,Island,0.08712330720998934,0.2545509078442954,HYPERmethylated in responders,concordant (gene-body hypermethylation -> higher expression)
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg04648402,TSS1500,S_Shore,0.06996425537062141,0.2599615610464487,HYPERmethylated in responders,non-canonical / not the textbook direction
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg18168751,Body,OpenSea,0.09279705338913008,0.29910640519869797,HYPERmethylated in responders,concordant (gene-body hypermethylation -> higher expression)
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg21628539,TSS1500,N_Shelf,0.09813797453602022,0.3055964003734695,HYPERmethylated in responders,non-canonical / not the textbook direction
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg23802491,TSS200,S_Shore,0.07628865323067913,0.3402213573960208,HYPERmethylated in responders,non-canonical / not the textbook direction
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg21743826,Body,OpenSea,-0.148448188969798,0.3712698966120944,HYPOmethylated in responders,non-canonical / not the textbook direction
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg11017086,Body,N_Shore,-0.09927639051131625,0.37512251603958857,HYPOmethylated in responders,non-canonical / not the textbook direction
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg05208196,Body,Island,0.06385243129441269,0.3764720054132862,HYPERmethylated in responders,concordant (gene-body hypermethylation -> higher expression)
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg17584035,Body,Island,0.06448415806930337,0.3807424727604406,HYPERmethylated in responders,concordant (gene-body hypermethylation -> higher expression)
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg20229048,Body,N_Shore,0.08047129354599815,0.38526351510039314,HYPERmethylated in responders,concordant (gene-body hypermethylation -> higher expression)
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg27620356,Body,Island,0.039809058303709254,0.40024454363760886,HYPERmethylated in responders,concordant (gene-body hypermethylation -> higher expression)
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg18659028,Body,N_Shore,0.04921810145948422,0.40199022603272494,HYPERmethylated in responders,concordant (gene-body hypermethylation -> higher expression)
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg09153458,Body,N_Shore,0.0700367476106132,0.40395675118336527,HYPERmethylated in responders,concordant (gene-body hypermethylation -> higher expression)
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg15058036,3'UTR,N_Shore,0.06062823267292126,0.4113378574236546,HYPERmethylated in responders,non-canonical / not the textbook direction
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg15058036,Body,N_Shore,0.06062823267292126,0.4113378574236546,HYPERmethylated in responders,concordant (gene-body hypermethylation -> higher expression)
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg15138543,TSS1500,S_Shore,0.29820455092165543,0.41671320273715196,HYPERmethylated in responders,non-canonical / not the textbook direction
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg15138543,TSS200,S_Shore,0.29820455092165543,0.41671320273715196,HYPERmethylated in responders,non-canonical / not the textbook direction
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg04969220,Body,N_Shore,0.06272565745488018,0.4478947227916972,HYPERmethylated in responders,concordant (gene-body hypermethylation -> higher expression)
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg03402994,Body,Island,0.06319120360344066,0.4512319409271436,HYPERmethylated in responders,concordant (gene-body hypermethylation -> higher expression)
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg23332689,TSS1500,S_Shore,0.06497983516379123,0.46807818510653,HYPERmethylated in responders,non-canonical / not the textbook direction
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg08891904,Body,Island,-0.14939974330708822,0.5353503050199202,HYPOmethylated in responders,non-canonical / not the textbook direction
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg15707747,Body,N_Shore,0.047038989280892195,0.540624168520005,HYPERmethylated in responders,concordant (gene-body hypermethylation -> higher expression)
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg06177255,5'UTR,S_Shore,0.0486647693627796,0.5779462153312374,HYPERmethylated in responders,non-canonical / not the textbook direction
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg23299989,Body,Island,-0.06415484059146971,0.578616818569974,HYPOmethylated in responders,non-canonical / not the textbook direction
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg02776128,Body,Island,0.029469294292570773,0.6617650277111469,HYPERmethylated in responders,concordant (gene-body hypermethylation -> higher expression)
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg09359391,Body,N_Shore,0.029168677786253316,0.7085797186310029,HYPERmethylated in responders,concordant (gene-body hypermethylation -> higher expression)
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg21459867,3'UTR,Island,0.0240286017007943,0.7144456120784732,HYPERmethylated in responders,non-canonical / not the textbook direction
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg21459867,Body,Island,0.0240286017007943,0.7144456120784732,HYPERmethylated in responders,concordant (gene-body hypermethylation -> higher expression)
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg03889767,TSS1500,S_Shore,-0.09402287676960812,0.7562042004592846,HYPOmethylated in responders,concordant (promoter hypomethylation -> higher expression)
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg21570464,3'UTR,OpenSea,0.03686757108674663,0.7635560272349553,HYPERmethylated in responders,non-canonical / not the textbook direction
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg10467352,Body,OpenSea,-0.015475964725859031,0.795395480311609,HYPOmethylated in responders,non-canonical / not the textbook direction
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg04912050,Body,Island,0.017850113376280678,0.8077495782615861,HYPERmethylated in responders,concordant (gene-body hypermethylation -> higher expression)
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg08393516,1stExon,S_Shore,0.013969858834199298,0.8249900403857303,HYPERmethylated in responders,non-canonical / not the textbook direction
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg08393516,5'UTR,S_Shore,0.013969858834199298,0.8249900403857303,HYPERmethylated in responders,non-canonical / not the textbook direction
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg10827011,Body,Island,-0.02050158369114058,0.904249808342271,HYPOmethylated in responders,non-canonical / not the textbook direction
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg23958868,Body,N_Shore,-0.011662311459922277,0.9307515021708634,HYPOmethylated in responders,non-canonical / not the textbook direction
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg25025399,Body,OpenSea,-0.007302791134510395,0.9340444631331573,HYPOmethylated in responders,non-canonical / not the textbook direction
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg07658508,3'UTR,OpenSea,0.011561250886245038,0.9430413340982857,HYPERmethylated in responders,non-canonical / not the textbook direction
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg16868776,Body,OpenSea,0.004517351537399287,0.9562073607319399,HYPERmethylated in responders,concordant (gene-body hypermethylation -> higher expression)
female,SLC26A1,ENSG00000145217,1.7427106460647168,1.460364490157451e-4,UP in responders,cg08848753,Body,N_Shelf,-0.0024018082487083452,0.9807415343619242,HYPOmethylated in responders,non-canonical / not the textbook direction
female,KCNK17,ENSG00000124780,2.0046587068057544,1.5679459990180204e-4,UP in responders,cg20869405,Body,N_Shelf,0.17719248736422807,0.14752571320957691,HYPERmethylated in responders,concordant (gene-body hypermethylation -> higher expression)
female,KCNK17,ENSG00000124780,2.0046587068057544,1.5679459990180204e-4,UP in responders,cg18960642,Body,Island,-0.28392039254455226,0.1956516888911601,HYPOmethylated in responders,non-canonical / not the textbook direction
