cpg,module
cg11738485,grey
cg03226844,grey
cg12036633,grey
cg08103988,grey
cg26536949,grey
cg08779649,grey
cg06559318,grey
cg06417478,grey
cg04657146,grey
cg24506221,grey
cg01201512,grey
cg13830619,grey
cg23899408,grey
cg08419873,grey
cg13862711,grey
cg21139150,grey
cg09120722,grey
cg21358336,grey
cg11445109,grey
cg05875700,grey
cg04248279,grey
cg11287055,grey
cg19778375,grey
cg26748794,grey
cg11064039,grey
cg23603995,grey
cg03748376,grey
cg00211215,grey
cg08477332,grey
cg03329597,grey
cg02487331,grey
cg04028570,grey
cg20485607,grey
cg25243082,grey
cg09949906,grey
cg13012494,grey
cg11787167,grey
cg08208480,grey
cg05528899,grey
cg22933800,grey
cg11888470,grey
cg17509989,grey
cg13462158,grey
cg24851651,grey
cg14521995,black
cg06223162,grey
cg09352518,grey
cg01218619,grey
cg17421046,grey
cg24638099,grey
cg16006841,grey
cg04546413,grey
cg27083089,grey
cg16744531,grey
cg13571460,grey
cg03651054,grey
cg13752114,grey
cg01854967,grey
cg07314988,grey
cg03461641,grey
cg08750459,grey
cg07147204,grey
cg13910785,grey
cg15982117,grey
cg14554157,grey
cg19384241,grey
cg14799809,grey
cg13077366,grey
cg08944170,grey
cg03188948,grey
cg04798314,grey
cg17749961,grey
cg07414487,grey
cg16761754,grey
cg13902645,grey
cg19357499,grey
cg03605463,grey
cg22244940,grey
cg15145296,grey
cg04090468,grey
cg24853868,grey
cg02938172,grey
cg26764761,grey
cg08564027,grey
cg18428180,grey
cg04282082,grey
cg02891314,grey
cg06766960,grey
cg18727742,grey
cg06205333,grey
cg26163238,grey
cg23635910,grey
cg20507276,grey
cg22627029,grey
cg15864601,grey
cg13835168,lightgreen
cg13707894,grey
cg08206881,grey
cg23248424,grey
cg10411146,grey
cg18872420,grey
cg22325292,grey
cg20057198,grey
cg18805164,grey
cg03749207,grey
cg09584650,grey
cg26654770,grey
cg21484985,grey
cg06675417,grey
cg01778345,grey
cg22984587,grey
cg05475109,grey
cg27266060,grey
cg20435485,grey
cg08041448,lightgreen
cg06657917,grey
cg20290983,grey
cg21469772,grey
cg02403292,grey
cg00304520,grey
cg00873648,black
cg07134666,lightgreen
cg13081526,grey
cg18786623,grey
cg14911689,grey
cg01097406,grey
cg07796016,grey
cg07984380,grey
cg10578777,grey
cg05729249,grey
cg25755428,grey
cg24399712,grey
cg12011299,grey
cg15652532,grey
cg10197305,grey
cg09756125,grey
cg14026325,grey
cg01903420,grey
cg22240348,grey
cg04777551,grey
cg15570656,lightgreen
cg20311868,black
cg17920646,grey
cg02159489,grey
cg11383134,lightgreen
cg04663285,grey
cg12950816,grey
cg16557370,grey
cg06751007,grey
cg17052675,grey
cg23997132,grey
cg19469447,grey
cg08260406,grey
cg06394109,grey
cg03198009,lightgreen
cg17165241,grey
cg27214960,grey
cg00274965,grey
cg04633141,grey
cg03635442,grey
cg08829299,grey
cg00937982,grey
cg13732083,grey
cg21847720,grey
cg17851276,grey
cg05194426,grey
cg06662140,grey
cg15971518,grey
cg02004499,grey
cg03168497,grey
cg07490070,grey
cg23221052,grey
cg24634471,grey
cg04398451,grey
cg14013597,grey
cg11459648,grey
cg03738707,grey
cg02574844,grey
cg01808030,grey
cg12717203,grey
cg05372444,grey
cg07564979,grey
cg15014361,grey
cg12744031,grey
cg02902672,grey
cg10786572,grey
cg24838063,grey
cg08508337,grey
cg10296238,grey
cg05590257,grey
cg01819759,grey
cg00964333,grey
cg03950599,grey
cg11965913,grey
cg05053403,grey
cg01079515,grey
cg04349084,grey
cg22459517,grey
cg03181300,grey
cg08422420,grey
cg24100841,lightgreen
cg26146732,grey
cg26371957,grey
cg02407415,grey
cg01911613,grey
cg27171569,grey
cg10261205,grey
cg25288140,grey
cg06777732,grey
cg12988522,grey
cg04811114,grey
cg05197062,grey
cg08291996,grey
cg14029686,grey
cg00805880,grey
cg07747299,grey
cg07167872,grey
cg23758822,grey
cg04255276,grey
cg12756686,grey
cg12016809,grey
cg24834873,grey
cg14983838,grey
cg06715136,grey
cg22443212,grey
cg27176264,grey
cg05017628,grey
cg08584759,grey
cg05992904,grey
cg05376465,grey
cg21931717,grey
cg25034424,grey
cg05820861,grey
cg13469425,grey
cg24536782,grey
cg09232555,grey
cg27119318,grey
cg15977137,grey
cg09035930,grey
cg06242242,grey
cg20356637,grey
cg16702083,grey
cg15065069,yellow
cg16034541,grey
cg23400446,grey
cg00588198,lightgreen
cg06027927,grey
cg23878564,grey
cg17178900,grey
cg10210594,grey
cg07076816,grey
cg11062466,grey
cg08709360,grey
cg24104387,grey
cg15532640,grey
cg07099606,grey
cg05388281,grey
cg21594961,grey
cg20320494,grey
cg12609785,grey
cg03728813,black
cg27586797,grey
cg13498757,grey
cg16379671,grey
cg23779604,grey
cg26347746,grey
cg26964592,grey
cg16704958,grey
cg06825163,grey
cg05030953,grey
cg23731272,grey
cg02119792,grey
cg12159023,grey
cg19684207,grey
cg07044115,grey
cg16514085,grey
cg14159672,grey
cg17933807,black
cg15568074,grey
cg13944838,grey
cg08164151,grey
cg14011486,grey
cg09252806,grey
cg06238316,grey
cg10075506,grey
cg04793911,grey
cg16906346,grey
cg26893861,grey
cg03849834,grey
cg10909185,grey
cg19383211,grey
cg06406458,grey
cg02486855,grey
cg12641240,grey
cg25432232,grey
cg10047753,black
cg19408572,grey
cg04043455,grey
cg26929925,grey
cg23664459,yellow
cg27423959,grey
cg06609049,grey
cg17658113,grey
cg22494932,lightgreen
cg05130482,grey
cg23876832,grey
cg01707795,grey
cg27036347,grey
cg14825413,grey
cg10596483,grey
cg04181038,grey
cg09381666,grey
cg04329454,grey
cg19413350,grey
cg12310025,grey
cg03335125,grey
cg08681904,grey
cg18136963,grey
cg12081754,grey
cg05044291,grey
cg02054479,blue
cg08742575,grey
cg05872129,grey
cg16653991,grey
cg26540559,grey
cg08573926,grey
cg14240646,grey
cg08265274,grey
cg14859874,grey
cg14154082,grey
cg24487372,grey
cg09827761,grey
cg04136259,grey
cg24960960,grey
cg06221963,grey
cg13148921,grey
cg00631329,grey
cg13111532,grey
cg15577010,grey
cg11070193,grey
cg02408697,grey
cg23281527,grey
cg14279361,grey
cg20961245,lightgreen
cg17611936,grey
cg12927641,grey
cg01612292,grey
cg19109608,grey
cg26076054,grey
cg18705301,grey
cg03393996,grey
cg27244972,grey
cg03363289,grey
cg08551532,grey
cg24840300,grey
cg12798157,grey
cg08240917,grey
cg18155407,grey
cg01847719,grey
cg24503407,grey
cg17240725,grey
cg13298116,grey
cg02299497,grey
cg07234876,grey
cg24467349,grey
cg21123519,grey
cg09975044,grey
cg19375418,grey
cg05200811,grey
cg02157626,lightgreen
cg18430555,grey
cg27128560,grey
cg02896835,grey
cg04395153,grey
cg00744351,grey
cg00061551,grey
cg20744163,grey
cg17172308,grey
cg02524346,grey
cg22216157,grey
cg15727583,grey
cg05592035,grey
cg01516851,grey
cg08811588,blue
cg26677194,grey
cg11174255,grey
cg20228636,lightgreen
cg03292213,grey
cg03762505,blue
cg18918831,grey
cg11081185,blue
cg01448562,grey
cg03623568,grey
cg02691506,grey
cg14143304,grey
cg14986359,blue
cg20512947,grey
cg06546677,grey
cg03847932,grey
cg18924965,black
cg16127683,grey
cg12454169,grey
cg03654560,grey
cg12333160,grey
cg23299919,grey
cg16316162,grey
cg05406088,grey
cg11372818,grey
cg01652244,grey
cg20744362,grey
cg08570243,grey
cg18902440,grey
cg05004142,grey
cg08877521,grey
cg20504077,yellow
cg22462726,grey
cg20098848,grey
cg10501093,grey
cg14631276,grey
cg14371731,grey
cg23024343,grey
cg08010094,grey
cg10862468,grey
cg03449857,lightgreen
cg21898246,black
cg22635676,grey
cg27413643,grey
cg19665696,grey
cg01477942,grey
cg15070894,grey
cg09139047,grey
cg25125450,grey
cg14868663,blue
cg24231558,grey
cg09888468,grey
cg19093397,black
cg10409680,grey
cg14310877,grey
cg23489630,grey
cg03834411,grey
cg00224807,grey
cg16814680,grey
cg00523161,grey
cg07509935,grey
cg11247378,grey
cg08970795,black
cg27427514,grey
cg23066280,grey
cg01053087,grey
cg05827468,grey
cg11012412,grey
cg18713687,grey
cg25937216,grey
cg15752756,grey
cg10523679,grey
cg09068086,grey
cg04024692,blue
cg22480875,grey
cg17537073,grey
cg07562483,grey
cg02398342,grey
cg05457628,grey
cg04076766,grey
cg11059159,grey
cg01821018,grey
cg09808176,black
cg10399005,grey
cg02770061,grey
cg20356878,grey
cg03423038,black
cg08899523,grey
cg03299990,grey
cg18620571,grey
cg21665850,grey
cg06108461,grey
cg21138405,grey
cg22987448,grey
cg03669949,grey
cg09233429,grey
cg25210835,grey
cg22132788,grey
cg17403731,grey
cg14856563,grey
cg18800136,black
cg24859945,grey
cg19760250,grey
cg09499248,black
cg20007021,grey
cg07366506,grey
cg06032337,lightgreen
cg10317314,grey
cg10864200,grey
cg10366439,grey
cg12760041,grey
cg13499318,grey
cg09712682,grey
cg12889195,grey
cg09768983,grey
cg25271479,grey
cg04863005,grey
cg03030317,grey
cg04354002,grey
cg05505459,grey
cg25465019,yellow
cg26597838,grey
cg09508496,grey
cg06618935,grey
cg18984983,grey
cg15686800,black
cg02102533,grey
cg19998150,grey
cg22711741,grey
cg13982318,grey
cg06726860,grey
cg25580254,black
cg05425699,grey
cg15988970,grey
cg11747594,lightgreen
cg16781264,grey
cg00044796,grey
cg06494592,grey
cg05401945,grey
cg15123824,blue
cg16431720,grey
cg11739541,blue
cg25356393,grey
cg14659662,grey
cg06201514,grey
cg24796644,grey
cg20927656,grey
cg07868599,grey
cg17759082,blue
cg19312314,grey
cg13943068,grey
cg15007983,grey
cg00413089,grey
cg14036830,grey
cg06643849,grey
cg10919664,grey
cg16474696,grey
cg00758881,grey
cg25277809,grey
cg09937190,grey
cg00329300,grey
cg20390711,grey
cg16242106,grey
cg09599399,blue
cg11799593,grey
cg00713939,grey
cg22676075,grey
cg00901687,grey
cg10486069,grey
cg24352561,grey
cg22256960,blue
cg10284592,blue
cg07979357,blue
cg17801295,grey
cg19754622,grey
cg15465743,grey
cg24789487,yellow
cg08241307,grey
cg16293892,grey
cg07673080,grey
cg18725375,grey
cg17301379,grey
cg17696517,grey
cg01816997,black
cg21482265,grey
cg18551877,grey
cg08317284,black
cg23099839,grey
cg26100149,blue
cg26858704,grey
cg20055841,yellow
cg04490349,blue
cg02452966,grey
cg12045875,grey
cg02712075,black
cg18493069,blue
cg19573236,grey
cg00514665,grey
cg25919922,grey
cg01479768,grey
cg00807871,grey
cg08714590,grey
cg18795169,grey
cg08922308,grey
cg15642854,grey
cg04761648,black
cg25932869,grey
cg14317384,grey
cg11409361,grey
cg00976097,grey
cg15028160,grey
cg13871695,grey
cg26607620,grey
cg23155965,grey
cg20415053,grey
cg21073930,grey
cg22920501,grey
cg06211550,grey
cg27136994,grey
cg01601518,grey
cg07100532,grey
cg20255370,grey
cg27353899,grey
cg05419812,grey
cg06797068,grey
cg25052156,grey
cg11862551,grey
cg02304092,grey
cg14576616,yellow
cg16875032,grey
cg23627948,grey
cg17501823,grey
cg15765251,grey
cg03986562,grey
cg08926642,grey
cg17724687,grey
cg25802888,grey
cg00579423,grey
cg05353869,grey
cg13749113,grey
cg07967851,blue
cg00862618,black
cg21004358,grey
cg01588581,grey
cg26121931,grey
cg08052226,grey
cg25010788,grey
cg06524264,grey
cg00817464,grey
cg27209117,grey
cg14815891,grey
cg08369870,black
cg18071071,grey
cg27633287,grey
cg04150382,grey
cg17027195,black
cg27141850,grey
cg15954353,grey
cg25330361,grey
cg09526685,grey
cg02846841,grey
cg16968115,blue
cg10645314,grey
cg05115862,grey
cg24985459,black
cg08634464,grey
cg02811067,grey
cg26539818,grey
cg24019078,grey
cg11560654,grey
cg25508118,grey
cg01948083,grey
cg01239735,grey
cg16452840,black
cg20503657,grey
cg16784985,grey
cg12301620,black
cg08269402,grey
cg10621924,grey
cg02169857,grey
cg20846728,grey
cg03496709,grey
cg22198853,grey
cg11589139,grey
cg18587137,grey
cg10938586,grey
cg02452435,grey
cg13375589,grey
cg16329650,black
cg17497608,grey
cg03758011,black
cg27366766,grey
cg21197425,grey
cg19317226,grey
cg17096289,grey
cg15262242,yellow
cg04653913,grey
cg17416644,grey
cg08611411,grey
cg19827875,grey
cg18890544,grey
cg25417842,grey
cg15132673,grey
cg00923880,grey
cg22992730,grey
cg09359103,grey
cg26476930,grey
cg15706568,grey
cg18402987,grey
cg06710981,grey
cg10091662,black
cg02239258,grey
cg08578320,grey
cg06444984,black
cg04683509,grey
cg25208724,grey
cg20102877,grey
cg13045555,grey
cg00874817,grey
cg25632648,blue
cg11076954,grey
cg00255919,grey
cg19168507,yellow
cg21540775,black
cg21918786,grey
cg09097345,grey
cg21432322,grey
cg26094651,grey
cg07921092,grey
cg21660531,black
cg04762397,black
cg17024828,grey
cg20141578,grey
cg10342614,black
cg13447295,grey
cg12346749,black
cg09513133,black
cg17266581,grey
cg14882966,grey
cg04737881,grey
cg10671668,grey
cg10727171,grey
cg05191217,grey
cg25924602,grey
cg20955328,grey
cg27514038,grey
cg01056242,grey
cg07727872,blue
cg10072237,grey
cg06712767,grey
cg14106680,grey
cg00321709,grey
cg25511667,grey
cg23174406,grey
cg08027110,blue
cg12440927,grey
cg11594731,grey
cg21838488,grey
cg12941754,grey
cg15890274,yellow
cg23995446,grey
cg05852623,blue
cg01310397,grey
cg26220594,grey
cg20245116,grey
cg23712405,grey
cg11404906,grey
cg07611106,black
cg13550731,black
cg11214757,grey
cg02964324,grey
cg15506703,grey
cg16308533,grey
cg05731801,grey
cg08430355,black
cg18105134,grey
cg25474507,black
cg13534536,grey
cg26068141,black
cg12943317,grey
cg00594560,grey
cg05212510,grey
cg00269553,grey
cg00045190,blue
cg00461901,yellow
cg16273215,blue
cg00299286,grey
cg15557168,grey
cg23835894,yellow
cg26138821,grey
cg02674305,black
cg10327440,grey
cg08918224,grey
cg22296620,black
cg26668129,black
cg04865412,black
cg01588435,grey
cg22082780,grey
cg10146935,grey
cg24626312,grey
cg17221813,grey
cg15576492,grey
cg22935921,grey
cg15286784,blue
cg05395061,black
cg10582608,grey
cg03760927,grey
cg19558933,grey
cg17093362,black
cg01290755,grey
cg13312387,grey
cg18082402,grey
cg14544631,black
cg04842962,grey
cg09678349,grey
cg13768055,grey
cg04536689,grey
cg08316083,grey
cg24652615,grey
cg14580085,grey
cg01996567,grey
cg13793166,black
cg17462478,blue
cg00815399,grey
cg09180702,grey
cg02415057,grey
cg10064886,blue
cg02399570,blue
cg03049243,blue
cg20264068,grey
cg02463440,grey
cg21744417,grey
cg06611532,grey
cg03909863,grey
cg05625889,yellow
cg21424801,black
cg20607798,grey
cg02873954,grey
cg21862992,grey
cg00785941,grey
cg12954512,grey
cg18447419,grey
cg02314846,black
cg16322792,grey
cg17716961,grey
cg25994622,grey
cg10490147,black
cg24530264,grey
cg25822783,grey
cg01572989,grey
cg13716933,black
cg04346459,grey
cg13872356,blue
cg18845950,grey
cg22062537,grey
cg14926196,grey
cg06531573,grey
cg17529386,grey
cg20718083,blue
cg06925387,grey
cg16469099,grey
cg21102739,black
cg14275946,grey
cg12980917,black
cg07944724,grey
cg01916088,black
cg06899053,black
cg20053110,grey
cg27211696,grey
cg21130861,grey
cg11206167,grey
cg04413180,tan
cg20982046,grey
cg01640684,grey
cg02000145,grey
cg13696300,yellow
cg07679219,grey
cg06791446,grey
cg15694117,grey
cg12718519,grey
cg12645284,grey
cg00256231,grey
cg18855466,black
cg04517722,grey
cg25826404,grey
cg21226059,grey
cg05890377,grey
cg02289287,grey
cg26674752,blue
cg25702335,grey
cg21650737,grey
cg07490776,black
cg12451631,black
cg21160290,grey
cg26986681,grey
cg25134647,grey
cg23314071,black
cg17224732,black
cg22141696,grey
cg02792140,yellow
cg05701676,black
cg06440615,grey
cg15146462,grey
cg18589478,grey
cg24176311,grey
cg26182037,black
cg18003214,yellow
cg13504318,grey
cg02091185,grey
cg20667480,grey
cg17168838,blue
cg08965527,blue
cg17660446,black
cg12335829,black
cg19636627,lightgreen
cg05722872,yellow
cg27312944,black
cg20257096,blue
cg00793935,grey
cg10023862,grey
cg01694488,grey
cg20923605,grey
cg11702455,black
cg26099834,grey
cg25006249,grey
cg06437840,grey
cg21242009,grey
cg08576658,blue
cg27398640,grey
cg23246911,grey
cg07719100,blue
cg14395298,grey
cg25705717,grey
cg22999099,grey
cg11343894,grey
cg25978138,lightgreen
cg07454558,blue
cg13315147,grey
cg23638801,black
cg06400119,grey
cg14352983,grey
cg12837306,grey
cg27119456,grey
cg13105599,grey
cg25800500,grey
cg14970695,grey
cg23649088,grey
cg02270332,grey
cg21177396,grey
cg08506353,grey
cg08762424,grey
cg06060754,grey
cg02784823,grey
cg27436995,grey
cg17959722,grey
cg16885113,lightgreen
cg02224314,grey
cg17074816,grey
cg20732881,grey
cg08122386,grey
cg21167402,grey
cg23681339,blue
cg05195235,black
cg00452882,grey
cg10997002,black
cg10439911,black
cg09654157,grey
cg10667338,grey
cg03345454,grey
cg02532014,black
cg00154902,grey
cg11519760,grey
cg00755470,black
cg00748494,grey
cg03998338,grey
cg17187559,black
cg16898124,grey
cg27102141,grey
cg27088830,black
cg21610904,blue
cg01351822,grey
cg19418458,grey
cg16440561,grey
cg16602316,grey
cg19905861,black
cg06390613,grey
cg03184037,black
cg27505492,grey
cg02675527,grey
cg13098082,black
