gene,sex,eQTL_MR_OR,eQTL_MR_FDR,mQTL_MR_CpG(new),mQTL_MR_OR,mQTL_MR_FDR_thisMR,DEG_dir,DEG_sig,DMP_dir,DMP_sig(genomewide),DMR_dir,DMR_sig
AP4B1,male,1.42,3.1459258926516005e-10,cg16599770,0.124,3.18188165562022e-44,Down in RA,True,hyper,False,n/a,n/a
AP4B1,female,1.42,3.1459258926516005e-10,cg16599770,0.124,3.18188165562022e-44,Down in RA,True,hyper,False,n/a,n/a
IKZF3,male,1.17,4.87446435516264e-06,cg13432737,0.589,2.58988048842249e-09,Down in RA,True,hypo,False,n/a,n/a
IKZF3,female,1.17,4.87446435516264e-06,cg13432737,0.589,2.58988048842249e-09,Down in RA,True,hypo,False,n/a,n/a
IKZF4,female,0.61,0.0200755049201189,cg20359445,0.708,9.17924251580943e-05,Down in RA,True,hypo,False,n/a,n/a
INPP5B,male,1.1,0.0046198357695711,cg02632792,2.365,7.59702954583324e-05,Down in RA,True,hyper,False,n/a,n/a
INPP5B,female,1.1,0.0046198357695711,cg02632792,2.365,7.59702954583324e-05,Down in RA,True,hyper,False,n/a,n/a
KLF2,male,0.54,0.0274539749229144,cg05906166,1.088,0.0057823626549461,Down in RA,True,hypo,False,n/a,n/a
KLF2,female,0.54,0.0274539749229144,cg05906166,1.088,0.0057823626549461,Down in RA,True,hypo,False,n/a,n/a
LAX1,female,1.08,0.0499253650087988,cg17711527,0.835,0.000113871508333,Down in RA,True,hyper,False,n/a,n/a
LPCAT2,male,1.1,0.0126152389178218,cg07627639,0.54,0.0051733949561665,Up in RA,True,hyper,False,n/a,n/a
LPCAT2,female,1.1,0.0126152389178218,cg07627639,0.54,0.0051733949561665,Up in RA,True,hyper,False,n/a,n/a
PGAP3,male,0.86,0.0003670610829184,cg17633523,1.994,0.0005109512529267,Down in RA,True,hyper,False,n/a,n/a
PGAP3,female,0.86,0.0003670610829184,cg17633523,1.994,0.0005109512529267,Down in RA,True,hypo,False,n/a,n/a
PHF19,male,0.79,3.57548842485889e-06,cg14425045,1.169,1.41879410570768e-07,Down in RA,True,hyper,False,n/a,n/a
PHF19,female,0.79,3.57548842485889e-06,cg14425045,1.169,1.41879410570768e-07,Down in RA,True,hyper,False,n/a,n/a
RETSAT,female,0.92,0.0528075407871727,cg09468902,1.239,0.0010751485548381,Down in RA,True,hyper,False,n/a,n/a
SH2B1,male,0.49,0.0101644034895042,cg08761264,0.871,0.0012968660305223,Down in RA,True,hyper,False,n/a,n/a
SH2B1,female,0.49,0.0101644034895042,cg08761264,0.871,0.0012968660305223,Down in RA,True,hyper,False,n/a,n/a
ZNF785,male,1.9,0.0073652302418446,cg16489547,1.8,7.11695838544165e-05,Down in RA,True,hyper,False,n/a,n/a
ZNF785,female,1.9,0.0073652302418446,cg16489547,1.8,7.11695838544165e-05,Down in RA,True,hypo,False,n/a,n/a
