cpg,in_LASSO,in_Boruta,in_SVMRFE,n_votes
cg21740204,TRUE,TRUE,TRUE,3
cg10437627,TRUE,FALSE,TRUE,2
cg26793226,TRUE,FALSE,TRUE,2
cg15478005,TRUE,FALSE,TRUE,2
cg12089985,TRUE,FALSE,TRUE,2
cg08212230,TRUE,FALSE,TRUE,2
cg00322319,FALSE,TRUE,TRUE,2
cg02120739,FALSE,TRUE,TRUE,2
cg19157140,FALSE,TRUE,TRUE,2
cg25598086,FALSE,TRUE,TRUE,2
cg20639658,FALSE,TRUE,TRUE,2
cg18924222,FALSE,TRUE,TRUE,2
cg14521995,FALSE,TRUE,FALSE,1
cg08134829,FALSE,TRUE,FALSE,1
cg00515161,FALSE,TRUE,FALSE,1
cg25379161,FALSE,TRUE,FALSE,1
cg22373079,FALSE,TRUE,FALSE,1
cg00462311,FALSE,TRUE,FALSE,1
cg19769967,FALSE,TRUE,FALSE,1
cg06081153,FALSE,TRUE,FALSE,1
cg15585670,FALSE,TRUE,FALSE,1
cg11029501,FALSE,TRUE,FALSE,1
cg27134147,FALSE,TRUE,FALSE,1
cg07111501,FALSE,TRUE,FALSE,1
cg22603934,FALSE,TRUE,FALSE,1
cg20372689,FALSE,TRUE,FALSE,1
cg24098302,FALSE,TRUE,FALSE,1
cg12103840,FALSE,TRUE,FALSE,1
cg00040380,FALSE,TRUE,FALSE,1
cg07871324,FALSE,TRUE,FALSE,1
cg21254083,FALSE,TRUE,FALSE,1
cg13531509,FALSE,TRUE,FALSE,1
cg05567294,FALSE,TRUE,FALSE,1
cg21756465,FALSE,TRUE,FALSE,1
cg05264454,FALSE,TRUE,FALSE,1
cg24225147,FALSE,TRUE,FALSE,1
cg05013250,FALSE,TRUE,FALSE,1
cg16328540,FALSE,TRUE,FALSE,1
cg17484629,FALSE,TRUE,FALSE,1
cg03039025,FALSE,TRUE,FALSE,1
cg21284119,FALSE,TRUE,FALSE,1
cg26775843,FALSE,TRUE,FALSE,1
cg04928513,FALSE,FALSE,TRUE,1
cg00688900,FALSE,FALSE,TRUE,1
cg09536031,FALSE,FALSE,TRUE,1
cg24406116,FALSE,FALSE,TRUE,1
cg09513133,FALSE,FALSE,TRUE,1
cg26976390,FALSE,FALSE,TRUE,1
cg03673368,FALSE,FALSE,TRUE,1
cg18144065,FALSE,FALSE,TRUE,1
cg15418155,FALSE,FALSE,TRUE,1
cg12865552,FALSE,FALSE,TRUE,1
cg05164185,FALSE,FALSE,TRUE,1
cg19187521,FALSE,FALSE,TRUE,1
cg03257200,FALSE,FALSE,TRUE,1
cg07388801,FALSE,FALSE,TRUE,1
cg13289884,FALSE,FALSE,TRUE,1
cg16705073,FALSE,FALSE,TRUE,1
cg03298319,FALSE,FALSE,TRUE,1
cg02802904,FALSE,FALSE,TRUE,1
cg04052427,FALSE,FALSE,TRUE,1
cg21634137,FALSE,FALSE,TRUE,1
cg06257227,FALSE,FALSE,TRUE,1
cg26959053,FALSE,FALSE,TRUE,1
cg13671249,FALSE,FALSE,TRUE,1
cg27137978,FALSE,FALSE,TRUE,1
cg08479688,FALSE,FALSE,TRUE,1
cg10240744,FALSE,FALSE,TRUE,1
cg19160520,FALSE,FALSE,TRUE,1
cg06853609,FALSE,FALSE,TRUE,1
