cpg,logFC_M,dbeta,t,p_raw,p_bacon,fdr_bacon,gene,direction
cg16411857,-0.305351247615838,-0.00938526413996238,-7.46092595126813,5.38621843770793e-13,6.50209296955151e-10,0.000268206133319624,NLRC5,hypo
cg20161996,-0.171971487138775,-0.0144550021195753,-6.82174229091793,3.33133876343622e-11,1.65059887752463e-08,0.00340429416093945,MRPS21,hypo
cg07839457,-0.407484350183387,-0.0081132648129354,-6.69370305383742,7.36216732369658e-11,3.05190507812155e-08,0.00419628809828172,NLRC5,hypo
cg10205045,0.177972962149933,-0.021140550154841,6.42149162501957,3.82482167148836e-10,7.03313009535961e-08,0.00653218436134664,ANP32A,hypo
cg21459645,0.178750769255552,0.0501554834465453,6.39588915722731,4.45392005700154e-10,7.91795278617117e-08,0.00653218436134664,CYP27A1,hyper
cg16171858,0.105227976907398,0.0386046951552262,6.1039936130823,2.44449726537175e-09,2.96348016925343e-07,0.0187885932010599,,hyper
cg23844018,0.227575454934082,0.0072064031344582,6.08743213180075,2.68742322689415e-09,3.18842916729099e-07,0.0187885932010599,DIP2C,hyper
cg04715245,0.18141899720449,0.0114626249920421,6.01154684382013,4.13760688587428e-09,4.44780275142004e-07,0.022457500966292,IL6R,hyper
cg14520079,0.111728806140683,0.0427100258572053,5.96726407956986,5.31202346403984e-09,5.39177561042881e-07,0.022457500966292,,hyper
cg00462311,0.200533265184885,0.032477124199254,5.94573291730845,5.99503605294552e-09,5.9178834820973e-07,0.022457500966292,NFATC4,hyper
cg21740204,0.189215270849519,0.0202214481792457,5.94297356374571,6.08854140009599e-09,5.98878307044046e-07,0.022457500966292,SMC5,hyper
cg12785183,0.203722436508568,0.0134711047736896,5.83575740063991,1.10603706915835e-08,9.47517152903766e-07,0.032570270452965,,hyper
cg14179065,-0.128921784165765,-0.0142865203193344,-5.89225120386136,8.08403791287855e-09,1.11264833720077e-06,0.0353045029160476,FXN,hypo
cg05569280,0.163200075346278,0.0173657572727229,5.70609023282991,2.25065057484422e-08,1.63336601358801e-06,0.0427533552695505,GPR113,hyper
cg19102858,0.130312620501019,0.0134844942241364,5.70402820719727,2.2759884000919e-08,1.64742195252842e-06,0.0427533552695505,COPS8,hyper
cg02786368,0.108443780266398,0.0131641249324964,5.70243755196805,2.29572377906867e-08,1.65834412379587e-06,0.0427533552695505,ORC2L,hyper
cg25577489,0.0779529175290185,-0.0167131596290122,5.67583629252718,2.65156467131161e-08,1.85164899930593e-06,0.0440672841812738,ZBTB16,hypo
cg17689206,0.183523105620429,0.0124833434905354,5.66669098649201,2.78588859098516e-08,1.92297333102928e-06,0.0440672841812738,R3HDM1,hyper
