sex,biomarker_status,panel_source_model,performance_model,performance_auroc,performance_ci_lo,performance_ci_hi,n,omics,feature,loading,rank_within_block
female,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.46615581098339715,0.3149665802727803,0.617345041694014,56,transcriptomics_gene,ENSG00000124780,0.5841284089501204,1
female,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.46615581098339715,0.3149665802727803,0.617345041694014,56,transcriptomics_gene,ENSG00000145217,0.5047876092206535,2
female,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.46615581098339715,0.3149665802727803,0.617345041694014,56,transcriptomics_gene,ENSG00000096696,0.49884419096073,3
female,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.46615581098339715,0.3149665802727803,0.617345041694014,56,transcriptomics_gene,ENSG00000234493,0.2268611710761829,4
female,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.46615581098339715,0.3149665802727803,0.617345041694014,56,transcriptomics_gene,ENSG00000224616,0.1685224087097195,5
female,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.46615581098339715,0.3149665802727803,0.617345041694014,56,transcriptomics_gene,ENSG00000139200,-0.14925277960542668,6
female,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.46615581098339715,0.3149665802727803,0.617345041694014,56,transcriptomics_gene,ENSG00000249129,0.13373235188129237,7
female,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.46615581098339715,0.3149665802727803,0.617345041694014,56,transcriptomics_gene,ENSG00000140598,-0.12069686977818526,8
female,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.46615581098339715,0.3149665802727803,0.617345041694014,56,transcriptomics_gene,ENSG00000156970,-0.07403343926725105,9
female,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.46615581098339715,0.3149665802727803,0.617345041694014,56,transcriptomics_gene,ENSG00000106070,-0.0650999896159371,10
female,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.46615581098339715,0.3149665802727803,0.617345041694014,56,transcriptomics_gene,ENSG00000074935,0.06309616405370536,11
female,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.46615581098339715,0.3149665802727803,0.617345041694014,56,transcriptomics_gene,ENSG00000161981,-0.06038151735248502,12
