"seqnames","start","end","width","strand","no.cpgs","min_smoothed_fdr","Stouffer","HMFDR","Fisher","maxdiff","meandiff","overlapping.genes","sex","dmr_fdr"
"chr20",57425979,57429277,3299,"*",70,7.4066279749202e-51,5.1701991869614e-13,0.0134320886774591,7.90398426639743e-16,0.0342953873240402,0.00672640358466696,"GNAS","ALL",2.00758834429711e-09
"chr16",29673680,29676071,2392,"*",13,8.80973472998658e-16,2.74204246961345e-09,0.00589319910154871,2.7062669716015e-09,-0.01411735118259,-0.00171053349929906,"SPN, QPRT","ALL",5.32367545475451e-06
"chr14",106320202,106322429,2228,"*",13,6.32152843981243e-17,4.73740359900565e-08,0.00406164660094236,2.42883229429447e-08,0.0245640155654323,0.00940438489057561,"IGHM","ALL",6.13177939164631e-05
"chr6",32551749,32552453,705,"*",9,6.22366926906552e-17,2.63163089826637e-07,0.0064994541933849,1.11963375279068e-07,0.139347526896574,0.063674521465198,"HLA-DRB1","ALL",0.000255465569449208
"chr6",32294260,32295859,1600,"*",7,7.53711311222778e-13,1.12715526731387e-06,0.00906707942374674,2.82096391398981e-06,-0.0840366328415913,-0.0444883867541192,"C6orf10","ALL",0.000875348780595954
"chr12",129279936,129282057,2122,"*",10,1.12390518703748e-12,1.47044313747756e-06,0.00788277892295003,2.28567011092197e-06,0.061585024371166,0.0324610481155913,"SLC15A4","ALL",0.000951621783804228
"chr17",80393124,80394416,1293,"*",6,9.55215918348263e-19,2.72601147475527e-06,0.00362707256809909,5.76641756009568e-08,0.0367168250755252,0.013383647391178,"HEXDC","ALL",0.00117612250627497
"chr8",38323238,38325725,2488,"*",11,8.93316123450018e-12,2.72601147475527e-06,0.00982953893234205,1.68092954792087e-05,-0.0172835524188308,0.00227045676363252,"FGFR1","ALL",0.00117612250627497
"chr15",75743136,75748568,5433,"*",35,1.28345704714335e-07,2.72601147475527e-06,0.0394993353564698,1.22526136832827e-05,0.0161104896427393,0.00625221663201498,"SIN3A","ALL",0.00117612250627497
"chr6",27805362,27806842,1481,"*",12,3.13298298330253e-15,3.21052654261757e-06,0.0094477706961428,2.36752236610902e-06,0.0259556793656796,0.0104421710642393,"HIST1H2BN, HIST1H2AK","ALL",0.0012466474564984
"chr14",105857176,105857250,75,"*",3,2.14703713074948e-11,3.69599505840381e-06,0.00524337996390008,1.09956477512908e-05,0.0123692500288936,0.00821787043474798,"PACS2","ALL",0.00130468625561655
