cpg,decision
cg27051433,Rejected
cg07562055,Rejected
cg04762397,Rejected
cg24127743,Rejected
cg05668405,Rejected
cg00733288,Rejected
cg26210447,Rejected
cg21081097,Rejected
cg12580665,Rejected
cg05931087,Rejected
cg05377417,Rejected
cg00515161,Rejected
cg06316553,Rejected
cg12022184,Rejected
cg25364880,Rejected
cg14048834,Rejected
cg06366585,Rejected
cg25061131,Rejected
cg05711928,Rejected
cg04214467,Rejected
cg10490147,Rejected
cg18582848,Rejected
cg21346818,Rejected
cg03255741,Rejected
cg03761846,Rejected
cg09531436,Rejected
cg16801535,Rejected
cg23511169,Rejected
cg21682474,Confirmed
cg03547487,Rejected
cg21654974,Rejected
cg09202269,Rejected
cg11252048,Rejected
cg00499399,Rejected
cg13671249,Rejected
cg14789928,Rejected
cg24274982,Rejected
cg01835766,Rejected
cg13443092,Rejected
cg10805483,Rejected
cg19238422,Rejected
cg17100207,Rejected
cg00370820,Rejected
cg18140645,Rejected
cg02586637,Rejected
cg24131748,Rejected
cg10734240,Rejected
cg10006408,Rejected
cg06157539,Rejected
cg02479773,Rejected
cg12169977,Rejected
cg26976390,Confirmed
cg01770109,Rejected
cg17555499,Rejected
cg18891020,Rejected
cg20569141,Rejected
cg18323922,Rejected
cg26627933,Rejected
cg15518923,Rejected
cg10523966,Rejected
cg12498453,Rejected
cg23699239,Rejected
cg15643574,Confirmed
cg20269997,Rejected
cg02987705,Rejected
cg15304692,Rejected
cg00087195,Rejected
cg07235071,Rejected
cg26057380,Rejected
cg10623600,Rejected
cg05338745,Rejected
cg10944144,Rejected
cg03705042,Rejected
cg13958749,Rejected
cg05321960,Rejected
cg17414580,Rejected
cg16047970,Rejected
cg20552696,Rejected
cg16303686,Rejected
cg11956825,Rejected
cg23705119,Rejected
cg04143294,Rejected
cg25632672,Rejected
cg15649774,Rejected
cg13756768,Confirmed
cg04855216,Rejected
cg14138116,Rejected
cg12668710,Rejected
cg12222699,Rejected
cg22560837,Confirmed
cg09547081,Rejected
cg26437123,Rejected
cg01408127,Rejected
cg02558537,Rejected
cg22798984,Rejected
cg23249667,Rejected
cg05966045,Confirmed
cg17398233,Rejected
cg14733161,Rejected
cg07240554,Rejected
cg06391894,Rejected
cg10612681,Rejected
cg07300976,Rejected
cg06363887,Rejected
cg16293631,Rejected
cg06998282,Rejected
cg21540775,Rejected
cg01812337,Confirmed
cg02824295,Rejected
cg09391128,Rejected
cg08152058,Rejected
cg13084049,Confirmed
cg04646100,Rejected
cg24786579,Rejected
cg07516978,Rejected
cg05696801,Rejected
cg10266196,Rejected
cg20089095,Rejected
cg17577923,Confirmed
cg07196014,Rejected
cg08941714,Rejected
cg12283822,Rejected
cg12936639,Rejected
cg11862610,Rejected
cg12929486,Rejected
cg02351223,Rejected
cg14992181,Rejected
cg10234841,Rejected
cg14434408,Rejected
cg23881902,Confirmed
cg26869362,Rejected
cg15585670,Rejected
cg20187250,Rejected
cg05206690,Rejected
cg22296762,Rejected
cg24046271,Rejected
cg04628008,Rejected
cg16628484,Rejected
cg21395723,Rejected
cg06460869,Rejected
cg06205817,Rejected
cg02923571,Rejected
cg02357389,Rejected
cg02190746,Rejected
cg20214692,Rejected
cg22942971,Rejected
cg08313638,Rejected
cg09274402,Rejected
cg04598251,Rejected
cg04403629,Rejected
cg18754555,Rejected
cg27369934,Rejected
cg09602562,Rejected
cg07672479,Rejected
cg13526981,Rejected
cg07327202,Rejected
cg20466748,Rejected
cg14199455,Confirmed
cg01003015,Rejected
cg19005662,Rejected
cg23945789,Rejected
cg17871792,Rejected
cg15600835,Rejected
cg20761860,Rejected
cg13957721,Rejected
cg19646445,Rejected
cg05847772,Rejected
cg21077559,Rejected
cg06353611,Rejected
cg02593352,Rejected
cg26406907,Rejected
cg01556715,Rejected
cg04133023,Rejected
cg13775005,Rejected
cg11504511,Rejected
cg26425669,Rejected
cg15205733,Rejected
cg17880256,Rejected
cg00096845,Rejected
cg13149330,Rejected
cg06842781,Rejected
cg21665078,Rejected
cg03618937,Rejected
cg22763753,Rejected
cg02842197,Rejected
cg10828210,Rejected
cg10186232,Confirmed
cg09712216,Rejected
cg16587158,Rejected
cg19149410,Rejected
cg08082908,Rejected
cg14399369,Rejected
cg04052427,Rejected
cg27310251,Confirmed
cg17384898,Rejected
cg21703138,Rejected
cg23657870,Rejected
cg16382382,Rejected
cg06257227,Rejected
cg02691685,Rejected
cg22026332,Rejected
cg06317056,Rejected
cg27505684,Rejected
cg03967346,Confirmed
cg24988444,Rejected
cg14443694,Rejected
cg07254066,Rejected
cg02352203,Rejected
cg24215070,Rejected
cg18913869,Rejected
cg07489083,Rejected
cg11657970,Rejected
cg22424536,Rejected
cg19285119,Rejected
cg03416888,Rejected
cg25917893,Rejected
cg07804481,Rejected
cg20091107,Rejected
cg02386644,Rejected
cg09985530,Rejected
cg02389555,Rejected
cg26824807,Rejected
cg16119852,Rejected
cg22012230,Rejected
cg09735598,Rejected
cg12974756,Rejected
cg17678877,Rejected
cg16842485,Rejected
cg20706638,Rejected
cg18957484,Rejected
cg12589600,Rejected
cg27105577,Rejected
cg20041366,Rejected
cg02014690,Rejected
cg19539421,Rejected
cg17555712,Rejected
cg14793753,Rejected
cg00815931,Rejected
cg07794698,Confirmed
cg25036284,Rejected
cg20699200,Rejected
cg24501027,Rejected
cg25350122,Rejected
cg12045294,Rejected
cg23154743,Rejected
cg12874092,Rejected
cg03475660,Rejected
cg22726760,Rejected
cg08595182,Rejected
cg16732115,Rejected
cg24516711,Rejected
cg15187550,Rejected
cg25975626,Rejected
cg24358465,Rejected
cg23098131,Rejected
cg22501294,Rejected
cg16585827,Rejected
cg20763254,Rejected
cg12490816,Rejected
cg12737876,Rejected
cg16963622,Rejected
cg20198108,Rejected
cg25234159,Rejected
cg20733500,Rejected
cg01394138,Rejected
cg13220109,Rejected
cg18586886,Rejected
cg03434432,Rejected
cg04771938,Rejected
cg27391710,Rejected
cg00795626,Rejected
cg15528091,Rejected
cg27085741,Rejected
cg24806953,Rejected
cg18728839,Rejected
cg00210098,Rejected
cg12211962,Rejected
cg27554514,Rejected
cg01733217,Rejected
cg05002512,Rejected
cg12447069,Rejected
cg07031797,Rejected
cg26513180,Rejected
cg26891576,Rejected
cg26243254,Rejected
cg13515774,Rejected
cg22164916,Rejected
cg10118513,Rejected
cg02947021,Rejected
cg11710334,Rejected
cg22517836,Rejected
cg14462928,Rejected
cg08725962,Confirmed
cg14004673,Rejected
cg11189039,Rejected
cg26770381,Rejected
cg23187103,Rejected
cg17159093,Rejected
cg25257870,Rejected
cg19280133,Rejected
cg04905789,Rejected
cg21902095,Rejected
cg17094171,Rejected
cg03486307,Rejected
cg15153412,Rejected
cg07564061,Rejected
cg26197220,Rejected
cg12578791,Rejected
cg05067991,Rejected
cg19260201,Rejected
cg16993684,Rejected
cg06450650,Rejected
cg16102016,Rejected
cg18555277,Rejected
cg11539424,Rejected
cg19948397,Rejected
cg09845488,Rejected
cg11379888,Rejected
cg25313289,Rejected
cg03500911,Rejected
cg07871324,Rejected
cg09942741,Confirmed
cg23748923,Rejected
cg24763953,Rejected
cg08222662,Rejected
cg02961575,Rejected
cg13582818,Rejected
cg21051375,Rejected
cg07648498,Rejected
cg07448606,Rejected
cg17858911,Rejected
cg02090547,Rejected
cg26892368,Rejected
cg09719331,Rejected
cg13785189,Rejected
cg23085343,Rejected
cg22803724,Rejected
cg05676377,Rejected
cg18920754,Rejected
cg19657380,Confirmed
cg07623882,Rejected
cg06248182,Rejected
cg16142698,Rejected
cg27094117,Rejected
cg14530476,Rejected
cg12855247,Rejected
cg08619561,Rejected
cg13462232,Rejected
cg20903764,Rejected
cg00031476,Rejected
cg12302718,Rejected
cg25778220,Rejected
cg01884537,Rejected
cg20775307,Rejected
cg02307953,Rejected
cg08111682,Rejected
cg00846340,Rejected
cg26560794,Rejected
cg20778097,Rejected
cg07976644,Rejected
cg19536594,Rejected
cg21515788,Rejected
cg25803693,Rejected
cg21228957,Rejected
cg18176887,Rejected
cg04017116,Confirmed
cg03658244,Rejected
cg00124160,Rejected
cg04551440,Rejected
cg20564458,Rejected
cg03867797,Rejected
cg04824553,Rejected
cg09235689,Rejected
cg05074892,Rejected
cg15809230,Rejected
cg06999776,Confirmed
cg18020381,Rejected
cg03829176,Rejected
cg21860679,Rejected
cg10602367,Rejected
cg07318284,Rejected
cg03791325,Rejected
cg24228112,Rejected
cg06251929,Rejected
cg17672050,Rejected
cg27301343,Confirmed
cg15091879,Rejected
cg08611677,Rejected
cg15607449,Confirmed
cg02696763,Rejected
cg11202785,Rejected
cg11494213,Rejected
cg13326227,Rejected
cg16926108,Rejected
cg13828873,Rejected
cg21987316,Rejected
cg15376949,Rejected
cg12193484,Rejected
cg20492680,Rejected
cg15291235,Rejected
cg16621691,Rejected
cg23255486,Rejected
cg05197560,Rejected
cg10601002,Rejected
cg16317730,Rejected
cg23163783,Rejected
cg10061292,Rejected
cg23658874,Rejected
cg26760793,Confirmed
cg10199164,Rejected
cg20041683,Rejected
cg16919615,Rejected
cg14204478,Rejected
cg16691888,Rejected
cg19564098,Rejected
cg09567642,Rejected
cg06889484,Rejected
cg25435332,Rejected
cg08470875,Rejected
cg15027115,Rejected
cg17866680,Rejected
cg25795456,Rejected
cg26251401,Rejected
cg08128577,Rejected
cg13071476,Rejected
cg03618257,Rejected
cg23250288,Rejected
cg20547575,Rejected
cg27191207,Rejected
cg14380111,Rejected
cg14054013,Rejected
cg25535317,Rejected
cg04773990,Rejected
cg09161592,Rejected
cg26989291,Rejected
cg02397686,Confirmed
cg24845324,Rejected
cg26188632,Rejected
cg11528984,Rejected
cg15465092,Rejected
cg15705266,Rejected
cg16324579,Rejected
cg16472965,Rejected
cg17946375,Rejected
cg06164660,Rejected
cg07721276,Rejected
cg25856120,Rejected
cg19681188,Rejected
cg00702638,Rejected
cg17849194,Rejected
cg02147032,Rejected
cg11328405,Rejected
cg07482870,Rejected
cg09587640,Rejected
cg16232702,Rejected
cg25697800,Rejected
cg24666276,Rejected
cg09155701,Rejected
cg15418155,Rejected
cg09747456,Rejected
cg25103043,Rejected
cg14493678,Rejected
cg16744862,Rejected
cg02689951,Rejected
cg18374471,Rejected
cg00016066,Rejected
cg12054852,Rejected
cg09850289,Rejected
cg03441227,Rejected
