cpg,PT01,PT02,PT03,PT04,PT05,PT06,PT07,PT08,PT10,PT11,PT12,PT13,PT14,PT15,PT16,PT17,PT18,PT19,PT20,PT21,PT22,PT23,PT24,PT25,PT26,PT27,PT28,PT29,PT30,PT31,PT32,PT33,PT34,PT35,PT36,PT37,PT38,PT39,PT40,PT41,PT42,PT43,PT44,PT45,PT46,PT47,PT48,PT49,PT50,PT51,PT52,PT53,PT54,PT55,PT56,PT57,PT58,PT59,PT60,PT61,PT62,PT63,PT64,PT65,PT66,PT67,PT68,PT69,PT70,PT71,PT72,PT73,PT74,PT75,PT76,PT77,PT78,PT79,PT80
cg00009523,0.1145688,0.6033593,0.9252582,0.9199682,0.9373704,0.6749968,0.1385535,0.9376456,0.6058084,0.6246696,0.9117908,0.6275168,0.9274684,0.9288372,0.6267596,0.6143717,0.9213868,0.9228929,0.9286098,0.1314989,0.9313503,0.6449749,0.6532252,0.5641973,0.6316223,0.6137335,0.9360432,0.9327434,0.9159396,0.9258769,0.1125196,0.904332,0.6400756,0.6290566,0.6742465,0.6581672,0.9335972,0.689673,0.122312,0.9064492,0.9371937,0.9271372,0.9362337,0.6470901,0.9266304,0.6712674,0.6767439,0.6305438,0.9302099,0.6353436,0.6644708,0.6612875,0.6852276,0.6649104,0.1223707,0.09304563,0.679713,0.9244992,0.9399885,0.9220434,0.6471009,0.6907614,0.1147675,0.6659609,0.6600035,0.9091059,0.1081811,0.6279979,0.9260123,0.9162899,0.9403082,0.5959037,0.9161071,0.9309063,0.9144173,0.1218949,0.9332572,0.9163138,0.9232653
cg00011891,0.5833938,0.6033564,0.02899076,0.03637805,0.6100881,0.6229401,0.5797746,0.5869284,0.03250317,0.6031123,0.02059345,0.5992031,0.5714751,0.5343958,0.5703362,0.5594133,0.6111567,0.5917868,0.5742127,0.5849982,0.590588,0.6071584,0.5522266,0.5671489,0.5511688,0.5756651,0.5830178,0.585638,0.03375761,0.01963048,0.02016526,0.02230874,0.02770204,0.57482,0.5717493,0.0273711,0.02112447,0.5767924,0.622535,0.5809045,0.5675957,0.5783371,0.5786876,0.5675625,0.02050286,0.5996287,0.02379824,0.5945845,0.5718078,0.5891027,0.0262028,0.5431551,0.01931229,0.5515612,0.576422,0.01707345,0.5651504,0.5514743,0.01702638,0.5811608,0.0186838,0.5653392,0.5087909,0.565921,0.5801411,0.5643669,0.6223539,0.03207547,0.02856069,0.02271841,0.6046585,0.5962337,0.6090286,0.5756251,0.6096286,0.5533626,0.5749426,0.02612631,0.01997218
cg00017157,0.6928884,0.8586252,0.9215581,0.6695368,0.9232798,0.7339254,0.9049006,0.7393644,0.0794837,0.07223114,0.1444653,0.6951782,0.06588921,0.927844,0.1111111,0.9197658,0.9286156,0.6920459,0.7252369,0.1219858,0.7065217,0.708045,0.9247535,0.7091413,0.6607143,0.7206632,0.6920341,0.1489971,0.7229521,0.6843738,0.7044092,0.6304625,0.708981,0.7584181,0.1505824,0.714384,0.7404922,0.729181,0.9209594,0.706044,0.1043165,0.1219697,0.6410371,0.1078189,0.121067,0.7142352,0.1499118,0.6786146,0.6953317,0.736222,0.08828523,0.1246841,0.9186738,0.7578154,0.1331034,0.7266587,0.7645037,0.1032258,0.9428221,0.1121988,0.7407948,0.9278107,0.731663,0.06083244,0.7030941,0.7007322,0.6548291,0.6300038,0.7226843,0.8788301,0.1525312,0.6661743,0.9157066,0.6740369,0.9272307,0.7178009,0.9396911,0.1192157,0.7214002
cg00029931,0.6328712,0.5510275,0.09204315,0.1032316,0.7273892,0.7192143,0.6496301,0.7327208,0.03869364,0.6547818,0.04378109,0.6857929,0.6178871,0.6566848,0.637977,0.5962824,0.6889002,0.6807101,0.5643338,0.6048934,0.6264395,0.6891516,0.6635693,0.5323482,0.6736957,0.6430595,0.6687607,0.717305,0.06414301,0.07137733,0.06956021,0.04868228,0.08814271,0.6465527,0.6442341,0.08796443,0.07678189,0.6708238,0.6949407,0.5979248,0.6719897,0.64563,0.6631567,0.5604307,0.04425323,0.6631816,0.06196769,0.6034824,0.6485611,0.6622598,0.06292135,0.696144,0.05138942,0.6093023,0.6875195,0.01782098,0.6868045,0.6155885,0.04664723,0.6997985,0.0735194,0.6463299,0.5901949,0.6300041,0.6287231,0.5563616,0.6074603,0.08898551,0.06666667,0.05723906,0.6681523,0.5850836,0.6377974,0.6604766,0.6550558,0.6954787,0.6368182,0.07580978,0.07320262
cg00030117,0.850313,0.9163721,0.4205607,0.9187226,0.9300201,0.9244739,0.9302921,0.9412947,0.8967038,0.9023829,0.903492,0.9012207,0.9128332,0.9345147,0.8832005,0.9171433,0.2431507,0.9090554,0.8970771,0.9151217,0.9,0.9075721,0.1911765,0.9152517,0.4502924,0.8962718,0.9202189,0.3985765,0.1363636,0.922211,0.3661538,0.9153947,0.9080931,0.2573099,0.8806077,0.9102281,0.1911357,0.3343195,0.9482775,0.9035757,0.2198582,0.8947477,0.06827309,0.8711895,0.9293635,0.9328117,0.3508197,0.9020497,0.8952924,0.9199756,0.9311932,0.9178373,0.9323168,0.9203156,0.9178878,0.9033943,0.9139727,0.9130055,0.8994989,0.2304688,0.3,0.1764706,0.8981835,0.9239022,0.8913556,0.8683653,0.8985868,0.2205514,0.882318,0.4514286,0.9065752,0.1825095,0.1671159,0.1955836,0.9146633,0.9000643,0.2155172,0.915534,0.8848581
cg00033213,0.9153378,0.1686857,0.9168102,0.9063203,0.6383071,0.9261901,0.6642953,0.6549829,0.5968547,0.1289479,0.9091458,0.1518896,0.6317034,0.1565816,0.6233919,0.9110953,0.5974118,0.136258,0.1450136,0.926013,0.6506767,0.1603843,0.1712214,0.5849929,0.1568867,0.6176491,0.9180366,0.6077096,0.1416137,0.9191236,0.636326,0.9057739,0.5975092,0.612493,0.1782657,0.6110376,0.6531245,0.6531863,0.931735,0.6118473,0.585753,0.6328433,0.6112451,0.1575434,0.6470438,0.6487316,0.1810396,0.6092692,0.91822,0.1606408,0.6375321,0.164696,0.6530017,0.6690702,0.1595906,0.913937,0.6312301,0.9193696,0.9227622,0.649462,0.6337891,0.9376363,0.6481298,0.204707,0.8947998,0.1549352,0.6046609,0.18123,0.9116337,0.1594634,0.639635,0.9016875,0.5827399,0.9100957,0.619561,0.9271197,0.6288241,0.9141631,0.6379281
cg00042902,0.6442786,0.7186552,0.1542228,0.2125714,0.7325562,0.7241443,0.7176023,0.7372237,0.08433735,0.6945768,0.1288026,0.7121212,0.7014436,0.728559,0.7135668,0.6923077,0.7077937,0.6704389,0.7175184,0.7037796,0.6900535,0.6796333,0.7192531,0.6565309,0.673658,0.7388566,0.704906,0.7288136,0.1263216,0.1088475,0.1029178,0.284097,0.1758097,0.7013106,0.7362301,0.1379547,0.2021596,0.7389408,0.7954264,0.6955053,0.695296,0.6812034,0.7072,0.661191,0.1486001,0.721379,0.167619,0.6850309,0.7350791,0.7568766,0.1388673,0.739596,0.1174979,0.7338315,0.7556742,0.1587508,0.7367546,0.7093505,0.1024911,0.7268813,0.1295181,0.7434344,0.7438638,0.7002692,0.6755037,0.6876339,0.7703567,0.2098446,0.08073654,0.1691395,0.7511368,0.6583574,0.7089844,0.7230321,0.7227498,0.738484,0.6985708,0.1642157,0.2387522
cg00045070,0.1124535,0.1524042,0.880815,0.07975871,0.9223732,0.6781071,0.68823,0.2045455,0.664723,0.08110782,0.1004431,0.6332882,0.9124727,0.1010009,0.6414847,0.1242387,0.08595989,0.6962283,0.1103774,0.1019108,0.6426829,0.868166,0.1464873,0.06349207,0.1020236,0.02845529,0.6002019,0.01826923,0.7084095,0.08886619,0.05592992,0.1122661,0.6968085,0.179,0.7369127,0.1313869,0.7536343,0.1449782,0.1149518,0.1283721,0.6791767,0.8984064,0.6679912,0.6501901,0.9307787,0.6695233,0.6679811,0.6212885,0.1166231,0.7286663,0.7488241,0.1127451,0.1244395,0.9172801,0.8901099,0.1214953,0.7028846,0.6943472,0.7454918,0.7096934,0.1129893,0.7012369,0.6822174,0.1592593,0.1210602,0.08636052,0.1126158,0.1414214,0.8837403,0.7115219,0.7104908,0.660295,0.0918221,0.8416895,0.1071429,0.1541298,0.6541227,0.1386593,0.1506024
cg00046099,0.7344366,0.7935262,0.1766897,0.2164419,0.7753028,0.8116946,0.7848399,0.8155805,0.1144452,0.7766323,0.1671875,0.7818474,0.7759159,0.773081,0.7665163,0.772428,0.7744223,0.7770921,0.7717001,0.7696841,0.7882484,0.7997945,0.7199418,0.7775993,0.765628,0.7300016,0.7610928,0.7775862,0.1529825,0.1870861,0.1794159,0.1217105,0.2182514,0.7418904,0.7772844,0.2350397,0.1360863,0.7750745,0.8206298,0.7999215,0.7409248,0.8496112,0.7791241,0.7487988,0.1440618,0.7973356,0.2171745,0.7225398,0.7127122,0.7406167,0.1746694,0.7987939,0.1545307,0.7940688,0.8068652,0.08137045,0.8248756,0.7572696,0.2071713,0.7759945,0.1583643,0.7786591,0.7536156,0.7586862,0.7748155,0.7337288,0.8022647,0.2494382,0.1679834,0.2076433,0.7373437,0.7045988,0.7552717,0.7016541,0.75571,0.7695768,0.7728248,0.222488,0.1403226
cg00051154,0.1199558,0.6296443,0.137244,0.166855,0.7043729,0.1721425,0.7220447,0.7270833,0.1311173,0.1963807,0.1392058,0.1331731,0.1208267,0.9292288,0.1291889,0.160957,0.2100793,0.1700329,0.191248,0.1070373,0.2045572,0.2081804,0.1926143,0.1327569,0.6790173,0.1433486,0.6493161,0.1773848,0.6882818,0.1661631,0.6966223,0.1547792,0.181012,0.719917,0.1674718,0.1601671,0.1238318,0.1162791,0.1733401,0.112706,0.1200435,0.6838918,0.1682864,0.1933868,0.1580396,0.1440545,0.7430284,0.1366171,0.1297297,0.1598196,0.1306971,0.07823129,0.1276978,0.1255438,0.1845519,0.6512429,0.6845911,0.6884641,0.14739,0.1583377,0.7246203,0.1514048,0.7233627,0.1722488,0.1406959,0.1311616,0.1283582,0.1248996,0.1749175,0.1829806,0.7025228,0.1272727,0.1039236,0.1316574,0.6457726,0.2122147,0.2302723,0.1852038,0.6813655
cg00113623,0.7318959,0.7140859,0.1883498,0.1654956,0.7790508,0.7674314,0.7362562,0.8258703,0.1259974,0.6975241,0.1416419,0.6824225,0.7828331,0.7519486,0.7775255,0.7425545,0.792626,0.7555497,0.6930677,0.7609612,0.7570158,0.7691151,0.7815409,0.7601783,0.7450168,0.7730313,0.7581699,0.7767069,0.1303534,0.1425183,0.1361474,0.1302937,0.1785021,0.7208945,0.7474961,0.1825718,0.1506928,0.7360891,0.805517,0.6885262,0.6961001,0.7799206,0.7386003,0.7495834,0.1607428,0.7829771,0.1847673,0.7674419,0.7577665,0.7678092,0.1789453,0.7170945,0.1659612,0.7674382,0.7979077,0.1392827,0.7788355,0.7533174,0.149008,0.7580408,0.1522332,0.7787444,0.7866647,0.7579807,0.7513622,0.6460475,0.72536,0.193644,0.1730026,0.172741,0.706287,0.6903399,0.7540582,0.7636992,0.7751734,0.771858,0.7542902,0.1214529,0.1767459
cg00114625,0.5866842,0.5887957,0.01703034,0.01916168,0.6055035,0.6304705,0.5997605,0.6146188,0.01798481,0.6012173,0.007005677,0.6099715,0.5967879,0.5858048,0.5830415,0.5726861,0.6294952,0.5914969,0.5811462,0.5981902,0.5943786,0.5961351,0.6071749,0.5764131,0.5758667,0.5923774,0.5956464,0.568112,0.003030983,0.01118455,0.009290298,0.01432836,0.01559991,0.594183,0.585444,0.008276163,0.01912327,0.6096866,0.56988,0.5743002,0.5566019,0.5889061,0.5851116,0.5804506,0.005532334,0.6086854,0.01186083,0.6022584,0.5989857,0.5714202,0.01259529,0.5733664,0.00461437,0.5895796,0.6119432,0.004861025,0.5655044,0.6003383,0.007852424,0.6031454,0.009634132,0.5802971,0.5545698,0.5505706,0.5945274,0.5794339,0.5960594,0.02180122,0.02330854,0.01850751,0.6287583,0.6035027,0.6143787,0.5984411,0.6027139,0.6039923,0.5578448,0.02025033,0.008592267
cg00116709,0.6172306,0.5964558,0.03312674,0.03666667,0.6332737,0.664344,0.6398255,0.6316868,0.05507102,0.5755246,0.02550298,0.6077396,0.607312,0.6240851,0.6307269,0.6031404,0.6705225,0.6049923,0.6066691,0.585897,0.632567,0.6515887,0.5972723,0.6245099,0.6084961,0.6245348,0.6192405,0.6297185,0.03807615,0.02533233,0.0419874,0.02266368,0.03261803,0.6079495,0.6175,0.03065903,0.03022475,0.6183804,0.6887839,0.6221409,0.5969163,0.6415758,0.5777748,0.6281221,0.03635826,0.6335906,0.03774453,0.6327223,0.6098248,0.6305009,0.04333128,0.6384108,0.03814714,0.6227996,0.617438,0.02304018,0.6354674,0.563273,0.03277124,0.6207883,0.03075916,0.5974702,0.5900901,0.6200963,0.6205736,0.5825786,0.6375431,0.03712179,0.03895842,0.03565324,0.6511602,0.571762,0.6117709,0.5742912,0.5818283,0.590383,0.5961744,0.02775418,0.01916933
