cpg,freq
cg14004673,1
cg13775005,0.4
cg19657380,0.4
cg26760793,0.16
cg25856120,0.15
cg20903764,0.13
cg08082908,0.06
cg09942741,0.06
cg23748923,0.06
cg24702253,0.06
cg12929486,0.05
cg20699200,0.04
cg14380111,0.04
cg15649774,0.03
cg24786579,0.03
cg01003015,0.03
cg27310251,0.03
cg12855247,0.03
cg15692032,0.03
cg04855216,0.02
cg16628484,0.02
cg19646445,0.02
cg25036284,0.02
cg15528091,0.02
cg10826200,0.02
cg12580665,0.01
cg11252048,0.01
cg15643574,0.01
cg22560837,0.01
cg06363887,0.01
cg01812337,0.01
cg02593352,0.01
cg22763753,0.01
cg26824807,0.01
cg20706638,0.01
cg19539421,0.01
cg01394138,0.01
cg03434432,0.01
cg07031797,0.01
cg10118513,0.01
cg15153412,0.01
cg05067991,0.01
cg06450650,0.01
cg17858911,0.01
cg05676377,0.01
cg25803693,0.01
cg21860679,0.01
cg03791325,0.01
cg13326227,0.01
cg05197560,0.01
cg17866680,0.01
cg26989291,0.01
cg16324579,0.01
cg07482870,0.01
cg09587640,0.01
cg14493678,0.01
cg09850289,0.01
cg14308647,0.01
cg12879386,0.01
cg22961275,0.01
cg17308286,0.01
cg01382900,0.01
cg05270290,0.01
cg22940848,0.01
cg08675092,0.01
cg17484629,0.01
cg19717235,0.01
cg07344955,0.01
cg05302386,0.01
cg27051433,0
cg07562055,0
cg04762397,0
cg24127743,0
cg05668405,0
cg00733288,0
cg26210447,0
cg21081097,0
cg05931087,0
cg05377417,0
cg00515161,0
cg06316553,0
cg12022184,0
cg25364880,0
cg14048834,0
cg06366585,0
cg25061131,0
cg05711928,0
cg04214467,0
cg10490147,0
cg18582848,0
cg21346818,0
cg03255741,0
cg03761846,0
cg09531436,0
cg16801535,0
cg23511169,0
cg21682474,0
cg03547487,0
cg21654974,0
cg09202269,0
cg00499399,0
cg13671249,0
cg14789928,0
cg24274982,0
cg01835766,0
cg13443092,0
cg10805483,0
cg19238422,0
cg17100207,0
cg00370820,0
cg18140645,0
cg02586637,0
cg24131748,0
cg10734240,0
cg10006408,0
cg06157539,0
cg02479773,0
cg12169977,0
cg26976390,0
cg01770109,0
cg17555499,0
cg18891020,0
cg20569141,0
cg18323922,0
cg26627933,0
cg15518923,0
cg10523966,0
cg12498453,0
cg23699239,0
cg20269997,0
cg02987705,0
cg15304692,0
cg00087195,0
cg07235071,0
cg26057380,0
cg10623600,0
cg05338745,0
cg10944144,0
cg03705042,0
cg13958749,0
cg05321960,0
cg17414580,0
cg16047970,0
cg20552696,0
cg16303686,0
cg11956825,0
cg23705119,0
cg04143294,0
cg25632672,0
cg13756768,0
cg14138116,0
cg12668710,0
cg12222699,0
cg09547081,0
cg26437123,0
cg01408127,0
cg02558537,0
