cpg,in_LASSO,in_Boruta,in_SVMRFE,n_votes
cg14004673,TRUE,FALSE,TRUE,2
cg15643574,FALSE,TRUE,TRUE,2
cg22560837,FALSE,TRUE,TRUE,2
cg23881902,FALSE,TRUE,TRUE,2
cg10186232,FALSE,TRUE,TRUE,2
cg19657380,FALSE,TRUE,TRUE,2
cg06999776,FALSE,TRUE,TRUE,2
cg27301343,FALSE,TRUE,TRUE,2
cg17484629,FALSE,TRUE,TRUE,2
cg21682474,FALSE,TRUE,FALSE,1
cg26976390,FALSE,TRUE,FALSE,1
cg13756768,FALSE,TRUE,FALSE,1
cg05966045,FALSE,TRUE,FALSE,1
cg01812337,FALSE,TRUE,FALSE,1
cg13084049,FALSE,TRUE,FALSE,1
cg17577923,FALSE,TRUE,FALSE,1
cg14199455,FALSE,TRUE,FALSE,1
cg27310251,FALSE,TRUE,FALSE,1
cg03967346,FALSE,TRUE,FALSE,1
cg07794698,FALSE,TRUE,FALSE,1
cg08725962,FALSE,TRUE,FALSE,1
cg09942741,FALSE,TRUE,FALSE,1
cg04017116,FALSE,TRUE,FALSE,1
cg15607449,FALSE,TRUE,FALSE,1
cg26760793,FALSE,TRUE,FALSE,1
cg02397686,FALSE,TRUE,FALSE,1
cg24702253,FALSE,TRUE,FALSE,1
cg08847132,FALSE,TRUE,FALSE,1
cg15809230,FALSE,FALSE,TRUE,1
cg13775005,FALSE,FALSE,TRUE,1
cg16628484,FALSE,FALSE,TRUE,1
cg19280133,FALSE,FALSE,TRUE,1
cg20903764,FALSE,FALSE,TRUE,1
cg03618937,FALSE,FALSE,TRUE,1
cg12580665,FALSE,FALSE,TRUE,1
cg12553223,FALSE,FALSE,TRUE,1
cg26989291,FALSE,FALSE,TRUE,1
cg08222662,FALSE,FALSE,TRUE,1
cg16303686,FALSE,FALSE,TRUE,1
cg03255741,FALSE,FALSE,TRUE,1
cg25856120,FALSE,FALSE,TRUE,1
cg16972079,FALSE,FALSE,TRUE,1
cg25795456,FALSE,FALSE,TRUE,1
cg24274982,FALSE,FALSE,TRUE,1
