cpg,module
cg11738485,grey
cg14521995,cyan
cg06032337,violet
cg05875700,grey
cg24506221,grey
cg08103988,grey
cg08779649,grey
cg27586797,grey
cg19214707,grey
cg17421046,grey
cg00211215,grey
cg04657146,grey
cg26748794,grey
cg21358336,grey
cg21139150,grey
cg14799809,grey
cg11888470,grey
cg03651054,grey
cg25134647,grey
cg06417478,grey
cg06559318,grey
cg16032108,grey
cg11445109,grey
cg08422420,grey
cg09949906,grey
cg14859874,grey
cg08477332,grey
cg04777551,grey
cg22627029,grey
cg23899408,grey
cg07134666,violet
cg22933800,grey
cg11064039,grey
cg04131969,grey
cg11287055,grey
cg03748376,grey
cg02487331,grey
cg11383134,violet
cg21931717,grey
cg19778375,grey
cg15014361,grey
cg11787167,grey
cg04090468,grey
cg04028570,grey
cg15570656,violet
cg19384241,grey
cg01218619,grey
cg08750459,grey
cg09120722,grey
cg13462158,grey
cg23603995,grey
cg06390613,grey
cg15145296,grey
cg04546413,grey
cg21484985,grey
cg13862711,grey
cg15864601,grey
cg08419873,grey
cg08208480,grey
cg14554157,grey
cg19357499,grey
cg01097406,grey
cg26536949,grey
cg24960960,grey
cg15982117,grey
cg03329597,grey
cg02902672,grey
cg12988522,grey
cg18428180,cyan
cg20057198,grey
cg26764761,grey
cg02403292,grey
cg16744531,grey
cg17509989,grey
cg16761754,grey
cg18531559,grey
cg02891314,grey
cg10411146,grey
cg13835168,violet
cg01053087,grey
cg07314988,grey
cg15224432,grey
cg05729249,grey
cg01778345,grey
cg03461641,grey
cg08944170,grey
cg23248424,grey
cg13910785,grey
cg20435485,grey
cg06657917,grey
cg10197305,grey
cg26163238,grey
cg04663285,grey
cg24638099,grey
cg25755428,grey
cg13830619,grey
cg13012494,grey
cg27083089,grey
cg13752114,grey
cg21594961,grey
cg13902645,grey
cg00274965,grey
cg22984587,grey
cg08041448,violet
cg25924602,grey
cg07147204,grey
cg26146732,grey
cg01854967,grey
cg06766960,grey
cg24853868,grey
cg18918831,grey
cg03198009,violet
cg02004499,grey
cg21167402,grey
cg11459648,grey
cg22244940,grey
cg04043455,grey
cg20507276,grey
cg16704958,grey
cg12950816,grey
cg23635910,grey
cg20961245,violet
cg12717203,grey
cg23649088,grey
cg15568074,grey
cg22337407,grey
cg00873648,cyan
cg21847720,grey
cg04926385,grey
cg17749961,grey
cg03605463,grey
cg09584650,grey
cg22240348,grey
cg13944838,grey
cg11949518,grey
cg01079515,grey
cg15532640,grey
cg21171335,grey
cg00304520,orange
cg13077366,grey
cg24851651,grey
cg26121931,grey
cg24399712,grey
cg03188948,grey
cg23221052,grey
cg18105134,grey
cg06406458,grey
cg03635442,grey
cg24810735,grey
cg14013597,grey
cg18727742,grey
cg16431720,grey
cg03449857,violet
cg07234876,grey
cg17920646,grey
cg12641240,grey
cg15752756,grey
cg23758822,grey
cg07414487,grey
cg10578777,grey
cg09352518,grey
cg26893861,grey
cg08564027,grey
cg16006841,grey
cg17052675,grey
cg22494932,violet
cg20290983,grey
cg10261205,grey
cg23779604,grey
cg13498757,grey
cg22618164,grey
cg06205333,grey
cg08260406,grey
cg04398451,grey
cg16514085,grey
cg05388281,grey
cg05528899,grey
cg06715136,grey
cg14815891,grey
cg20228636,violet
cg17611936,grey
cg06751007,grey
cg18805164,grey
cg06609049,grey
cg16875032,grey
cg27413643,grey
cg08584759,grey
cg00964333,grey
cg06777732,grey
cg09252806,grey
cg04798314,grey
cg02574844,grey
cg22325292,grey
cg06675417,grey
cg16885113,violet
cg24838063,grey
cg00588198,violet
cg08829299,grey
cg08508337,grey
cg05401945,grey
cg03181300,grey
cg16814680,grey
cg22635676,grey
cg23627948,grey
cg17165241,grey
cg18872420,grey
cg03168497,grey
cg05130482,grey
cg09756125,grey
cg27244972,grey
cg12609785,cyan
cg01707795,grey
cg07796016,grey
cg16700025,grey
cg26076054,grey
cg19469447,grey
cg20311868,grey
cg24634471,grey
cg16906346,grey
cg20320494,grey
cg10501093,grey
cg07870920,grey
cg13571460,grey
cg23997132,grey
cg02249577,grey
cg16611967,grey
cg14388170,grey
cg20356878,grey
cg14911689,grey
cg08206881,grey
cg02157626,violet
cg06546677,grey
cg08709360,grey
cg01201512,grey
cg01819759,grey
cg16379671,grey
cg27214960,grey
cg08265274,grey
cg06242242,grey
cg08573926,grey
cg18402987,grey
cg08899523,grey
cg05053403,grey
cg08164151,grey
cg12036633,grey
cg14026325,grey
cg19876987,grey
cg02407415,grey
cg27326062,grey
cg08240917,grey
cg13732083,grey
cg04793911,grey
cg07984380,grey
cg27036347,grey
cg24100841,violet
cg16316162,grey
cg02119792,grey
cg17851276,grey
cg19312314,grey
cg14856563,grey
cg27266060,grey
cg05406088,grey
cg09035930,grey
cg05194426,grey
cg25271479,grey
cg05590257,grey
cg10909185,grey
cg10864200,grey
cg07564979,grey
cg15577010,grey
cg17658113,grey
cg03393996,grey
cg23231268,grey
cg21873524,grey
cg18587137,grey
cg07044115,grey
cg00937982,grey
cg19636627,violet
cg13106476,grey
cg03447554,grey
cg04434909,grey
cg04255276,grey
cg12756686,grey
cg02304092,grey
cg27366766,grey
cg10596483,grey
cg24840300,grey
cg24467349,grey
cg26929925,grey
cg27149073,grey
cg07076816,grey
cg10786572,grey
cg15896447,grey
cg26472636,grey
cg23876832,grey
cg01516851,grey
cg10047753,cyan
cg23400446,grey
cg21469772,grey
cg06494592,grey
cg01156747,grey
cg12016809,grey
cg03749207,grey
cg18786623,grey
cg04348223,grey
cg27633287,grey
cg01911613,grey
cg07509935,grey
cg10645314,grey
cg21898246,cyan
cg20007021,grey
cg13312387,grey
cg00579423,grey
cg25243082,grey
cg27176264,grey
cg12081754,grey
cg04329454,grey
cg05872129,grey
cg07733481,grey
cg08551532,grey
cg17537073,grey
cg24088508,grey
cg26964592,grey
cg02524346,grey
cg06027927,grey
cg14983838,grey
cg04811114,grey
cg17099656,grey
cg02896835,grey
cg08010094,grey
cg24104387,grey
cg16474696,grey
cg09232555,grey
cg03030317,grey
cg05475109,grey
cg13469425,grey
cg11965913,grey
cg17172308,grey
cg09622121,grey
cg07679219,grey
cg06394109,grey
cg03623568,grey
cg09139047,grey
cg08611411,grey
cg15727583,grey
cg04395153,grey
cg17497608,grey
cg22082780,grey
cg22216157,grey
cg03728813,cyan
cg05197062,grey
cg02299497,grey
cg15706568,grey
cg27153400,grey
cg02408697,grey
cg17035899,grey
cg10296238,grey
cg01808030,grey
cg17240725,grey
cg25210835,grey
cg05820861,grey
cg09768983,grey
cg15132673,grey
cg24796644,grey
cg14371731,grey
cg17043823,grey
cg13679714,grey
cg19665696,grey
cg03787837,grey
cg10317314,grey
cg12310025,grey
cg23731272,grey
cg14279361,grey
cg05166302,grey
cg00713939,grey
cg00874817,grey
cg00744351,grey
cg22987448,grey
cg08509907,grey
cg26371957,grey
cg16127683,grey
cg13148921,grey
cg21665850,grey
cg03654560,grey
cg05302542,cyan
cg00614959,grey
cg19413350,grey
cg15635302,grey
cg07547798,orange
cg12333160,grey
cg08172999,cyan
cg19383211,grey
cg02224314,grey
cg21138405,grey
cg13707894,grey
cg02398342,grey
cg13871695,grey
cg22462726,grey
cg16702083,grey
cg18136963,grey
cg03455316,grey
cg05376465,grey
cg17755888,grey
cg10075506,grey
cg09499248,cyan
cg11062466,grey
cg04024692,grey
cg17220055,grey
cg26094651,grey
cg20549346,grey
cg24487372,grey
cg13298116,grey
cg27171569,grey
cg07490070,grey
cg18620571,grey
cg04349084,grey
cg05353869,grey
cg15028160,grey
cg03950599,grey
cg06400119,grey
cg14304349,grey
cg09975044,grey
cg09077675,cyan
cg22256960,grey
cg21717724,grey
cg01239735,grey
cg03834411,grey
cg25052156,grey
cg12346749,cyan
cg12744031,grey
cg08578320,grey
cg15845071,grey
cg15993027,grey
cg09827761,grey
cg07100532,grey
cg18868178,grey
cg12760041,cyan
cg10727171,grey
cg17933807,cyan
cg00805880,grey
cg19421368,grey
cg08322580,grey
cg05592035,grey
cg00791851,grey
cg24536782,grey
cg23958373,grey
cg26654770,grey
cg07464355,cyan
cg01448562,grey
cg07001481,grey
cg27119318,grey
cg18924965,cyan
cg04282082,grey
cg26310551,grey
cg11070193,grey
cg23712405,white
cg00044796,grey
cg17529386,grey
cg15686800,cyan
cg01903420,grey
cg19754622,grey
cg20098848,grey
cg02981003,grey
cg22676075,grey
cg18430555,grey
cg23268197,grey
cg03335125,grey
cg11747594,violet
cg08317284,cyan
cg04378603,cyan
cg12159023,grey
cg17178900,grey
cg25125450,grey
cg10862468,grey
cg05044291,grey
cg13749113,grey
cg16034541,grey
cg24419828,cyan
cg06726860,grey
cg03606898,grey
cg27427514,grey
cg24591913,grey
cg04536689,cyan
cg20102877,grey
cg06201514,grey
cg13982318,grey
cg14631276,grey
cg14580085,grey
cg03299990,grey
cg20264068,grey
cg02769477,grey
cg03314029,grey
cg02808338,cyan
cg09894276,grey
cg13353717,grey
cg06712767,grey
cg08714590,grey
cg02159489,grey
cg25830305,grey
cg15719606,cyan
cg13111532,grey
cg12036553,blue
cg21123519,grey
cg09888468,grey
cg07747299,grey
cg19827875,grey
cg12927641,grey
cg15977137,grey
cg16653991,grey
cg17154563,cyan
cg22459517,grey
cg19684207,grey
cg19801747,cyan
cg00329300,grey
cg11247378,grey
cg24231558,grey
cg19418458,grey
cg23024343,grey
cg27423959,grey
cg08742575,grey
cg14959291,cyan
cg20744163,grey
cg19558933,grey
cg24503407,grey
cg26220594,grey
cg00594560,cyan
cg20738202,cyan
cg10399005,grey
cg25994622,grey
cg06238316,grey
cg20255370,grey
cg18890544,grey
cg24352561,grey
cg24837411,grey
cg02486855,grey
cg14215459,grey
cg27567864,grey
cg26035071,grey
cg16106427,grey
cg12654743,cyan
cg13504318,grey
cg03986562,grey
cg20744362,grey
cg15465743,grey
cg11404906,grey
cg23823879,grey
cg00758881,grey
cg21177396,grey
cg14882966,grey
cg08970795,cyan
cg06823034,grey
cg24875593,grey
cg12943317,blue
cg26722322,cyan
cg03849834,grey
cg24027202,cyan
cg17696517,grey
cg24307440,cyan
cg20888907,cyan
cg15286784,grey
cg26347746,grey
cg11885357,grey
cg10022553,grey
cg10223066,grey
cg23314071,cyan
cg18800136,cyan
cg00255919,grey
cg10499753,grey
cg07562483,grey
cg04737881,grey
cg11012078,cyan
cg04181038,grey
cg05505459,grey
cg00631329,grey
cg19093397,cyan
cg09808176,cyan
cg26607620,grey
cg14964336,grey
cg02846841,grey
cg06791446,grey
cg22905511,grey
cg02102533,grey
cg02645710,cyan
cg04842962,grey
cg25937216,grey
cg01797371,grey
cg02674305,cyan
cg06710981,grey
cg05004142,grey
cg24626312,cyan
cg15070894,grey
cg08291996,grey
cg22141696,grey
cg19109608,grey
cg16298867,grey
cg20955328,grey
cg08430355,cyan
cg15011837,white
cg00681103,cyan
cg27141850,grey
cg09381666,grey
cg25705717,grey
cg10135260,grey
cg01343206,cyan
cg04554929,grey
cg10210594,grey
cg06221963,grey
cg20160729,lightgreen
cg01023271,cyan
cg00522231,grey
cg14998086,blue
cg12451631,cyan
cg10812634,grey
cg06825163,grey
cg14143304,grey
cg08269402,grey
cg10342614,cyan
cg03738707,grey
cg24985459,cyan
cg26540559,grey
cg23878564,grey
cg24814075,cyan
cg18984983,grey
cg25066665,grey
cg03292213,grey
cg27312944,cyan
cg06108461,grey
cg26100149,grey
cg04076766,grey
cg06211550,grey
cg04517722,grey
cg26597838,grey
cg15988970,grey
cg25574765,cyan
cg13750264,grey
cg20607798,grey
cg26379339,cyan
cg09508938,grey
cg23708337,grey
cg18551877,cyan
cg12941754,grey
cg01948083,cyan
cg18202502,grey
cg05017628,grey
cg14544631,cyan
cg26182037,cyan
cg04354002,grey
cg00061551,blue
cg08052226,cyan
cg22062537,grey
cg12968518,cyan
cg21862353,grey
cg12128740,cyan
cg23512958,cyan
cg16308533,grey
cg12861945,cyan
cg22619763,cyan
cg09513133,cyan
cg15954353,grey
cg02919082,grey
cg22132788,grey
cg23717290,cyan
cg22711741,grey
cg06064525,grey
cg12980917,cyan
cg20293942,grey
cg14240646,grey
cg03312856,blue
cg18705301,grey
cg26427109,grey
cg25335841,grey
cg20491223,cyan
cg05643303,cyan
cg05772155,grey
cg16784985,grey
cg19905861,cyan
cg12798157,grey
cg10919664,grey
cg12889195,grey
cg14011486,grey
cg14159672,grey
cg21004358,grey
cg16781264,grey
cg01699425,cyan
cg07470512,grey
cg08918224,cyan
cg12301620,cyan
cg14036830,grey
cg08762424,grey
cg10127162,cyan
cg15652532,grey
cg18433519,grey
cg10997002,cyan
cg01178624,grey
cg14986359,grey
cg01351822,grey
cg21226059,grey
cg00297950,grey
cg26099834,grey
cg11799593,grey
cg14285533,grey
cg00923880,grey
cg25356393,grey
cg07148458,grey
cg03003216,cyan
cg27051433,cyan
cg13081526,grey
cg19738233,grey
cg06864789,grey
cg01612292,grey
cg16434002,cyan
cg25412017,cyan
cg22563390,grey
cg16516959,cyan
cg21102739,grey
cg08634464,grey
cg21111256,grey
cg20923605,grey
cg02970077,grey
cg17224732,grey
cg07654678,cyan
cg25699073,violet
cg11406134,grey
cg08369870,cyan
cg11702455,cyan
cg19375418,grey
cg23066280,grey
cg08926642,grey
cg00901687,grey
cg14352983,grey
cg13931599,grey
cg26694831,grey
cg03423038,cyan
cg20493885,cyan
cg16857610,cyan
cg10072237,grey
cg19998150,grey
cg15215612,grey
cg04633141,grey
cg10582608,grey
cg19408572,grey
cg21698185,grey
cg02000145,cyan
cg01567173,grey
cg14181982,cyan
cg25978138,violet
cg15975750,grey
cg26476930,grey
cg17187559,cyan
cg13154104,cyan
cg18155407,grey
cg25932869,grey
cg18426444,grey
cg03363289,grey
cg14291257,blue
cg23681866,grey
cg00928596,grey
cg14154082,grey
cg20517616,cyan
cg00224807,grey
cg10667338,grey
cg12645284,grey
cg19312667,grey
cg01640684,grey
cg10543947,cyan
cg22480875,grey
cg18451016,grey
cg14659662,grey
cg20053110,grey
cg21109666,grey
cg02953545,grey
cg06916001,grey
cg15765251,grey
cg08928753,grey
cg17610333,grey
cg15659132,cyan
cg21585512,grey
cg08823027,grey
cg06891548,cyan
cg11430259,grey
cg27514038,grey
cg23246911,grey
cg27505492,grey
cg27436995,grey
cg04863005,grey
cg10218876,grey
cg02811067,grey
cg25283336,blue
cg16602316,grey
cg06060754,grey
cg07562055,cyan
cg11295144,cyan
cg14712794,cyan
cg21482265,grey
cg05082466,grey
cg19066060,orange
cg03096830,cyan
cg26103828,cyan
cg16786756,grey
cg11343894,grey
cg14527050,grey
cg01637175,grey
cg22566624,cyan
cg01951420,cyan
cg10314470,blue
cg02023345,cyan
cg10632894,grey
cg23664385,cyan
cg06524264,grey
cg27611887,grey
cg01741372,grey
cg09841842,grey
cg22920501,grey
cg06950634,grey
cg14413466,grey
cg16125762,grey
cg18989174,cyan
cg24703804,cyan
cg11805450,cyan
cg26745581,cyan
cg05659223,cyan
cg02691506,grey
cg21432322,cyan
cg27128560,grey
cg02452435,grey
cg19919828,cyan
cg09712682,grey
cg18071071,grey
cg18207141,cyan
cg12335829,cyan
cg06925387,cyan
cg15454820,grey
cg05030953,grey
cg00452882,grey
cg27159088,cyan
cg02657760,grey
cg23257386,cyan
cg27307781,grey
cg01588581,grey
cg00101728,grey
cg05992904,grey
cg22051345,grey
cg14317384,grey
cg09233429,grey
cg02765225,cyan
cg10486069,grey
cg00101154,grey
cg25828445,grey
cg12049462,cyan
cg13768055,grey
cg20245116,grey
cg02247823,cyan
cg25288140,grey
cg04762397,cyan
cg09996633,blue
cg08390760,cyan
cg17526424,cyan
cg04774496,cyan
cg10648573,violet
cg19892287,grey
cg01821018,grey
cg17642017,cyan
cg02770061,grey
cg21862992,grey
cg08134829,cyan
cg07099606,grey
cg03644281,grey
cg13096242,grey
cg21242009,grey
cg13489479,cyan
cg02953382,cyan
cg26862620,cyan
cg08811588,grey
cg24923891,cyan
cg11081185,grey
cg02652768,cyan
cg26755097,cyan
cg19085146,cyan
cg17127214,cyan
cg22885367,cyan
cg03575163,cyan
cg19962075,grey
cg11480278,grey
cg19664712,cyan
cg25330361,grey
cg11372818,grey
cg00514665,grey
cg20927656,grey
cg19953646,cyan
cg15506703,grey
cg10871120,grey
cg24127743,cyan
cg03847932,grey
cg23742080,cyan
cg07110043,grey
cg27074582,grey
cg10763059,cyan
cg00456011,cyan
cg13952336,cyan
cg21705063,cyan
cg07341007,grey
cg03760927,cyan
cg17724687,grey
cg13697193,grey
cg02314846,cyan
cg16557370,grey
cg25508118,cyan
cg14162940,grey
cg25901000,blue
cg00785941,grey
cg07628769,grey
cg02712075,cyan
cg22333733,cyan
cg06444984,cyan
cg26813794,cyan
cg17971929,grey
cg04136259,grey
