sex,CpG,delta_M_response,p_response,fdr_response,n,Gene,Region,Island
female,cg00003345,0.126469009064465,0.0447154779156635,0.896622608361287,56,CASZ1,5'UTR,OpenSea
female,cg00003513,0.119590838481704,0.0953977307222326,0.896622608361287,56,CASZ1,5'UTR,N_Shore
female,cg00029521,0.102403909877085,0.382968221104637,0.896622608361287,56,KCNK17,Body,S_Shore
female,cg00101079,-0.0383594843271896,0.734347137940039,0.945779456263741,56,ANKRD55,Body,OpenSea
female,cg00110519,0.0634615784187164,0.352401076501395,0.896622608361287,56,GRB10,5'UTR,OpenSea
female,cg00111677,0.142162297316219,0.0375342874241575,0.896622608361287,56,CHRNA7,Body,Island
female,cg00116882,0.0836702589632322,0.343857674839566,0.896622608361287,56,PIANP,TSS1500,S_Shore
female,cg00135211,0.0969160787186908,0.3306178174356,0.896622608361287,56,CASZ1,5'UTR,OpenSea
female,cg00145904,0.094235799670235,0.223847890220752,0.896622608361287,56,CASZ1,3'UTR,N_Shore
female,cg00167504,0.0746074194499673,0.33851610360887,0.896622608361287,56,BLVRA,5'UTR,Island
female,cg00224523,-0.0142483096053113,0.864548549691152,0.973205945391294,56,GRB10,5'UTR,OpenSea
female,cg00228281,0.0171453738489071,0.83466825240695,0.966732758130374,56,GRB10,5'UTR,OpenSea
female,cg00262280,0.063479061159911,0.316643580310438,0.896622608361287,56,CREB3L2,TSS1500,Island
female,cg00280524,0.0871754173476372,0.387814785200649,0.896622608361287,56,NDFIP1,TSS1500,N_Shore
female,cg00294065,0.0587940870969609,0.391469301928007,0.896622608361287,56,GRB10,3'UTR,OpenSea
female,cg00350885,-0.507951622534332,0.0117329342992301,0.896622608361287,56,GRB10,5'UTR,N_Shore
female,cg00365487,0.126698270915496,0.117012097077985,0.896622608361287,56,CASZ1,5'UTR,OpenSea
female,cg00374382,0.136246236134983,0.0307227552745551,0.896622608361287,56,POGZ,Body,OpenSea
female,cg00386581,-0.132814367235648,0.401740807038136,0.896622608361287,56,UBXN1,Body,Island
female,cg00391767,0.0166568577249928,0.858408912390522,0.971770658412453,56,ANKRD55,Body,OpenSea
female,cg00412842,-0.166170867188318,0.0830400194589356,0.896622608361287,56,BFSP1,Body,Island
female,cg00448659,0.0811027985727141,0.18134818785249,0.896622608361287,56,ATG9B,3'UTR,N_Shore
female,cg00478333,0.0710803839287437,0.319819965462298,0.896622608361287,56,COMTD1,TSS200,Island
female,cg00478390,0.0162905992874736,0.826478107420984,0.965111784265933,56,NOS3,Body,N_Shore
female,cg00542493,0.0155484917294532,0.859092182725045,0.971952497690591,56,NUDT5,5'UTR,Island
female,cg00552387,-0.0577162920501945,0.54915470405312,0.910310178794212,56,CSRNP2,TSS1500,Island
female,cg00561025,0.0640070854810752,0.552455121394053,0.910891357082297,56,DNAL4,5'UTR,OpenSea
female,cg00571021,0.151486603334667,0.0663862216895046,0.896622608361287,56,NOS3,Body,S_Shore
female,cg00597139,-0.0303203511985263,0.646821712057194,0.927658504550749,56,FANCC,5'UTR,OpenSea
female,cg00668638,-0.0866147467020215,0.356712576056599,0.896622608361287,56,DSP,TSS1500,N_Shore
female,cg00675313,0.139238552387754,0.209149821190505,0.896622608361287,56,MTBP,Body,S_Shore
female,cg00685971,0.0714677172744005,0.319385493098923,0.896622608361287,56,KCTD9,Body,OpenSea
female,cg00694777,0.0377345418867596,0.57399462373271,0.914226882230319,56,COX19,3'UTR,N_Shore
female,cg00700487,0.0846792532650694,0.360018439222489,0.896622608361287,56,NOS3,Body,Island
female,cg00711711,0.0595466526578958,0.45812136169636,0.899491557018431,56,CREB3L2,TSS200,Island
female,cg00716870,0.101574652158425,0.324010730732772,0.896622608361287,56,NDFIP1,Body,OpenSea
