gene,mQTL_MR_pval,mQTL_candidate_cpg,mQTL_cpg_chr,mQTL_cpg_pos_hg19,mQTL_MR_beta
AAK1,0.5014829,cg17149911,chr2,69812277,0.00650426
ABI3,0.4331312,cg05716556,chr17,47287410,-0.0560311
ABI3BP,0.2005582,cg15028548,chr3,100712322,-0.0377468
ACER2,0.104414,cg14628274,chr9,19424228,-0.0921651
ACLY,0.2296422,cg19443920,chr17,40075879,0.0681833
ADCK5,0.2206168,cg04548483,chr8,145597148,-0.0206103
AGR2,0.2740075,cg02066184,chr7,16841504,0.0685873
AGT,0.1433634,cg24474852,chr1,230850050,0.0204494
AHR,0.04799846,cg13676215,chr7,17337976,-0.0910125
AKR1B1,0.3485887,cg13056495,chr7,134143249,0.059839
AKT1,0.01625678,cg04820159,chr14,105251188,0.126815
AKT3,0.3459506,cg04221461,chr1,243877024,-0.0387682
AKTIP,0.05691606,cg02965178,chr16,53538660,0.0318244
ALDH2,0.1922379,cg19186356,chr12,112204327,0.0655419
ALDOA,0.03606069,cg07742718,chr16,30064149,0.142072
ALKBH3,0.1988105,cg26985203,chr11,43903042,-0.0514202
ALOX15B,0.4790668,cg15799267,chr17,7942406,0.0419224
ANAPC1,0.5037195,cg23215929,chr2,112641879,0.0153746
ANXA5,0.526365,cg03354519,chr4,122618501,0.0506622
ARF1,0.4864856,cg06625004,chr1,228278432,0.0107411
ARG2,0.001855665,cg11752250,chr14,68089471,0.158339
ARID1A,0.1934487,cg05649922,chr1,27029290,-0.101675
ARID1B,0.04762857,cg16017800,chr6,157184114,0.0951201
ARID3A,0.197801,cg15035911,chr19,924933,-0.0334563
ARPC1B,0.003886506,cg05715492,chr7,98991138,0.104737
ARRB1,0.04602869,cg18975055,chr11,74977199,0.169904
ASAH1,0.07608955,cg18929511,chr8,17942993,-0.0308145
ASF1A,0.4520851,cg12098441,chr6,119217672,-0.0264094
ASPH,0.02986934,cg14266248,chr8,62606211,0.120738
ASXL2,0.03642838,cg23780110,chr2,26045244,-0.133353
ATF3,0.3060643,cg03970567,chr1,212761056,-0.00906966
ATF6,0.8047732,cg12648759,chr1,161812851,-0.00541014
ATF7IP,0.1030853,cg19789919,chr12,14518548,0.0439608
ATG10,0.4097395,cg22692507,chr5,81446503,0.0557613
ATG12,0.9594374,cg17519280,chr5,115175001,0.000737043
ATG16L1,0.7184164,cg12834730,chr2,234159346,-0.0175819
ATG4D,0.1530291,cg23002708,chr19,10662587,-0.0902413
ATG7,0.3881513,cg24705426,chr3,11550659,0.0197943
ATM,0.002450761,cg04826772,chr11,108092964,-0.198055
ATP6V0A2,0.7250104,cg04140754,chr12,124196328,0.00512221
ATXN10,0.2816501,cg20269537,chr22,46067074,-0.0483225
AXL,0.06813649,cg10564498,chr19,41724653,0.0330343
BAG3,0.3750566,cg10673740,chr10,121411826,0.0601013
BAZ1A,0.004209411,cg09327582,chr14,35236912,-0.0884059
BCL11B,0.04045446,cg19450111,chr14,99728984,0.064623
BCL2,0.01131863,cg16445842,chr18,60986860,0.137284
BCL2L1,0.02737295,cg08257293,chr20,30308440,-0.0672498
BCL3,0.2717776,cg26470501,chr19,45252955,0.0408597
BCL6,0.02065381,cg01598596,chr3,187464648,-0.087299
BHLHE40,0.1202183,cg26344982,chr3,5024811,-0.0612584
BIN1,0.1003479,cg02887598,chr2,127841945,-0.0159845
BIRC5,0.8237493,cg04972436,chr17,76212679,-0.0120379
BLK,0.01231389,cg14702231,chr8,11413234,0.0722653
BLVRA,0.2775771,cg19725553,chr7,43797898,0.0671619
BMP4,0.1773408,cg24526899,chr14,54424149,-0.0982772
BMPR2,0.1155494,cg05364508,chr2,203242417,-0.0992437
BMS1,0.9176067,cg01227028,chr10,43277745,0.00315322
BNIP3L,0.0198877,cg01706566,chr8,26239922,0.0408423
BRAF,0.2086783,cg21043558,chr7,140625365,-0.0507847
