cpg,gene,algorithm,train_auc,internal_test_auc
cg14004673,C19orf54,rf,1,0.542608695652174
cg14004673,C19orf54,logreg,0.545504385964912,0.740869565217392
cg14004673,C19orf54,svm,0.546418128654971,0.730434782608696
cg14004673,C19orf54,knn,0.739400584795322,0.446086956521739
cg14004673,C19orf54,ann,0.631213450292398,0.504347826086957
cg14004673,C19orf54,xgboost,0.779970760233918,0.458260869565217
cg15643574,PICALM,rf,1,0.683478260869565
cg15643574,PICALM,logreg,0.656067251461988,0.660869565217391
cg15643574,PICALM,svm,0.703947368421052,0.732173913043479
cg15643574,PICALM,knn,0.789016812865497,0.719130434782609
cg15643574,PICALM,ann,0.72733918128655,0.80695652173913
cg15643574,PICALM,xgboost,0.738669590643275,0.743478260869565
cg22560837,POP4,rf,1,0.295652173913044
cg22560837,POP4,logreg,0.53125,0.6
cg22560837,POP4,svm,0.517726608187135,0.43304347826087
cg22560837,POP4,knn,0.65889985380117,0.397391304347826
cg22560837,POP4,ann,0.593019005847953,0.412173913043478
cg22560837,POP4,xgboost,0.694170321637427,0.413913043478261
cg23881902,HDLBP,rf,1,0.69304347826087
cg23881902,HDLBP,logreg,0.561769005847954,0.634782608695652
cg23881902,HDLBP,svm,0.644188596491229,0.64
cg23881902,HDLBP,knn,0.603252923976608,0.668695652173913
cg23881902,HDLBP,ann,0.588450292397661,0.634782608695652
cg23881902,HDLBP,xgboost,0.74890350877193,0.596521739130435
cg10186232,C5orf44,rf,1,0.53304347826087
cg10186232,C5orf44,logreg,0.635416666666667,0.579130434782609
cg10186232,C5orf44,svm,0.647843567251462,0.570434782608696
cg10186232,C5orf44,knn,0.666940789473684,0.556521739130435
cg10186232,C5orf44,ann,0.635416666666667,0.579130434782609
cg10186232,C5orf44,xgboost,0.851334064327485,0.562608695652174
cg19657380,ZFAT,rf,1,0.547826086956522
cg19657380,ZFAT,logreg,0.523757309941521,0.626086956521739
cg19657380,ZFAT,svm,0.506578947368421,0.40695652173913
cg19657380,ZFAT,knn,0.826388888888889,0.511304347826087
cg19657380,ZFAT,ann,0.523757309941521,0.626086956521739
cg19657380,ZFAT,xgboost,0.793494152046784,0.513913043478261
cg06999776,SEMA4F,rf,1,0.636521739130435
cg06999776,SEMA4F,logreg,0.671783625730994,0.631304347826087
cg06999776,SEMA4F,svm,0.749269005847954,0.735652173913043
cg06999776,SEMA4F,knn,0.801260964912281,0.712173913043478
cg06999776,SEMA4F,ann,0.749634502923977,0.725217391304348
cg06999776,SEMA4F,xgboost,0.897021198830409,0.690434782608696
cg27301343,EML2,rf,1,0.453913043478261
cg27301343,EML2,logreg,0.636330409356725,0.586086956521739
cg27301343,EML2,svm,0.668311403508772,0.619130434782609
cg27301343,EML2,knn,0.67562134502924,0.524347826086957
cg27301343,EML2,ann,0.668676900584795,0.624347826086957
cg27301343,EML2,xgboost,0.732273391812866,0.596521739130435
cg17484629,ELOVL6,rf,1,0.53304347826087
cg17484629,ELOVL6,logreg,0.542580409356726,0.706086956521739
cg17484629,ELOVL6,svm,0.459247076023392,0.304347826086957
cg17484629,ELOVL6,knn,0.682931286549708,0.583478260869565
cg17484629,ELOVL6,ann,0.542580409356726,0.706086956521739
cg17484629,ELOVL6,xgboost,0.780519005847953,0.452173913043478
