cpg,module,gene
cg00001594,turquoise,ROCK2
cg00002033,grey,LRFN1
cg00002719,turquoise,C1orf114
cg00002749,grey,TMEM49
cg00008839,turquoise,OAZ1
cg00010947,turquoise,HELQ
cg00012362,grey,S100A13
cg00013410,grey,MED13
cg00013655,grey,PIGQ
cg00014112,blue,GYPC
cg00014203,brown,KDM6B
cg00014484,grey,
cg00014986,turquoise,ANAPC11
cg00016814,grey,CNTNAP2
cg00016996,brown,RER1
cg00019495,grey,HOPX
cg00019809,grey,RPRD1A
cg00019841,grey,MAPK4
cg00021600,grey,NECAB2
cg00021945,black,ZNF613
cg00022997,grey,
cg00023288,blue,LRPPRC
cg00025138,turquoise,MAP3K9
cg00025439,grey,
cg00027037,grey,OSBPL1A
cg00027083,grey,EPB41L3
cg00030422,turquoise,DLEC1
cg00030682,grey,ABCC1
cg00030795,turquoise,ZBTB9
cg00031256,turquoise,SERPINB1
cg00031303,turquoise,
cg00031476,turquoise,BRE
cg00032419,blue,TP53I13
cg00032852,turquoise,CHCHD3
cg00035636,grey,
cg00036599,grey,C1orf54
cg00039385,turquoise,SEMA6B
cg00039793,grey,SFXN4
cg00040380,turquoise,RPS27
cg00042874,blue,PLEKHH3
cg00044463,magenta,GLT25D2
cg00044796,grey,
cg00045190,blue,
cg00049718,turquoise,CSDE1
cg00052626,turquoise,CASP9
cg00053010,turquoise,
cg00054971,grey,PTPRE
cg00058113,grey,VPS52
cg00061551,grey,ALG1
cg00063077,turquoise,SLC30A7
cg00064255,turquoise,LRRC8C
cg00066499,turquoise,
cg00066748,grey,C8orf42
cg00068621,turquoise,RBM22
cg00069314,magenta,CLCN3
cg00071565,grey,ODC1
cg00071751,turquoise,KIF20B
cg00071950,grey,SLC2A9
cg00071984,grey,FHIT
cg00074313,grey,MIR548N
cg00074379,turquoise,HAX1
cg00074851,brown,NCBP2
cg00076195,grey,
cg00078996,grey,
cg00080972,grey,RUFY1
cg00081347,tan,SGSH
cg00083206,grey,DDO
cg00084338,grey,DLL1
cg00086297,turquoise,BTBD12
cg00087005,grey,CTBP2
cg00087195,turquoise,MTRR
cg00087417,turquoise,SRPK1
cg00088299,turquoise,
cg00089071,grey,PCGF2
cg00089372,grey,MEF2D
cg00090648,turquoise,C1orf55
cg00091285,blue,
cg00096845,turquoise,ZNF195
cg00100892,grey,
cg00101118,turquoise,RNF11
cg00101154,grey,MRPL28
cg00101453,turquoise,GATSL3
cg00101728,grey,SERPINB6
cg00101895,blue,SEC63
cg00104570,greenyellow,MIR548G
cg00105470,turquoise,C1orf35
cg00106499,turquoise,POLD2
cg00107982,turquoise,ELFN2
cg00108944,grey,GLIPR1L2
cg00111893,turquoise,
cg00112723,turquoise,ATG9A
cg00114029,grey,DLGAP3
cg00114966,grey,LHX9
cg00116058,grey,MRPL22
cg00116554,grey,SNAI2
cg00117651,grey,SMC1B
cg00117825,grey,PPAP2B
cg00118468,grey,TMCC2
cg00118783,grey,
cg00120358,grey,LRRC39
cg00121533,grey,CRYZ
cg00124011,blue,PRDM2
cg00124160,turquoise,
cg00124695,turquoise,SALL1
cg00125159,blue,C1orf35
cg00127036,turquoise,ZNF346
cg00127424,red,USP36
cg00127861,grey,
cg00129273,grey,
cg00134611,grey,SNRNP48
cg00137234,grey,RBM46
cg00138267,blue,RC3H2
cg00138474,turquoise,
cg00141929,grey,POLR3B
cg00142257,grey,LHX6
cg00143045,turquoise,RPRM
cg00146096,turquoise,FANCF
cg00146756,grey,
cg00147286,grey,MTSS1L
cg00148881,grey,KIF2C
cg00149397,turquoise,TPST2
cg00150500,turquoise,HCFC1R1
cg00151788,turquoise,C2orf15
cg00152799,grey,TXNL1
cg00154122,greenyellow,
cg00154902,grey,
cg00154968,grey,CDK13
cg00155429,turquoise,TPM3
cg00155485,turquoise,MED13L
cg00155535,grey,
cg00156216,turquoise,APLP2
cg00157456,grey,DHODH
cg00158530,grey,MIR140
cg00158654,grey,RGS21
cg00158683,grey,COL7A1
cg00159523,grey,TCF7L2
cg00160388,grey,
cg00160505,turquoise,ADAP2
cg00161931,turquoise,MTDH
cg00164335,grey,SELM
cg00164716,grey,RAB5B
cg00165639,turquoise,PERP
cg00166343,turquoise,CRLF3
cg00167654,turquoise,WSCD1
cg00169354,grey,
cg00170564,yellow,BTBD11
cg00172189,grey,SMAD2
cg00172270,turquoise,FMNL3
cg00172408,turquoise,WDR77
cg00176657,grey,
cg00177390,blue,C1orf25
cg00185622,turquoise,CCDC150
cg00186462,grey,GPR128
cg00188503,turquoise,CYP4V2
cg00190319,turquoise,SCAP
cg00191853,grey,SPAG1
cg00195506,grey,
cg00197495,grey,PPP1R3C
cg00200289,turquoise,GRB2
cg00201414,grey,THSD1P
cg00202454,grey,PLA2G4D
cg00203089,turquoise,
cg00204501,grey,TJP1
cg00207534,turquoise,KIAA0174
cg00209398,grey,
cg00210098,grey,SNORA7A
cg00211215,grey,HLA-DRB1
cg00211337,grey,TRIP12
cg00213967,grey,CAND2
cg00214668,salmon,C4orf22
cg00215587,grey,MKRN3
cg00219169,grey,DIP2C
cg00220517,turquoise,DNMT3A
cg00220905,grey,RGMB
cg00223863,grey,CEP70
cg00224807,grey,
cg00226306,turquoise,C20orf111
cg00229039,turquoise,CDC42EP4
cg00230665,blue,PGAP1
cg00235645,blue,CASC5
cg00237586,grey,LOC285045
cg00238692,grey,NAP1L1
