cpg,gene,algorithm,train_auc,internal_test_auc,external_test_auc
cg21740204,SMC5,rf,1,0.525827280064568,0.337777777777778
cg21740204,SMC5,logreg,0.687944722140547,0.624966370729083,0.3
cg21740204,SMC5,svm,0.704292855042635,0.578154425612053,0.277777777777778
cg21740204,SMC5,knn,0.729888268156425,0.564164648910412,0.305555555555556
cg21740204,SMC5,ann,0.714260511614231,0.580575733118106,0.302222222222222
cg21740204,SMC5,xgboost,0.731020288150544,0.596045197740113,0.28
cg10437627,C12orf45,rf,1,0.500941619585687,0.568888888888889
cg10437627,C12orf45,logreg,0.617641870038225,0.614474038202852,0.453333333333333
cg10437627,C12orf45,svm,0.618259335489563,0.614474038202852,0.453333333333333
cg10437627,C12orf45,knn,0.766245221993531,0.554479418886199,0.588888888888889
cg10437627,C12orf45,ann,0.630049985298442,0.603443637341943,0.451111111111111
cg10437627,C12orf45,xgboost,0.739914730961482,0.576674737691687,0.528888888888889
cg26793226,SNHG3-RCC1,rf,1,0.428436911487759,0.503333333333333
cg26793226,SNHG3-RCC1,logreg,0.550896795060276,0.563357546408395,0.597777777777778
cg26793226,SNHG3-RCC1,svm,0.60785063216701,0.431530804412161,0.555555555555556
cg26793226,SNHG3-RCC1,knn,0.676595119082623,0.408528383104654,0.537777777777778
cg26793226,SNHG3-RCC1,ann,0.60546897971185,0.430185633575464,0.588888888888889
cg26793226,SNHG3-RCC1,xgboost,0.632916789179653,0.469464622006995,0.56
cg15478005,ATP6V1A,rf,1,0.53968253968254,0.401111111111111
cg15478005,ATP6V1A,logreg,0.661540723316672,0.625773473231101,0.322222222222222
cg15478005,ATP6V1A,svm,0.658423992943252,0.62227602905569,0.324444444444444
cg15478005,ATP6V1A,knn,0.703322552190532,0.60425073984396,0.397777777777778
cg15478005,ATP6V1A,ann,0.663187297853573,0.617433414043584,0.326666666666667
cg15478005,ATP6V1A,xgboost,0.694457512496325,0.592682270648372,0.394444444444444
cg12089985,HIST1H4C,rf,1,0.556497175141243,0.455555555555556
cg12089985,HIST1H4C,logreg,0.597588944428109,0.566854990583804,0.551111111111111
cg12089985,HIST1H4C,svm,0.597118494560423,0.566854990583804,0.551111111111111
cg12089985,HIST1H4C,knn,0.724198765069097,0.551251008878128,0.358888888888889
cg12089985,HIST1H4C,ann,0.597588944428109,0.566854990583804,0.551111111111111
cg12089985,HIST1H4C,xgboost,0.591855336665687,0.562415926822706,0.46
cg08212230,CDC20B,rf,1,0.475114339521119,0.475555555555556
cg08212230,CDC20B,logreg,0.560335195530726,0.626849609900458,0.573333333333333
cg08212230,CDC20B,svm,0.612143487209644,0.550174872208771,0.6
cg08212230,CDC20B,knn,0.643546015877683,0.580979284369115,0.418888888888889
cg08212230,CDC20B,ann,0.569406057042046,0.581786386871133,0.5
cg08212230,CDC20B,xgboost,0.734975007350779,0.531476997578693,0.492222222222222
cg00322319,"",rf,1,0.60102232983589,0.435555555555556
cg00322319,"",logreg,0.682887386062922,0.580575733118107,0.451111111111111
cg00322319,"",svm,0.695001470155836,0.570352434759215,0.431111111111111
cg00322319,"",knn,0.703778300499853,0.566451439332795,0.44
cg00322319,"",ann,0.70864451631873,0.570890503093894,0.424444444444444
cg00322319,"",xgboost,0.703043222581594,0.562415926822706,0.437777777777778
cg02120739,PM20D2,rf,1,0.635055152004305,0.433333333333333
cg02120739,PM20D2,logreg,0.705233754778007,0.594027441485069,0.295555555555556
cg02120739,PM20D2,svm,0.718465157306675,0.581382835620124,0.355555555555556
cg02120739,PM20D2,knn,0.739164951484858,0.598735539413506,0.398888888888889
cg02120739,PM20D2,ann,0.726845045574831,0.57923056228141,0.375555555555556
cg02120739,PM20D2,xgboost,0.761864157600706,0.581113801452784,0.44
cg19157140,HEATR2,rf,1,0.395345708905031,0.718888888888889
cg19157140,HEATR2,logreg,0.501822993237283,0.455205811138015,0.608888888888889
cg19157140,HEATR2,svm,0.59444281093796,0.548291633037396,0.482222222222222
cg19157140,HEATR2,knn,0.608321082034696,0.523002421307506,0.512222222222222
cg19157140,HEATR2,ann,0.594031167303734,0.540758676351897,0.453333333333333
cg19157140,HEATR2,xgboost,0.663995883563658,0.514527845036319,0.531111111111111
cg25598086,HSPA2,rf,1,0.61541565778854,0.448888888888889
cg25598086,HSPA2,logreg,0.690149955895325,0.589453860640302,0.297777777777778
cg25598086,HSPA2,svm,0.69373713613643,0.573042776432607,0.7
cg25598086,HSPA2,knn,0.722963834166422,0.625369921980091,0.64
cg25598086,HSPA2,ann,0.690149955895325,0.589453860640302,0.297777777777778
cg25598086,HSPA2,xgboost,0.717333137312555,0.608286252354049,0.628888888888889
cg20639658,C2CD4A,rf,1,0.482781813290288,0.692222222222222
cg20639658,C2CD4A,logreg,0.672860923257865,0.649986548291633,0.384444444444445
cg20639658,C2CD4A,svm,0.672184651573066,0.646758138283562,0.384444444444445
cg20639658,C2CD4A,knn,0.709320788003528,0.604654291094969,0.486666666666667
cg20639658,C2CD4A,ann,0.688150543957659,0.642184557438795,0.424444444444445
cg20639658,C2CD4A,xgboost,0.730799764775066,0.590260963142319,0.532222222222222
cg18924222,GLT8D2,rf,1,0.523540489642185,0.505555555555556
cg18924222,GLT8D2,logreg,0.649073801822993,0.576271186440678,0.708888888888889
cg18924222,GLT8D2,svm,0.64807409585416,0.573580844767286,0.708888888888889
cg18924222,GLT8D2,knn,0.678888562187592,0.49300511164918,0.657777777777778
cg18924222,GLT8D2,ann,0.649073801822993,0.576271186440678,0.708888888888889
cg18924222,GLT8D2,xgboost,0.668582769773596,0.551789077212806,0.715555555555556
