sex,drug,view,feature,loading
female,Adalimumab,expression,ENSG00000106070,0.591962841201962
female,Adalimumab,expression,ENSG00000161981,0.5143604067643138
female,Adalimumab,expression,ENSG00000221866,-0.2607124188844463
female,Adalimumab,expression,ENSG00000085978,-0.24916048916501835
female,Adalimumab,expression,ENSG00000183837,0.24078661746694327
female,Adalimumab,expression,ENSG00000258430,0.23335672799088253
female,Adalimumab,expression,ENSG00000100246,0.22055232855306742
female,Adalimumab,expression,ENSG00000206559,0.18715591427059985
female,Adalimumab,expression,ENSG00000211950,0.14652198500399768
female,Adalimumab,expression,ENSG00000167258,-0.10155694948669972
female,Adalimumab,expression,ENSG00000263503,0.09834696631466926
female,Adalimumab,expression,ENSG00000225178,0.09353379928113896
female,Adalimumab,expression,ENSG00000249129,-0.0663666864384894
female,Adalimumab,expression,ENSG00000260911,0.064608355663492
female,Adalimumab,expression,ENSG00000204394,0.00867457095244673
female,Adalimumab,methylation,cg26365776,-0.6758217986632074
female,Adalimumab,methylation,cg11185844,0.34128972130125135
female,Adalimumab,methylation,cg12194824,0.25182583232037825
female,Adalimumab,methylation,cg21269781,0.2518035458883174
female,Adalimumab,methylation,cg20648847,-0.24890672142488685
female,Adalimumab,methylation,cg03809847,-0.23288125578971824
female,Adalimumab,methylation,cg15663484,-0.22165241348800124
female,Adalimumab,methylation,cg08183724,-0.21548324690364767
female,Adalimumab,methylation,cg04770940,0.16565778209947685
female,Adalimumab,methylation,cg14666699,0.1607983604374048
female,Adalimumab,methylation,cg02973320,0.10634159712944088
female,Adalimumab,methylation,cg18354041,0.10282274898149091
female,Adalimumab,methylation,cg13917023,0.08691725255554603
female,Adalimumab,methylation,cg11500823,0.07155014064365564
female,Adalimumab,methylation,cg02567719,-0.018978718990645845
male,Adalimumab,expression,ENSG00000207003,0.5879787489609443
male,Adalimumab,expression,ENSG00000231233,0.4968026202673248
male,Adalimumab,expression,ENSG00000182923,-0.3064667524857004
male,Adalimumab,expression,ENSG00000138738,-0.28842683853459217
male,Adalimumab,expression,ENSG00000230592,0.2584970926278588
male,Adalimumab,expression,ENSG00000227908,-0.1988973727613279
male,Adalimumab,expression,ENSG00000234093,0.1800905622721616
male,Adalimumab,expression,ENSG00000206177,-0.17298210935949399
male,Adalimumab,expression,ENSG00000124429,-0.1484573259148409
male,Adalimumab,expression,ENSG00000119986,-0.14637504274884905
male,Adalimumab,expression,ENSG00000167210,-0.07379560226995154
male,Adalimumab,expression,ENSG00000278206,0.07038426838204061
male,Adalimumab,expression,ENSG00000113504,0.06201442176296686
male,Adalimumab,expression,ENSG00000260911,-0.05832262674124187
male,Adalimumab,expression,ENSG00000266066,0.022530400109814178
male,Adalimumab,methylation,cg02605540,-0.4828424177168927
male,Adalimumab,methylation,cg23630813,0.43624164751892847
male,Adalimumab,methylation,cg07613178,0.42366182866770186
male,Adalimumab,methylation,cg01672080,-0.3106392742057618
male,Adalimumab,methylation,cg21471707,0.2795566871843536
male,Adalimumab,methylation,cg13281678,0.2685701070554488
male,Adalimumab,methylation,cg05755972,-0.25391040028679246
