gene,eQTL_MR_FDR,eQTL_MR_OR,eQTL_MR_direction,mQTL_MR_pval,mQTL_MR_beta,mQTL_candidate_cpg
AAK1,,,,0.5014829,0.00650426,cg17149911
ABCB1,0.920131922,1.06,risk,,,
ABI3,0.925053617,0.92,protective,0.4331312,-0.0560311,cg05716556
ABI3BP,0.747632073,1.17,risk,0.2005582,-0.0377468,cg15028548
ACER2,0.958021994,0.96,protective,0.104414,-0.0921651,cg14628274
ACKR1,0.95184189,0.99,protective,,,
ACLY,0.905532747,1.04,risk,0.2296422,0.0681833,cg19443920
ADCK5,,,,0.2206168,-0.0206103,cg04548483
AGO2,0.827227699,0.94,protective,,,
AGR2,,,,0.2740075,0.0685873,cg02066184
AGT,,,,0.1433634,0.0204494,cg24474852
AHR,0.9999053,1,protective,0.04799846,-0.0910125,cg13676215
AKR1B1,0.896972863,0.97,protective,0.3485887,0.059839,cg13056495
AKT1,0.714012681,1.06,risk,0.01625678,0.126815,cg04820159
AKT3,,,,0.3459506,-0.0387682,cg04221461
AKTIP,0.796697792,0.97,protective,0.05691606,0.0318244,cg02965178
ALDH2,0.896930039,0.97,protective,0.1922379,0.0655419,cg19186356
ALDOA,,,,0.03606069,0.142072,cg07742718
ALKBH3,0.797771126,0.94,protective,0.1988105,-0.0514202,cg26985203
ALOX15B,0.942735071,0.97,protective,0.4790668,0.0419224,cg15799267
ANAPC1,0.827227699,1.08,risk,0.5037195,0.0153746,cg23215929
ANXA5,0.895411904,0.99,protective,0.526365,0.0506622,cg03354519
ARF1,0.857476254,0.86,protective,0.4864856,0.0107411,cg06625004
ARG2,,,,0.001855665,0.158339,cg11752250
ARID1A,0.942735071,0.99,protective,0.1934487,-0.101675,cg05649922
ARID1B,,,,0.04762857,0.0951201,cg16017800
ARID3A,0.792226271,1.16,risk,0.197801,-0.0334563,cg15035911
ARID4B,0.961974836,0.96,protective,,,
ARPC1B,0.099430713,1.18,risk,0.003886506,0.104737,cg05715492
ARRB1,0.943049532,0.98,protective,0.04602869,0.169904,cg18975055
ASAH1,0.771138576,1.02,risk,0.07608955,-0.0308145,cg18929511
ASF1A,0.849406184,1.02,risk,0.4520851,-0.0264094,cg12098441
ASPH,0.908285156,1.03,risk,0.02986934,0.120738,cg14266248
ASXL2,0.869803946,0.88,protective,0.03642838,-0.133353,cg23780110
ATF3,0.834097897,1.12,risk,0.3060643,-0.00906966,cg03970567
ATF6,0.952286087,0.99,protective,0.8047732,-0.00541014,cg12648759
ATF7IP,0.863334638,0.91,protective,0.1030853,0.0439608,cg19789919
ATG10,0.991893345,1,protective,0.4097395,0.0557613,cg22692507
ATG12,0.987685037,1,protective,0.9594374,0.000737043,cg17519280
ATG16L1,,,,0.7184164,-0.0175819,cg12834730
ATG4D,0.829671494,1.17,risk,0.1530291,-0.0902413,cg23002708
ATG5,0.592015265,0.65,protective,,,
ATG7,0.966129612,0.99,protective,0.3881513,0.0197943,cg24705426
ATM,0.28913173,0.82,protective,0.002450761,-0.198055,cg04826772
ATP6V0A2,0.950668422,1.04,risk,0.7250104,0.00512221,cg04140754
ATRAID,0.942477892,0.98,protective,,,
ATXN10,0.716878035,1.07,risk,0.2816501,-0.0483225,cg20269537
AURKA,0.951552596,0.95,protective,,,
AURKB,0.860987043,0.96,protective,,,
