cpg,logFC_M,dbeta,t,p_raw,p_bacon,fdr_bacon,gene,direction
cg19808205,0.209329108271131,-0.0131946662029412,5.57180885218073,1.14753906531996e-07,7.24664495135655e-07,0.298918306927497,TCTEX1D1,hypo
cg06800849,0.615099756532353,0.0365052223624734,5.37486454293978,2.89511827948402e-07,1.7223641558421e-06,0.345526586429766,ACSF3,hyper
cg02404349,0.186311023624693,0.0429264053585646,5.28684982680769,4.34905828202359e-07,2.51296936495568e-06,0.345526586429766,RORA,hyper
cg14004673,0.341971116451465,0.00531579637777034,5.11258598606842,9.61376405172415e-07,5.2215887189855e-06,0.42239003834838,C19orf54,hyper
cg05370853,-0.500346778979908,-0.0851266163696163,-5.34009593020321,3.40169871698091e-07,6.0355124630077e-06,0.42239003834838,HLA-DQA1,hypo
cg24265806,-0.241540926943262,-0.00242472968560275,-5.31971998545442,3.73770867584788e-07,6.56145574925063e-06,0.42239003834838,FAM126A,hypo
cg14770958,0.192995887220905,-0.0199768560173701,5.01858786562412,1.46439577559591e-06,7.67623393571819e-06,0.42239003834838,TAGLN3,hypo
cg16411857,-0.335575595318869,-0.00867855957784522,-5.25925884083748,4.93653592893614e-07,8.39269101425634e-06,0.42239003834838,NLRC5,hypo
cg06441024,0.156602522863928,0.0115993113601044,4.96983101665484,1.81801488831465e-06,9.35091576845654e-06,0.42239003834838,,hyper
cg08616654,0.326942596087055,0.0241888183551814,4.86700512320617,2.85595739320765e-06,1.40978095822163e-05,0.42239003834838,,hyper
cg18755653,-0.219669115197375,-0.00175453221565471,-5.12905249477192,8.92594123488414e-07,1.41322505969483e-05,0.42239003834838,HADH,hypo
cg25856120,0.263810232490935,0.020901243994474,4.86366081598162,2.89792004362465e-06,1.42854774060753e-05,0.42239003834838,ATP5G1,hyper
cg01900965,0.25338525624391,0.0315526799887267,4.86242135292244,2.91362344167671e-06,1.43556338656493e-05,0.42239003834838,RNF4,hyper
cg23694492,0.221211797494414,-0.0119686699636125,4.81498272605358,3.58068829932327e-06,1.73017840378679e-05,0.42239003834838,TTYH3,hypo
cg26973177,-0.148433602830554,-0.0137319678845818,-5.0707852658543,1.15994355868758e-06,1.777290837901e-05,0.42239003834838,SLC12A3,hypo
cg22202558,0.207938654742038,0.0151219613417649,4.77961512798355,4.1719622111722e-06,1.98642009547925e-05,0.42239003834838,CUX1,hyper
cg08165592,0.26144262152315,0.0100642756815803,4.77498366478486,4.25606439157689e-06,2.02253737265922e-05,0.42239003834838,,hyper
cg18151345,0.166412793413024,0.00108710041198207,4.77308393595519,4.29103383880088e-06,2.0375320321676e-05,0.42239003834838,SLC15A3,hyper
cg24684739,0.394565029380189,0.00923282816718041,4.76884733375773,4.37002390517622e-06,2.07135390898348e-05,0.42239003834838,ZFP91,hyper
cg23179181,0.203411861500744,0.0194750194076841,4.76136846380522,4.5129124108638e-06,2.13236823444564e-05,0.42239003834838,CORO6,hyper
cg02243437,0.192590207677392,0.0222148636306582,4.75339383995772,4.67025081242638e-06,2.19931028116453e-05,0.42239003834838,SLC16A9,hyper
cg01013336,0.256517709792786,0.00729250882505206,4.72285516613968,5.32331448020144e-06,2.47462892427763e-05,0.42239003834838,SRBD1,hyper
cg04738888,0.196676560570201,0.00549093405208365,4.71535587965922,5.49671613071881e-06,2.54708919925936e-05,0.42239003834838,MYO15B,hyper
cg27022615,-0.26468190241564,-0.00603062553532649,-4.96941459772626,1.82136583483095e-06,2.63272502818182e-05,0.42239003834838,FADD,hypo
cg23760103,0.243441619889882,0.0130488933019365,4.66215039739707,6.89359620691814e-06,3.12222150645133e-05,0.42239003834838,DDAH2,hyper
cg15643574,0.303907553733035,0.0301149862495361,4.66077349005139,6.93395366895925e-06,3.1386301711931e-05,0.42239003834838,PICALM,hyper
cg25417551,0.185342918090409,0.0296767774016587,4.65985100506015,6.96111949524141e-06,3.14966926751665e-05,0.42239003834838,TADA2A,hyper
cg05396987,-0.169687920063025,-0.00543740941003976,-4.92077324271287,2.25691510935619e-06,3.1706165839543e-05,0.42239003834838,TMEM155,hypo
cg00916255,0.173665032036854,-0.00403275321324588,4.65467886223459,7.11534621600865e-06,3.21224919584027e-05,0.42239003834838,PRRX1,hypo
cg11731892,-0.199945427227604,-0.00270184920880073,-4.90468599714111,2.42203819913392e-06,3.37041392539256e-05,0.42239003834838,ANKRD36B,hypo
cg09571369,0.161357661731687,-0.0134226559127113,4.63591651325672,7.70300086604966e-06,3.44932325778637e-05,0.42239003834838,MED12L,hypo
cg18101225,-0.230784648638284,-0.00298747347049386,-4.89453720745942,2.53217102691131e-06,3.50254907572467e-05,0.42239003834838,FGFBP2,hypo
cg04029991,0.167823171978943,0.00166544240145539,4.59569909025172,9.12469186735382e-06,4.01467092909438e-05,0.42239003834838,CLCN7,hyper
cg00083765,-0.273307478170167,0.000476284311918217,-4.85119211912274,3.0597010285019e-06,4.12430135516684e-05,0.42239003834838,NRBP2,hyper
cg06240896,0.18565191167509,0.0171866127998984,4.58505270705467,9.54153470804974e-06,4.17844329344263e-05,0.42239003834838,AGFG2,hyper
cg27190206,0.379313165786795,0.0178597834130009,4.58432123777922,9.57083910018808e-06,4.18992508102558e-05,0.42239003834838,SERTAD3,hyper
cg13826618,0.213606931140955,0.025017412573904,4.57518872977484,9.94409851719914e-06,4.33582035211573e-05,0.42239003834838,,hyper
cg01547494,-0.212549569861323,-0.00696145262201761,-4.83487846980184,3.28463172481293e-06,4.38437137238712e-05,0.42239003834838,,hypo
cg03917952,0.177416201698062,0.00711315297220305,4.56984247871786,1.01690838176191e-05,4.4234516150976e-05,0.42239003834838,,hyper
cg25921813,0.401614410805035,0.0185699796687022,4.56673079449972,1.03022845463343e-05,4.47522642844402e-05,0.42239003834838,C3orf21,hyper
cg27597264,-0.155090686186168,0.00371042290493206,-4.82919386990493,3.36671059243678e-06,4.4785941368497e-05,0.42239003834838,SCARNA27,hyper
cg16710124,-0.163716107508603,-0.0124500622601139,-4.81385784418904,3.59817713700836e-06,4.74246291073411e-05,0.42239003834838,ERI3,hypo
cg25625162,0.217535063168299,-0.00343414095610275,4.54988000635573,1.10533554709026e-05,4.76573618840586e-05,0.42239003834838,VPS37B,hypo
cg15520279,-0.201966709690616,-0.01909539035799,-4.81235634413505,3.62165029776818e-06,4.76907517181576e-05,0.42239003834838,HOXD8,hypo
cg06678982,-0.170439039088163,0.000960568537700435,-4.80622359886954,3.71907338565673e-06,4.87924790836178e-05,0.42239003834838,CCDC117,hyper
cg14541616,0.221880715538529,0.0090684289466213,4.53960284395823,1.15370615059074e-05,4.95160025084916e-05,0.42239003834838,TTLL11,hyper
cg02650017,-0.21657912995012,-0.00244591572356477,-4.80194478869279,3.78854315049821e-06,4.95753963387411e-05,0.42239003834838,PHOSPHO1,hypo
cg11224946,-0.131987431307155,0.0159590442211593,-4.79191323988149,3.95637419508632e-06,5.14578696197351e-05,0.42239003834838,MEGF6,hyper
cg19194645,-0.161346681339255,0.0124135637475244,-4.79086412609663,3.97433632220482e-06,5.16586078669461e-05,0.42239003834838,,hyper
cg02006147,-0.183949658010288,-0.000596766042978036,-4.78153839512563,4.13751251107457e-06,5.34759119554498e-05,0.42239003834838,PCGF1,hypo
cg04318006,-0.232934571061155,0.000136559594531016,-4.77963471549162,4.17160996302291e-06,5.38542522899278e-05,0.42239003834838,SNTB1,hyper
cg00419759,-0.181112277509563,-0.00502488641493706,-4.77731865006529,4.21346062771364e-06,5.43179708907967e-05,0.42239003834838,PHTF1,hypo
cg07769421,0.249257827388809,0.0319186360036809,4.51380124019772,1.28430663023658e-05,5.4489732221356e-05,0.42239003834838,TBCD,hyper
cg09415957,-0.257422429691341,-0.00658328850260144,-4.77249577033169,4.30191681381172e-06,5.52957683320223e-05,0.42239003834838,,hypo
cg07564979,1.06461891888378,0.104495190445583,4.4963648034288,1.38051243633498e-05,5.81150656376241e-05,0.435854539181724,,hyper
