cpg,module,gene
cg00002033,grey,LRFN1
cg00002473,blue,CXCR2
cg00002719,turquoise,C1orf114
cg00002749,blue,TMEM49
cg00005817,blue,MTHFD2L
cg00009001,blue,MIR1178
cg00010947,turquoise,HELQ
cg00012522,grey,ARRDC4
cg00013410,yellow,MED13
cg00013655,grey,PIGQ
cg00014112,grey,GYPC
cg00014986,lightyellow,ANAPC11
cg00014996,turquoise,USP14
cg00015530,green,PARP10
cg00016066,turquoise,TCF12
cg00016814,blue,CNTNAP2
cg00016996,blue,RER1
cg00019463,turquoise,RNF111
cg00019809,yellow,RPRD1A
cg00019841,grey,MAPK4
cg00020297,pink,FAM8A1
cg00022997,grey,
cg00023288,grey,LRPPRC
cg00024416,grey,
cg00025138,turquoise,MAP3K9
cg00025439,grey,
cg00027037,white,OSBPL1A
cg00027083,grey,EPB41L3
cg00030422,turquoise,DLEC1
cg00030423,turquoise,UQCRFS1
cg00031303,turquoise,
cg00031476,turquoise,BRE
cg00032419,grey,TP53I13
cg00032686,turquoise,FGFRL1
cg00032852,turquoise,CHCHD3
cg00033915,blue,ARHGEF18
cg00035636,grey,
cg00036369,blue,ATXN7
cg00036599,blue,C1orf54
cg00039793,turquoise,SFXN4
cg00040027,blue,SLC25A12
cg00040380,turquoise,RPS27
cg00040566,blue,EBF3
cg00042874,grey,PLEKHH3
cg00044463,turquoise,GLT25D2
cg00044796,grey,
cg00045190,grey,
cg00049718,turquoise,CSDE1
cg00051595,turquoise,
cg00052626,grey,CASP9
cg00053010,turquoise,
cg00054971,blue,PTPRE
cg00057569,turquoise,C10orf4
cg00058113,turquoise,VPS52
cg00059034,turquoise,
cg00061551,blue,ALG1
cg00062020,blue,C1orf180
cg00063471,turquoise,TNFAIP8L3
cg00064255,turquoise,LRRC8C
cg00064415,brown,
cg00066499,turquoise,
cg00066748,blue,C8orf42
cg00069314,turquoise,CLCN3
cg00071565,turquoise,ODC1
cg00071751,turquoise,KIF20B
cg00071984,blue,FHIT
cg00074313,blue,MIR548N
cg00074379,turquoise,HAX1
cg00076195,turquoise,
cg00078996,grey,
cg00080972,grey,RUFY1
cg00083206,grey,DDO
cg00084338,grey,DLL1
cg00086297,turquoise,BTBD12
cg00087005,turquoise,CTBP2
cg00087023,blue,SRRM2
cg00087195,turquoise,MTRR
cg00087417,turquoise,SRPK1
cg00087906,turquoise,MMP2
cg00088299,turquoise,
cg00088989,blue,SNRNP200
cg00089372,turquoise,MEF2D
cg00090648,turquoise,C1orf55
cg00096845,turquoise,ZNF195
cg00101118,turquoise,RNF11
cg00101154,grey,MRPL28
cg00101453,turquoise,GATSL3
cg00101728,grey,SERPINB6
cg00104570,turquoise,MIR548G
cg00105470,tan,C1orf35
cg00105606,turquoise,FA2H
cg00106499,turquoise,POLD2
cg00107982,turquoise,ELFN2
cg00112723,turquoise,ATG9A
cg00112952,grey,OR2B11
cg00114029,grey,DLGAP3
cg00114966,grey,LHX9
cg00115101,turquoise,THRAP3
cg00116058,turquoise,MRPL22
cg00116554,turquoise,SNAI2
cg00117651,grey,SMC1B
cg00117825,blue,PPAP2B
cg00120358,blue,LRRC39
cg00121533,grey,CRYZ
cg00124011,grey,PRDM2
cg00124160,turquoise,
cg00124695,turquoise,SALL1
cg00124993,grey,MIR886
cg00125159,grey,C1orf35
cg00127036,turquoise,ZNF346
cg00127424,turquoise,USP36
cg00127861,blue,
cg00128054,blue,
cg00129273,grey,
cg00132509,blue,SLC22A23
cg00134611,blue,SNRNP48
cg00137234,grey,RBM46
cg00138451,blue,NUP88
cg00138474,turquoise,
cg00143045,turquoise,RPRM
cg00146096,turquoise,FANCF
cg00146756,grey,
cg00147286,grey,MTSS1L
cg00148881,turquoise,KIF2C
cg00149397,black,TPST2
cg00150500,turquoise,HCFC1R1
cg00151788,turquoise,C2orf15
cg00154122,pink,
cg00154902,grey,
cg00154968,red,CDK13
cg00155429,greenyellow,TPM3
cg00156216,magenta,APLP2
cg00157456,grey,DHODH
cg00158530,grey,MIR140
cg00158654,blue,RGS21
cg00158683,grey,COL7A1
cg00159523,grey,TCF7L2
cg00160388,grey,
cg00161931,turquoise,MTDH
cg00164335,grey,SELM
cg00166722,grey,C3orf24
cg00167654,turquoise,WSCD1
cg00172189,skyblue,SMAD2
cg00172225,blue,BUB3
cg00172270,turquoise,FMNL3
cg00172408,turquoise,WDR77
cg00176657,blue,
cg00179532,blue,SLC25A10
cg00185622,turquoise,CCDC150
cg00186462,grey,GPR128
cg00190319,turquoise,SCAP
cg00191853,grey,SPAG1
cg00195506,saddlebrown,
cg00197495,turquoise,PPP1R3C
cg00199519,sienna3,MYO15A
cg00200289,turquoise,GRB2
cg00203089,turquoise,
cg00207534,turquoise,KIAA0174
cg00209398,grey,
cg00210098,turquoise,SNORA7A
cg00211215,grey,HLA-DRB1
cg00213967,turquoise,CAND2
cg00214668,turquoise,C4orf22
cg00215587,grey,MKRN3
cg00216680,turquoise,C6orf165
cg00219169,grey,DIP2C
cg00220905,turquoise,RGMB
cg00223863,blue,CEP70
cg00224807,grey,
cg00226306,turquoise,C20orf111
cg00229039,turquoise,CDC42EP4
cg00229257,turquoise,LRRC16A
cg00237586,blue,LOC285045
cg00238692,blue,NAP1L1
cg00240653,turquoise,KIAA0748
cg00242786,blue,ADPRHL1
cg00243480,grey,NPAS3
cg00243922,turquoise,YIPF4
cg00245957,blue,DNM3
cg00246980,turquoise,DDX47
cg00247599,turquoise,HIST1H3H
cg00248804,turquoise,
cg00251875,blue,AFAP1
cg00253171,blue,WWOX
cg00254258,grey,PRDM16
cg00254480,turquoise,
cg00255919,grey,IRF1
cg00256046,grey,ESRRG
cg00256231,grey,TBC1D16
cg00256329,grey,NXN
cg00257271,turquoise,C5orf39
cg00257769,grey,PARP4
cg00257786,turquoise,
cg00258132,turquoise,ESD
cg00261781,turquoise,MATN3
cg00262031,yellow,NDRG4
cg00264591,turquoise,IRX4
cg00265578,grey,TP53I13
cg00266566,grey,NDUFB6
cg00266983,turquoise,
cg00267054,turquoise,VPS54
cg00269245,blue,NUP93
cg00269553,grey,PXDNL
cg00271210,grey,RPS6KA2
cg00274965,grey,
cg00275232,midnightblue,ZNF296
cg00277936,blue,MAST4
cg00280239,blue,UTRN
cg00282704,turquoise,MIR1915
cg00286984,turquoise,HRASLS5
cg00288155,turquoise,PNPLA8
cg00289052,turquoise,KIAA1033
cg00290607,grey,
cg00292857,turquoise,RNF139
cg00296938,turquoise,P4HTM
cg00297950,grey,GSTM3
cg00298020,turquoise,ORC1L
cg00298153,grey,C21orf33
cg00299286,grey,BTNL9
cg00301775,turquoise,PRKAA1
cg00301795,turquoise,
cg00302533,darkgreen,STK35
cg00304520,orange,
cg00305374,grey,F3
cg00308130,grey,
cg00310523,grey,RASSF9
cg00311772,blue,PPP1R7
cg00311883,turquoise,
cg00313914,grey,NAV1
cg00315775,turquoise,LOC729678
cg00317585,blue,
cg00318756,turquoise,IL12RB2
cg00318877,blue,METT5D1
cg00319395,yellow,RPAIN
cg00321286,grey,
cg00321703,turquoise,
cg00321709,grey,CYP2E1
cg00321850,grey,KIAA0040
cg00322319,turquoise,
