cpg,gene,dbeta,fdr_bacon,direction
cg16411857,NLRC5,-0.00918344471310534,1.40623409211344e-05,hypo
cg07839457,NLRC5,-0.0043520891243789,0.000955732834302777,hypo
cg16171858,,0.0347711587495455,0.00819738849281021,hyper
cg21459645,CYP27A1,0.0401549334588279,0.0212858107568611,hyper
cg25577489,ZBTB16,-0.0201106406499827,0.0212858107568611,hypo
cg00470768,INO80,0.0473209386854405,0.0346798332789243,hyper
cg03705947,GADD45A,-0.0181261529696602,0.0346798332789243,hypo
cg25291941,POP1,-0.0385423620587455,0.0346798332789243,hypo
cg04400940,SELT,0.0394881732261991,0.0362637275148678,hyper
cg02508743,LYN,0.0198463620510383,0.0382691446679629,hyper
cg10907356,VSNL1,0.0345792519079747,0.0453983727428961,hyper
cg00618291,SKI,0.0276562778497322,0.0495986444261375,hyper
cg08843001,WRN,0.0203937033641294,0.0495986444261375,hyper
cg10549156,C7orf51,0.00470852469476065,0.0495986444261375,hyper
cg14797243,IGHMBP2,-0.0106968870564753,0.0495986444261375,hypo
cg10904028,LRP1,-0.0131851365227641,0.0495986444261375,hypo
cg11496113,,0.0523869780275136,0.0495986444261375,hyper
cg09571369,MED12L,-0.0155464205261883,0.0495986444261375,hypo
cg09311052,UBE2Q1,-0.0168406154761849,0.0495986444261375,hypo
