sex,view,feature,loading
female,expression,ENSG00000254859,-0.77873537442852
female,expression,ENSG00000101213,-0.3322351550811311
female,expression,ENSG00000178202,0.31073398366308613
female,expression,ENSG00000118596,0.30969120016599044
female,expression,ENSG00000131269,0.20632880295502168
female,expression,ENSG00000049541,-0.1668948636083858
female,expression,ENSG00000127533,-0.10481599403936125
female,expression,ENSG00000146670,-0.06870229194558189
female,expression,ENSG00000188321,0.0522050702295611
female,expression,ENSG00000183785,-0.028804555089050273
female,expression,ENSG00000233223,-0.024728329893089415
female,expression,ENSG00000175221,-0.017890881593001833
female,expression,ENSG00000150281,-0.007108206369621161
female,expression,ENSG00000113303,-0.006633044658720438
female,expression,ENSG00000156256,0.0037057727253671496
female,methylation,cg15752436,-0.6381849480904052
female,methylation,cg27469738,0.5952706779504013
female,methylation,cg13994504,0.26335312213197293
female,methylation,cg25604594,0.2090578038594087
female,methylation,cg07343697,-0.18597754349312437
female,methylation,cg13320518,-0.1679456829503757
female,methylation,cg06451739,-0.12987282011249415
female,methylation,cg23029905,-0.11589511427759189
female,methylation,cg26846960,-0.11427125579667326
female,methylation,cg18565533,-0.0774361724024603
female,methylation,cg19744158,-0.07224523725044137
female,methylation,cg26538590,-0.06068401908561206
female,methylation,cg15974416,-0.047824800424645375
female,methylation,cg00110578,-0.043193422516368714
female,methylation,cg03743597,-0.010566230622288394
male,expression,ENSG00000147124,0.4383695410772951
male,expression,ENSG00000276216,-0.39437314459980166
male,expression,ENSG00000275158,0.3814517956485787
male,expression,ENSG00000239855,-0.3558957750861499
male,expression,ENSG00000135083,-0.33713298305133765
male,expression,ENSG00000254154,-0.28044672744188115
male,expression,ENSG00000073670,-0.25354589751070167
male,expression,ENSG00000211780,0.17678973801432196
male,expression,ENSG00000273352,-0.1552528677358938
male,expression,ENSG00000214293,-0.14621108436024577
male,expression,ENSG00000173567,0.12074420209263055
male,expression,ENSG00000261377,-0.1122802503753007
male,expression,ENSG00000229833,-0.11138880833741109
male,expression,ENSG00000048162,-0.08125576071763257
male,expression,ENSG00000101856,-0.024666332821101568
male,methylation,cg21641482,-0.5421010175650525
male,methylation,cg15927557,-0.5003149827890861
male,methylation,cg08662753,-0.38114280115588994
male,methylation,cg15986668,-0.3056082677817544
male,methylation,cg12024422,-0.23317932305419883
male,methylation,cg18664540,-0.22533031929324362
male,methylation,cg02352295,-0.19264633288830546
male,methylation,cg16855810,-0.18552271457473557
male,methylation,cg03170430,-0.16108614272008703
male,methylation,cg15033284,-0.09337520224726069
male,methylation,cg11359137,-0.04602602097608988
male,methylation,cg27579181,-0.04338416905784077
male,methylation,cg08637302,-0.03140450771531821
male,methylation,cg11051031,-0.02542546381205571
male,methylation,cg03147184,-0.012906123859802235
