cpg,gene,dmr_fdr,tier
cg00462311,NFATC4,,DMP_significant
cg02786368,ORC2L,,DMP_significant
cg04715245,IL6R,,DMP_significant
cg05569280,GPR113,,DMP_significant
cg07839457,NLRC5,,DMP_significant
cg12785183,,,DMP_significant
cg14179065,FXN,,DMP_significant
cg14520079,,,DMP_significant
cg16171858,,,DMP_significant
cg16411857,NLRC5,,DMP_significant
cg17689206,R3HDM1,,DMP_significant
cg19102858,COPS8,,DMP_significant
cg20161996,MRPS21,,DMP_significant
cg21459645,CYP27A1,,DMP_significant
cg21740204,SMC5,,DMP_significant
cg23844018,DIP2C,,DMP_significant
cg25577489,ZBTB16,,DMP_significant
cg10205045,ANP32A,0.00113244235901597,DMP_significant+DMR_top50
cg00211215,HLA-DRB1,1.75750126282243e-06,DMR_top50
cg08578320,HLA-DRB1,1.75750126282243e-06,DMR_top50
cg09139047,HLA-DRB1,1.75750126282243e-06,DMR_top50
cg09949906,HLA-DRB1,1.75750126282243e-06,DMR_top50
cg10632894,HLA-DRB1,1.75750126282243e-06,DMR_top50
cg11404906,HLA-DRB1,1.75750126282243e-06,DMR_top50
cg15568074,HLA-DRB1,1.75750126282243e-06,DMR_top50
cg15982117,HLA-DRB1,1.75750126282243e-06,DMR_top50
cg16514085,HLA-DRB1,1.75750126282243e-06,DMR_top50
cg00504410,MGRN1,7.17627723046292e-05,DMR_top50
cg00910503,HEXDC,7.17627723046292e-05,DMR_top50
cg01516851,RN7SL471P,7.17627723046292e-05,DMR_top50
cg01861603,MGRN1,7.17627723046292e-05,DMR_top50
cg01935400,HEXDC,7.17627723046292e-05,DMR_top50
cg02555727,SLC15A4,7.17627723046292e-05,DMR_top50
cg02742418,SLC15A4,7.17627723046292e-05,DMR_top50
cg02808240,C6orf10,7.17627723046292e-05,DMR_top50
cg02846841,RN7SL471P,7.17627723046292e-05,DMR_top50
cg03106251,HEXDC,7.17627723046292e-05,DMR_top50
cg03963853,MGRN1,7.17627723046292e-05,DMR_top50
cg04356090,SLC15A4,7.17627723046292e-05,DMR_top50
cg04826413,SLC15A4,7.17627723046292e-05,DMR_top50
cg05901634,MGRN1,7.17627723046292e-05,DMR_top50
cg05934015,SLC15A4,7.17627723046292e-05,DMR_top50
cg06653632,SLC15A4,7.17627723046292e-05,DMR_top50
cg07248377,MGRN1,7.17627723046292e-05,DMR_top50
cg07812289,MGRN1,7.17627723046292e-05,DMR_top50
cg08873424,RN7SL471P,7.17627723046292e-05,DMR_top50
cg09001549,SLC15A4,7.17627723046292e-05,DMR_top50
cg09035930,SLC15A4,7.17627723046292e-05,DMR_top50
cg09306188,MGRN1,7.17627723046292e-05,DMR_top50
cg10505257,MGRN1,7.17627723046292e-05,DMR_top50
cg10739715,RN7SL471P,7.17627723046292e-05,DMR_top50
cg10908196,MGRN1,7.17627723046292e-05,DMR_top50
cg10919664,RN7SL471P,7.17627723046292e-05,DMR_top50
cg11196533,C6orf10,7.17627723046292e-05,DMR_top50
cg12707135,RN7SL471P,7.17627723046292e-05,DMR_top50
cg13652281,HEXDC,7.17627723046292e-05,DMR_top50
cg14704780,C6orf10,7.17627723046292e-05,DMR_top50
cg15220605,HEXDC,7.17627723046292e-05,DMR_top50
cg16520815,MGRN1,7.17627723046292e-05,DMR_top50
cg16782719,SLC15A4,7.17627723046292e-05,DMR_top50
cg19988162,C6orf10,7.17627723046292e-05,DMR_top50
cg20239565,HEXDC,7.17627723046292e-05,DMR_top50
cg20636526,C6orf10,7.17627723046292e-05,DMR_top50
cg22685807,RN7SL471P,7.17627723046292e-05,DMR_top50
cg24102222,SLC15A4,7.17627723046292e-05,DMR_top50
cg24126967,RN7SL471P,7.17627723046292e-05,DMR_top50
cg24640182,C6orf10,7.17627723046292e-05,DMR_top50
cg25457674,C6orf10,7.17627723046292e-05,DMR_top50
cg01616956,NMUR1,0.00010655769603312,DMR_top50
cg01656470,"ZIM2, PEG3",0.00010655769603312,DMR_top50
cg01937212,C6orf10,0.00010655769603312,DMR_top50
cg02162069,"ZIM2, PEG3",0.00010655769603312,DMR_top50
cg02478023,"ZIM2, PEG3",0.00010655769603312,DMR_top50
cg02793099,"ZIM2, PEG3",0.00010655769603312,DMR_top50
cg03282991,C6orf10,0.00010655769603312,DMR_top50
cg06192961,C6orf10,0.00010655769603312,DMR_top50
cg07310951,"ZIM2, PEG3",0.00010655769603312,DMR_top50
cg07729230,C6orf10,0.00010655769603312,DMR_top50
cg10204755,"ZIM2, PEG3",0.00010655769603312,DMR_top50
cg12205903,"ZIM2, PEG3",0.00010655769603312,DMR_top50
cg13369939,"ZIM2, PEG3",0.00010655769603312,DMR_top50
cg13960339,"ZIM2, PEG3",0.00010655769603312,DMR_top50
cg14849423,"ZIM2, PEG3",0.00010655769603312,DMR_top50
cg15473155,"ZIM2, PEG3",0.00010655769603312,DMR_top50
cg15777825,"ZIM2, PEG3",0.00010655769603312,DMR_top50
cg17039645,C6orf10,0.00010655769603312,DMR_top50
cg17207690,NMUR1,0.00010655769603312,DMR_top50
cg17663463,"ZIM2, PEG3",0.00010655769603312,DMR_top50
cg18516833,"ZIM2, PEG3",0.00010655769603312,DMR_top50
cg19041006,"ZIM2, PEG3",0.00010655769603312,DMR_top50
cg19098268,"ZIM2, PEG3",0.00010655769603312,DMR_top50
cg19335327,"ZIM2, PEG3",0.00010655769603312,DMR_top50
cg19771589,"ZIM2, PEG3",0.00010655769603312,DMR_top50
cg20628335,"ZIM2, PEG3",0.00010655769603312,DMR_top50
cg20795701,C6orf10,0.00010655769603312,DMR_top50
cg21325723,C6orf10,0.00010655769603312,DMR_top50
cg22069247,NMUR1,0.00010655769603312,DMR_top50
cg22294267,"ZIM2, PEG3",0.00010655769603312,DMR_top50
cg22354595,"ZIM2, PEG3",0.00010655769603312,DMR_top50
cg26349266,"ZIM2, PEG3",0.00010655769603312,DMR_top50
cg27519373,"ZIM2, PEG3",0.00010655769603312,DMR_top50
cg03078486,POU5F1,0.000333793431961755,DMR_top50
cg09179646,POU5F1,0.000333793431961755,DMR_top50
cg09357589,POU5F1,0.000333793431961755,DMR_top50
cg11805138,POU5F1,0.000333793431961755,DMR_top50
cg11811828,POU5F1,0.000333793431961755,DMR_top50
cg14036627,POU5F1,0.000333793431961755,DMR_top50
cg17931227,POU5F1,0.000333793431961755,DMR_top50
cg22291762,POU5F1,0.000333793431961755,DMR_top50
cg22701603,POU5F1,0.000333793431961755,DMR_top50
cg23252259,POU5F1,0.000333793431961755,DMR_top50
cg24427850,POU5F1,0.000333793431961755,DMR_top50
cg26668675,POU5F1,0.000333793431961755,DMR_top50
cg26818629,POU5F1,0.000333793431961755,DMR_top50
cg27547543,POU5F1,0.000333793431961755,DMR_top50
cg01017090,GNAS,0.000340178575569201,DMR_top50
cg01715551,GNAS,0.000340178575569201,DMR_top50
cg01817393,GNAS,0.000340178575569201,DMR_top50
cg02423817,"RPS6KB2, AP003419.16, PTPRCAP",0.000340178575569201,DMR_top50
cg02685484,"RPS6KB2, AP003419.16, PTPRCAP",0.000340178575569201,DMR_top50
cg02890368,GNAS,0.000340178575569201,DMR_top50
cg03010274,GNAS,0.000340178575569201,DMR_top50
cg03344105,GNAS,0.000340178575569201,DMR_top50
cg03559915,"RPS6KB2, AP003419.16, PTPRCAP",0.000340178575569201,DMR_top50
cg03908391,GNAS,0.000340178575569201,DMR_top50
cg04257105,GNAS,0.000340178575569201,DMR_top50
cg04457481,GNAS,0.000340178575569201,DMR_top50
cg04677683,GNAS,0.000340178575569201,DMR_top50
cg05309239,GNAS,0.000340178575569201,DMR_top50
cg05353099,"RPS6KB2, AP003419.16, PTPRCAP",0.000340178575569201,DMR_top50
cg06065549,GNAS,0.000340178575569201,DMR_top50
cg06200857,GNAS,0.000340178575569201,DMR_top50
cg06324048,GNAS,0.000340178575569201,DMR_top50
cg06693667,GNAS,0.000340178575569201,DMR_top50
cg07105596,GNAS,0.000340178575569201,DMR_top50
cg07947033,GNAS,0.000340178575569201,DMR_top50
cg08091561,GNAS,0.000340178575569201,DMR_top50
cg08166863,GNAS,0.000340178575569201,DMR_top50
cg08587534,GNAS,0.000340178575569201,DMR_top50
cg09123158,GNAS,0.000340178575569201,DMR_top50
cg10302550,GNAS,0.000340178575569201,DMR_top50
cg11285807,GNAS,0.000340178575569201,DMR_top50
cg11669839,GNAS,0.000340178575569201,DMR_top50
cg12128589,"RPS6KB2, AP003419.16, PTPRCAP",0.000340178575569201,DMR_top50
cg12321149,GNAS,0.000340178575569201,DMR_top50
cg12573482,GNAS,0.000340178575569201,DMR_top50
cg13728472,GNAS,0.000340178575569201,DMR_top50
cg14176797,GNAS,0.000340178575569201,DMR_top50
cg14309385,GNAS,0.000340178575569201,DMR_top50
cg14482474,GNAS,0.000340178575569201,DMR_top50
cg14564778,GNAS,0.000340178575569201,DMR_top50
cg14660776,GNAS,0.000340178575569201,DMR_top50
cg15160445,GNAS,0.000340178575569201,DMR_top50
cg15631127,GNAS,0.000340178575569201,DMR_top50
cg16833551,GNAS,0.000340178575569201,DMR_top50
cg17375396,"RPS6KB2, AP003419.16, PTPRCAP",0.000340178575569201,DMR_top50
cg17414107,GNAS,0.000340178575569201,DMR_top50
cg17841572,GNAS,0.000340178575569201,DMR_top50
cg18224653,GNAS,0.000340178575569201,DMR_top50
cg18935491,GNAS,0.000340178575569201,DMR_top50
cg19140375,GNAS,0.000340178575569201,DMR_top50
cg19589727,GNAS,0.000340178575569201,DMR_top50
cg19592829,GNAS,0.000340178575569201,DMR_top50
cg20528838,GNAS,0.000340178575569201,DMR_top50
cg21938532,GNAS,0.000340178575569201,DMR_top50
cg22290117,GNAS,0.000340178575569201,DMR_top50
