cpg,gene,algorithm,train_auc,internal_test_auc,external_test_auc
cg20639658,C2CD4A,logreg,0.672860923257865,0.649986548291633,0.384444444444445
cg02120739,PM20D2,rf,1,0.635055152004305,0.433333333333333
cg08212230,CDC20B,logreg,0.560335195530726,0.626849609900458,0.573333333333333
cg15478005,ATP6V1A,logreg,0.661540723316672,0.625773473231101,0.322222222222222
cg25598086,HSPA2,knn,0.722963834166422,0.625369921980091,0.64
cg21740204,SMC5,logreg,0.687944722140547,0.624966370729083,0.3
cg10437627,C12orf45,logreg,0.617641870038225,0.614474038202852,0.453333333333333
cg00322319,"",rf,1,0.60102232983589,0.435555555555556
cg18924222,GLT8D2,logreg,0.649073801822993,0.576271186440678,0.708888888888889
cg12089985,HIST1H4C,logreg,0.597588944428109,0.566854990583804,0.551111111111111
cg26793226,SNHG3-RCC1,logreg,0.550896795060276,0.563357546408395,0.597777777777778
cg19157140,HEATR2,svm,0.59444281093796,0.548291633037396,0.482222222222222
