cpg,chr,pos,UCSC_RefGene_Name,Relation_to_Island,logFC_M,dbeta,t,p_raw,p_bacon,fdr_bacon
cg16411857,chr16,57023191,NLRC5,Island,-0.305351247615838,-0.00938526413996238,-7.46092595126813,5.38621843770793e-13,6.50209296955151e-10,0.000268206133319624
cg07839457,chr16,57023022,NLRC5,N_Shore,-0.407484350183387,-0.0081132648129354,-6.69370305383742,7.36216732369658e-11,3.05190507812155e-08,0.00419628809828172
cg23844018,chr10,334773,DIP2C,OpenSea,0.227575454934082,0.0072064031344582,6.08743213180075,2.68742322689415e-09,3.18842916729099e-07,0.0187885932010599
cg19102858,chr2,237993901,COPS8,N_Shore,0.130312620501019,0.0134844942241364,5.70402820719727,2.2759884000919e-08,1.64742195252842e-06,0.0427533552695505
cg17689206,chr2,136288817,R3HDM1,N_Shore,0.183523105620429,0.0124833434905354,5.66669098649201,2.78588859098516e-08,1.92297333102928e-06,0.0440672841812738
cg00469083,chr16,78601838,WWOX,OpenSea,-0.167436180826494,-0.0081180096537673,-5.65833190984548,2.91444628541179e-08,2.92997328561241e-06,0.0604295270264418
cg10468484,chr20,57431303,GNAS,S_Shore,0.096454444162959,0.0330030110491252,5.51390203628805,6.30114996477488e-08,3.58601699589467e-06,0.0662394523366184
cg00910503,chr17,80393666,HEXDC,Island,0.246634851384909,0.0228758250819778,5.19386905659483,3.2848141366183e-07,1.25758784119227e-05,0.0925021079802477
cg22004151,chr6,42952586,PPP2R5D,OpenSea,0.128218814962203,0.0107024248212878,5.14436942096068,4.21037559612544e-07,1.51765666878769e-05,0.0925021079802477
cg15220605,chr17,80393595,HEXDC,Island,0.218852634910797,0.0396734792597124,5.13552399137566,4.40045783969088e-07,1.56923098841454e-05,0.0925021079802477
cg15568074,chr6,32551949,HLA-DRB1,Island,0.900625086718511,0.114451558574351,5.13132165976013,4.49364944339006e-07,1.59431459762991e-05,0.0926256361979658
cg15418155,chr9,35072920,VCP,S_Shore,0.170890361553222,0.0229920684914511,5.00824993431541,8.25000269272598e-07,2.52355077236652e-05,0.11292146913211
cg08946801,chr12,100594395,ACTR6,N_Shore,0.238366946579635,0.0268923840774707,4.90806738355004,1.34083394137112e-06,3.64024554673942e-05,0.121979528008747
cg00804392,chr4,40198595,RHOH,OpenSea,0.130610462159328,0.0137755262475498,4.90523697292985,1.35920031035097e-06,3.67776651665876e-05,0.121979528008747
cg14582298,chr10,31610093,ZEB1,Island,0.136434560968109,0.00809181950313553,4.79065857269186,2.34488404331907e-06,5.54535125245052e-05,0.132295544538998
cg25683101,chr7,116503318,CAPZA2,S_Shore,0.13198289788863,0.01645707259089,4.78082946899129,2.45598037528734e-06,5.74185742312477e-05,0.133811878654214
cg22898082,chr19,11074428,SMARCA4,S_Shelf,0.0759114995382183,0.0730477547899077,4.75114584958852,2.82313375710122e-06,6.37611046080807e-05,0.136274329336769
cg09364590,chr6,155537901,TIAM2,N_Shelf,0.0894176349055234,0.00159980269159427,4.61711867180329,5.24895232498944e-06,0.000101592186309634,0.150221858660243
cg03907371,chr7,4726408,FOXK1,S_Shelf,-0.089161780067686,-0.0241530119410254,-4.71115522193204,3.40219085723117e-06,0.000101743403562163,0.150221858660243
cg08122652,chr3,122281939,PARP9,N_Shore,-0.177479203144954,-0.00868462480601884,-4.69754957100702,3.62407903102637e-06,0.000106598978645863,0.150387891919491
cg16275960,chr12,69634017,CPSF6,Island,0.219928378797697,0.00670085342293434,4.57957846753405,6.22840523910355e-06,0.00011550487211134,0.154439994399699
cg08269402,chr6,32549631,HLA-DRB1,N_Shelf,-0.843364214137662,-0.117234620536286,-4.64746263211881,4.56717739142427e-06,0.000126424381690526,0.160921168462258
cg12752647,chr10,73849106,SPOCK2,S_Shore,0.075206949355231,0.0277980825448918,4.53815935685973,7.51241024292473e-06,0.000132932436065826,0.163195138147811
cg13652281,chr17,80393504,HEXDC,Island,0.189239481199228,0.0107815643539073,4.53249766565342,7.70653437116693e-06,0.000135498729199252,0.164873574645598
cg22875643,chr1,67395615,MIER1,N_Shore,0.183361266045022,0.0187976727522583,4.51520233741642,8.32981239284835e-06,0.000143630343590991,0.168042983206615
cg12251939,chr17,37028295,LASP1,S_Shore,0.0660714517735861,0.0303210820705084,4.51415836080306,8.36894286271025e-06,0.000144135604280241,0.168042983206615
cg24109860,chr17,76136520,TMC8,Island,0.14347620766316,0.0135089377301083,4.48072251652598,9.71971478712364e-06,0.000161231676885943,0.170368052597488
cg05598969,chr1,65432439,JAK1,Island,0.143805659942806,0.0125310208391903,4.44386980480277,1.1450272312265e-05,0.000182277649358484,0.171782793175648
cg00959259,chr3,122281975,PARP9,N_Shore,-0.201161594428712,-0.0349951239964052,-4.52044363326526,8.13599557844647e-06,0.000193405274308566,0.174639230723942
cg16025584,chr9,139887217,C9orf142,N_Shore,-0.128837548831362,-0.0156318235595628,-4.50237911210452,8.82285384474827e-06,0.000205282711134918,0.174768128695277
cg18023558,chr4,10118459,WDR1,Island,-0.171340890520696,-0.00465488365435411,-4.49466325677811,9.13288324407936e-06,0.00021056187683874,0.176668630421234
cg08064672,chr14,69367352,ACTN1,OpenSea,0.0735654513740761,-0.012632708885882,4.36820872254792,1.59733783570661e-05,0.00023383527488549,0.18442673079936
cg09437522,chr20,57431202,GNAS,Island,0.0788075914245562,0.0197402039152554,4.36569338419283,1.61498378728872e-05,0.000235764408876722,0.185218616919173
cg00211215,chr6,32552246,HLA-DRB1,Island,1.10095796995518,0.130075453647783,4.36034808923446,1.65310416554737e-05,0.000239913668969437,0.186142131336901
cg19118289,chr20,524640,CSNK2A1,S_Shore,0.165654071766491,0.0161282267235836,4.3457195304488,1.76188036928164e-05,0.000251622046434482,0.189747863213624
cg23289794,chr7,2394357,EIF3B,Island,0.132219148193135,0.00834382499957613,4.33235413988728,1.86722089230318e-05,0.000262785919512806,0.191835239272764
cg15982117,chr6,32552106,HLA-DRB1,Island,0.824730490311582,0.0831021961466042,4.3286615886508,1.89736946631004e-05,0.000265951145383715,0.192372939756239
cg25529965,chr7,56174084,CHCHD2,Island,-0.117266122941559,-0.0164064586396819,-4.41698072751365,1.28953352236114e-05,0.00027130312470386,0.194626727852773
cg14111380,chr6,29576818,GABBR1,OpenSea,-0.102493610793212,-0.00685538969876143,-4.36516464134323,1.61871674669215e-05,0.000320567820622965,0.207911417396868
cg09091185,chr16,936993,LMF1,OpenSea,0.112225291800058,0.0117505009234061,4.24275316795258,2.745409420133e-05,0.000350492320092897,0.216285321897927
cg06358608,chr6,134497230,SGK1,N_Shore,0.148134193881485,-0.0147730319515698,4.23290609794963,2.86305202747462e-05,0.000361646878542783,0.21672605006535
cg04510155,chr17,73518035,TSEN54,Island,0.133887329937939,0.00942867451123042,4.22738944775578,2.93104568245942e-05,0.000368040231120205,0.21938388875034
cg04806237,chr10,422393,DIP2C,Island,-0.103232082076759,-0.0121976736309752,-4.31363149366231,2.02495709595591e-05,0.000377772409282927,0.222335911757784
cg06868569,chr12,133132156,FBRSL1,Island,0.0993087642810273,0.00617134055094926,4.21001617938905,3.15538370815627e-05,0.000388871582097578,0.2248091555756
cg07390647,chr3,98453086,ST3GAL6,S_Shore,0.109781654443334,0.00847940605022173,4.20809536055558,3.18116898122407e-05,0.000391241182230295,0.225082088898939
cg20160197,chr4,1222037,CTBP1,Island,0.136662429928362,0.00342172522233353,4.20109778902524,3.27681504681096e-05,0.000399988262468603,0.225239856871006
cg21542174,chr4,1858591,LETM1,Island,0.1920878893985,0.00653977804816707,4.18163700988966,3.5574435307581e-05,0.000425284702483624,0.228122935626625
cg15516835,chr10,710082,DIP2C,N_Shore,-0.122989970112,-0.00580436697869335,-4.25999290596101,2.55047244697153e-05,0.000447353421953394,0.232121274661075
cg08091526,chr16,79156020,WWOX,OpenSea,-0.116743196573144,-0.00762729627271552,-4.21426885564096,3.09900270174996e-05,0.000515931009133985,0.242534270758588
cg18344922,chr6,29595661,GABBR1,Island,0.166860552384138,0.00869197378544192,4.0772273281743,5.49867901306398e-05,0.000588474553378353,0.247612700336759
cg02071988,chr6,155448588,TIAM2,OpenSea,-0.139493463071401,-0.0279764724094415,-4.14193462876487,4.20259356747944e-05,0.000644714140727418,0.252610702238555
cg06068163,chr7,2402340,EIF3B,OpenSea,0.104575033476979,0.0267916992894285,4.04267250934036,6.33837026484867e-05,0.000654223334980989,0.254346740709687
cg18233311,chr5,132362578,ZCCHC10,S_Shore,0.126104540950961,0.0129590135486112,4.03199916444015,6.62146051121276e-05,0.000675873742681754,0.257702034888841
cg08188400,chr19,7969347,MAP2K7,Island,-0.0949858175627798,-0.00929064548553586,-4.12173347172131,4.57220891065864e-05,0.000685691710580092,0.258516552376465
