cpg,freq
cg10437627,1
cg21740204,1
cg26793226,0.95
cg15478005,0.87
cg12089985,0.76
cg08212230,0.54
cg18026026,0.48
cg03609493,0.48
cg16002305,0.45
cg10763059,0.2
cg06081153,0.18
cg02802904,0.14
cg22776369,0.14
cg00666978,0.14
cg11862959,0.1
cg01999229,0.1
cg12262681,0.08
cg14521995,0.07
cg00688900,0.07
cg19157140,0.07
cg27631256,0.01
cg18924965,0
cg21898246,0
cg09808176,0
cg18800136,0
cg15686800,0
cg01816997,0
cg02712075,0
cg04761648,0
cg24985459,0
cg09513133,0
cg07611106,0
cg13550731,0
cg13793166,0
cg12980917,0
cg01916088,0
cg07490776,0
cg23314071,0
cg17224732,0
cg27312944,0
cg24307440,0
cg07212292,0
cg09007161,0
cg19160520,0
cg26427109,0
cg21654974,0
cg13209122,0
cg20517616,0
cg24684739,0
cg13712476,0
cg25433490,0
cg02006977,0
cg12417372,0
cg16125762,0
cg22619763,0
cg11295144,0
cg19238422,0
cg08134829,0
cg00419333,0
cg06839380,0
cg07562055,0
cg26230819,0
cg20569141,0
cg05668405,0
cg09150117,0
cg21365564,0
cg08180285,0
cg16516959,0
cg18603466,0
cg01763702,0
cg00515161,0
cg09667551,0
cg24664526,0
cg25683069,0
cg13622209,0
cg10254974,0
cg09360571,0
cg22746765,0
cg16434002,0
cg23533254,0
cg20140229,0
cg09307727,0
cg05179038,0
cg18497394,0
cg06157539,0
cg06248406,0
cg02325243,0
cg26722322,0
cg19376709,0
cg05301102,0
cg17398233,0
cg03761846,0
cg21586955,0
cg26321464,0
cg26057380,0
cg19692996,0
cg10153335,0
cg24837411,0
cg27523423,0
cg15775457,0
cg00456011,0
cg10731794,0
cg00507259,0
cg10348543,0
cg19305111,0
cg14048834,0
cg20489345,0
cg23297477,0
cg16770933,0
cg14938514,0
cg07693657,0
cg11995506,0
cg25040670,0
cg13542817,0
cg15304692,0
cg09077675,0
cg01013630,0
cg17722231,0
cg19216490,0
cg12865552,0
cg00467244,0
cg21784498,0
cg02692441,0
cg14032204,0
cg23717290,0
cg11784071,0
cg05871781,0
cg01820262,0
cg09464509,0
cg19655070,0
cg14526732,0
cg07149862,0
cg19526685,0
cg06870868,0
cg00580805,0
cg11928000,0
cg08687718,0
cg25987077,0
cg11523685,0
cg08169659,0
cg14513822,0
cg14580848,0
cg02637781,0
cg25215329,0
cg05360176,0
cg16705073,0
cg00289052,0
cg18082014,0
cg07549162,0
cg07338058,0
cg14589148,0
cg19657723,0
cg02126435,0
cg23057706,0
cg11897690,0
cg03705042,0
cg05009394,0
cg25381667,0
cg03017653,0
cg23637155,0
cg27067379,0
cg10360323,0
cg16502980,0
cg07388801,0
cg12878710,0
cg04467278,0
cg09758623,0
cg26665480,0
cg01526870,0
cg13535779,0
cg02987705,0
cg02604407,0
cg03117949,0
cg17441280,0
cg22652561,0
cg12267883,0
cg12409601,0
cg14352442,0
cg02952711,0
cg25379161,0
cg14768367,0
cg15160843,0
cg15131722,0
cg27150010,0
cg15848628,0
cg26082665,0
cg04737319,0
cg24541871,0
cg07491444,0
cg00298020,0
cg24717854,0
cg11713788,0
cg00487780,0
cg22373079,0
cg04672538,0
cg00462311,0
cg19430489,0
cg04138181,0
cg05401764,0
cg12129209,0
cg26673609,0
cg14771938,0
cg22836535,0
cg13410446,0
cg00443673,0
cg02190746,0
cg23984997,0
cg23542134,0
cg19050973,0
cg08390760,0
cg13091707,0
cg23868720,0
cg11581362,0
cg15129307,0
cg06436655,0
cg25945821,0
cg00458210,0
cg23970798,0
cg06100899,0
cg02479773,0
cg06097707,0
cg22043634,0
cg19187521,0
cg26445772,0
cg27137978,0
cg26287612,0
cg18207141,0
cg17842157,0
cg17329518,0
cg04193422,0
cg00905725,0
cg19644445,0
cg09438612,0
cg01697541,0
cg00355909,0
cg01897796,0
cg11910829,0
cg13671249,0
cg00993824,0
cg15933195,0
cg20187250,0
cg17666096,0
cg05931087,0
cg11838463,0
cg02324737,0
cg15855450,0
cg27002185,0
cg17420659,0
cg06308025,0
cg04590313,0
cg19818298,0
cg00857660,0
cg15708001,0
cg26168975,0
cg27385940,0
cg11615303,0
cg09077340,0
cg13213997,0
cg16016616,0
cg09818520,0
cg16721977,0
cg05377417,0
cg09224134,0
cg26082690,0
cg17152658,0
cg02293936,0
cg24663490,0
cg08479688,0
cg05074908,0
cg26159077,0
cg23526861,0
cg18825927,0
cg10321208,0
cg07541023,0
cg03474133,0
cg13396858,0
cg27656486,0
cg11789530,0
cg13374688,0
cg14148609,0
cg00322319,0
cg00402812,0
cg02925840,0
cg15844785,0
cg02120739,0
cg08122789,0
cg20943039,0
cg27064064,0
cg04563419,0
cg26456506,0
cg10384373,0
cg21192065,0
cg19769967,0
cg27400772,0
cg02675010,0
cg08008199,0
cg27591450,0
cg14142965,0
cg08593051,0
cg17510056,0
cg14237711,0
cg13257514,0
cg05130022,0
cg00744229,0
cg26752884,0
cg05993306,0
cg01253545,0
cg11111423,0
cg11696475,0
cg20458812,0
cg14487680,0
cg16094925,0
cg05613002,0
cg06652675,0
cg23232844,0
cg05729499,0
cg13665940,0
cg07844021,0
cg15896259,0
cg20223162,0
cg06510830,0
cg02075405,0
cg07162665,0
cg08854313,0
cg16995420,0
cg25419628,0
cg07162124,0
cg25835306,0
cg08506260,0
cg02891332,0
cg12073754,0
cg05436064,0
cg00146096,0
cg15805053,0
cg04628008,0
cg14193550,0
cg21553524,0
cg24826892,0
cg00319395,0
cg24322382,0
cg27354620,0
cg09523472,0
cg00530492,0
cg25615509,0
cg10855528,0
cg05730301,0
cg14828484,0
cg05890887,0
cg01791104,0
cg02095937,0
cg05164185,0
cg19622488,0
cg14180718,0
cg19319735,0
cg10341935,0
cg04387418,0
cg18379624,0
cg03506045,0
cg07437286,0
cg19245361,0
cg14624895,0
cg17100207,0
cg18227923,0
cg20683754,0
cg03500965,0
cg16963062,0
cg19149410,0
cg11150901,0
cg17925022,0
cg19538502,0
cg21777986,0
cg14155482,0
cg27052777,0
cg04403629,0
cg09381635,0
cg20287640,0
cg24022821,0
cg19601991,0
cg14307443,0
cg26976390,0
cg15841415,0
cg01812337,0
cg04928513,0
cg07159484,0
cg04650899,0
cg15585670,0
cg19813935,0
cg22389964,0
cg26943658,0
cg13763308,0
cg22800025,0
cg18045093,0
cg23214565,0
cg02718654,0
cg02389555,0
cg03559815,0
cg08315050,0
cg03243497,0
cg21575283,0
cg11955456,0
cg04296257,0
cg08550615,0
cg08572016,0
cg25598086,0
cg03001875,0
cg08460801,0
cg04599965,0
cg20198108,0
cg06331271,0
cg17723355,0
cg10410213,0
cg01493303,0
cg13785189,0
cg05637903,0
cg01719793,0
cg12610243,0
cg01434608,0
cg10811681,0
cg00754027,0
cg04141691,0
cg24125287,0
cg02633838,0
cg19364137,0
cg05614058,0
cg16333971,0
cg11029501,0
cg21826815,0
cg06974755,0
cg08885659,0
cg17190403,0
cg24933247,0
cg01165287,0
cg06121461,0
cg22208361,0
cg16448525,0
cg13575058,0
cg17962342,0
cg20651916,0
cg07966140,0
cg17374002,0
cg25089142,0
cg11854791,0
cg02126098,0
cg03438692,0
cg12810560,0
cg22748740,0
cg02092880,0
cg17225129,0
cg12849795,0
cg16558319,0
cg11965880,0
cg20639658,0
cg20909159,0
cg01000656,0
cg16280705,0
cg22977254,0
cg21711672,0
cg02593352,0
cg17384898,0
cg26074223,0
cg06221218,0
cg05697101,0
cg27134147,0
cg07917502,0
cg05012551,0
cg23714091,0
cg10439651,0
cg19444027,0
cg20603637,0
cg11433553,0
cg13489694,0
cg23856027,0
cg18472945,0
cg00514413,0
cg05898602,0
cg14848772,0
cg22691736,0
cg26115851,0
cg13332474,0
cg12503243,0
cg16496750,0
cg16659480,0
cg00101118,0
cg18150300,0
cg22662036,0
cg07111501,0
cg09246754,0
cg21979724,0
cg27434072,0
cg26138937,0
cg26869362,0
cg02639808,0
cg24577193,0
cg07087293,0
cg21909643,0
cg14095000,0
cg14359435,0
cg02505871,0
cg15333689,0
cg18245890,0
cg06866005,0
cg07035145,0
cg04855216,0
cg10563284,0
cg19877419,0
cg01864468,0
cg06071395,0
cg24718356,0
cg24728112,0
cg05480042,0
cg26824807,0
cg18947032,0
cg22077389,0
cg20776829,0
cg08629417,0
cg03414321,0
cg02057157,0
cg26210602,0
cg07311313,0
cg12630974,0
cg05482973,0
cg07799434,0
cg09257975,0
cg07080220,0
cg07300976,0
cg01180513,0
cg13179085,0
cg05660889,0
cg22603934,0
cg04582539,0
cg24217844,0
cg03859395,0
cg09587640,0
cg23548274,0
cg05216888,0
cg12270520,0
cg10164300,0
cg12578791,0
cg14132884,0
cg03416888,0
cg19830147,0
cg12103149,0
cg16734947,0
cg02516257,0
cg19339811,0
cg21035222,0
cg24135438,0
cg06205817,0
cg23257604,0
cg09386954,0
cg13436232,0
cg17079378,0
cg04598325,0
cg24994173,0
cg24728435,0
cg20372689,0
cg18144065,0
cg17102411,0
cg08875078,0
cg01554235,0
cg16986851,0
cg23345500,0
cg10828210,0
cg00844641,0
cg21681396,0
cg07856699,0
cg16253809,0
cg25009451,0
cg25532501,0
cg06081482,0
cg11080530,0
cg14970029,0
cg04109898,0
cg06776824,0
cg15362194,0
cg15056687,0
cg10240744,0
cg24513883,0
cg22875643,0
cg17155907,0
cg11460820,0
cg16579555,0
cg15465092,0
cg01566127,0
cg20205877,0
cg24098302,0
cg09748973,0
cg22755785,0
cg09102835,0
cg21446692,0
cg23081331,0
cg20534525,0
cg01912586,0
cg03569616,0
cg01292486,0
cg04410073,0
cg14633504,0
cg27208307,0
cg01537486,0
cg21186663,0
cg22901226,0
cg24109415,0
cg12528753,0
cg24046271,0
cg00154122,0
cg06460869,0
cg22626973,0
cg19280133,0
cg11349328,0
cg00086297,0
cg16102016,0
cg27373657,0
cg06257227,0
cg08251901,0
cg11119131,0
cg20813491,0
cg20212699,0
cg18577280,0
cg27665377,0
cg03434432,0
cg14361162,0
cg12357681,0
cg04277193,0
cg22230508,0
cg22832135,0
cg14311471,0
cg08527179,0
cg09103184,0
cg26062048,0
cg01897594,0
cg15783935,0
cg03911494,0
cg20428512,0
cg25147866,0
cg11153872,0
cg12164973,0
cg23037274,0
cg17396620,0
cg20132273,0
cg00964710,0
cg16605590,0
cg25666403,0
cg03967346,0
cg08883134,0
cg26840726,0
cg01504836,0
cg26289450,0
cg07315766,0
cg08161158,0
cg17081644,0
cg03257200,0
cg22518046,0
cg02503501,0
cg24016044,0
cg23181861,0
cg05844583,0
cg02110333,0
cg20541753,0
cg16264079,0
cg04375931,0
cg19738386,0
cg25590392,0
cg14519859,0
cg03740159,0
cg26522946,0
cg22856539,0
cg05083496,0
cg13227646,0
cg02848777,0
cg03938507,0
cg18754555,0
cg13632959,0
cg22870344,0
cg11245233,0
cg11844660,0
cg23081670,0
cg04320255,0
cg04360458,0
cg12103840,0
cg24877963,0
cg04229238,0
cg04512050,0
cg17745562,0
cg11777890,0
cg08619561,0
cg18650732,0
cg18973632,0
cg21407839,0
cg22117760,0
cg14430979,0
cg07096206,0
cg01997089,0
cg01926066,0
cg05529097,0
cg21638219,0
cg02286847,0
cg27028030,0
cg08196628,0
cg03841065,0
cg02924961,0
cg18712677,0
cg10158614,0
cg11341527,0
cg12211962,0
cg06927165,0
cg11952433,0
cg15809230,0
cg04478727,0
cg19477551,0
cg08173520,0
cg07480327,0
cg00412273,0
cg18945335,0
cg17960051,0
cg19664267,0
cg15236460,0
cg01178486,0
cg16663674,0
cg13537276,0
cg14208573,0
cg12976108,0
cg16830966,0
cg07350703,0
cg11933757,0
cg07323350,0
cg13029706,0
cg22296762,0
cg22636799,0
cg19061957,0
cg24413007,0
cg19968421,0
cg02288777,0
cg27501451,0
cg15823845,0
cg11319719,0
cg12635019,0
cg11058730,0
cg14218513,0
cg02973270,0
cg19354091,0
cg23210013,0
cg26739951,0
cg14330853,0
cg06191719,0
cg22585269,0
cg20691120,0
cg14690343,0
cg20778097,0
cg10186232,0
cg08839081,0
cg12466737,0
cg10160068,0
cg23366101,0
cg09796376,0
cg19717235,0
cg05671347,0
cg13108328,0
cg21026663,0
cg11680442,0
cg10570941,0
cg01995078,0
cg21428833,0
cg10308673,0
cg01723747,0
cg10287303,0
cg06807379,0
cg25114075,0
cg26254393,0
cg21966289,0
cg18335243,0
cg24865292,0
cg09622265,0
cg20516074,0
cg05318486,0
cg04422896,0
cg07233502,0
cg21634137,0
cg14679831,0
cg15382497,0
cg19832312,0
cg16056465,0
cg02659117,0
cg10187221,0
cg05083358,0
cg14994919,0
cg23429638,0
cg06654302,0
cg22196848,0
cg12373982,0
cg24102726,0
cg19365884,0
cg09543727,0
cg03747695,0
cg00040380,0
cg27411298,0
cg16070018,0
cg02827371,0
cg25262044,0
cg26473478,0
cg11315754,0
cg04272560,0
cg14750844,0
cg21911557,0
cg05330668,0
cg10353859,0
cg16942681,0
cg24843443,0
cg05241924,0
cg16723445,0
cg16443455,0
cg19774488,0
cg15043711,0
cg18258770,0
cg07771287,0
cg18875460,0
cg22501760,0
cg02959285,0
cg00460260,0
cg26251401,0
cg14522055,0
cg14648265,0
cg03105770,0
cg06183947,0
cg13512580,0
cg01756564,0
cg18768400,0
cg21934012,0
cg09856206,0
cg03046560,0
cg26856080,0
cg18829186,0
cg14160807,0
cg13545897,0
cg12652739,0
cg18020334,0
cg13606616,0
cg15880846,0
cg02263479,0
cg21199988,0
cg14073219,0
cg27495623,0
cg13491584,0
cg10698984,0
cg24777868,0
cg20957095,0
cg03070533,0
cg20824576,0
cg09651496,0
cg13840194,0
cg07564061,0
cg10214058,0
cg20443314,0
cg14279439,0
cg20468365,0
cg21273027,0
cg10651319,0
cg12944530,0
cg15893373,0
cg02454501,0
cg07519721,0
cg12412277,0
cg11655691,0
cg17879320,0
cg15056119,0
cg07890032,0
cg21815047,0
cg16465768,0
cg14235416,0
cg04227594,0
cg07451084,0
cg01054502,0
cg25160554,0
cg24806953,0
cg20625393,0
cg08465120,0
cg02090547,0
cg07368146,0
cg08752459,0
cg08526162,0
cg06242063,0
cg27326823,0
cg15905960,0
cg05414835,0
cg00268518,0
cg04813719,0
cg23666180,0
cg10535017,0
cg20554488,0
cg23163783,0
cg13289884,0
cg04085025,0
cg22636253,0
cg08905325,0
cg23250288,0
cg11275803,0
cg22877623,0
cg07871324,0
cg00829406,0
cg09772954,0
cg10496560,0
cg10608004,0
cg15829277,0
cg01601439,0
cg24955114,0
cg06547771,0
cg20988549,0
cg07674753,0
cg17777561,0
cg05200628,0
cg02121704,0
cg05362405,0
cg10599456,0
cg02743029,0
cg17545218,0
cg24118894,0
cg01870140,0
cg06119628,0
cg10951120,0
cg22863523,0
cg12083965,0
cg26694713,0
cg20893464,0
cg10883503,0
cg14525832,0
cg01515802,0
cg06230948,0
cg04896381,0
cg16924702,0
cg08632659,0
cg10060875,0
cg05732876,0
cg17023776,0
cg15187550,0
cg15561583,0
cg15607449,0
cg24878755,0
cg03673368,0
cg26495839,0
cg13781149,0
cg23657274,0
cg13324568,0
cg01407460,0
cg11787288,0
cg26264429,0
cg11049813,0
cg16479401,0
cg11910167,0
cg22108259,0
cg13305165,0
cg18665871,0
cg02310882,0
cg24999924,0
cg07580591,0
cg10448759,0
cg10612681,0
cg09202319,0
cg16389285,0
cg26148135,0
cg03747251,0
cg02962380,0
cg10263335,0
cg06415304,0
cg09303136,0
cg12622139,0
cg24406116,0
cg13232357,0
cg06335251,0
cg07312099,0
cg16851924,0
cg02429622,0
cg27292777,0
cg18672670,0
cg08447658,0
cg00282704,0
cg10616121,0
cg09484638,0
cg23682007,0
cg08378782,0
cg14508122,0
cg21254083,0
cg07510080,0
cg13531509,0
cg16842485,0
cg27013478,0
cg09822001,0
cg01328403,0
cg12664940,0
cg14988347,0
cg03727359,0
cg09650487,0
cg05009079,0
cg09116658,0
cg02018465,0
cg25254014,0
cg09584112,0
cg06853609,0
cg22427477,0
cg16271912,0
cg03896792,0
cg17863743,0
cg06383531,0
cg15618797,0
cg15581365,0
cg25975626,0
cg15344854,0
cg06154419,0
cg11272705,0
cg15692666,0
cg23174932,0
cg06940851,0
cg19459542,0
cg16878088,0
cg09191810,0
cg05169244,0
cg00172408,0
cg06811478,0
cg00138474,0
cg25779653,0
cg03903247,0
cg07766847,0
cg25876608,0
cg02538825,0
cg18357526,0
cg05598546,0
cg23526353,0
cg26453169,0
cg11336294,0
cg09255124,0
cg21494337,0
cg19156220,0
cg04528069,0
cg11078175,0
cg19474029,0
cg05516140,0
cg24487908,0
cg13958923,0
cg16468079,0
cg07633499,0
cg24545466,0
cg01675229,0
cg20521702,0
cg23305502,0
cg24516711,0
cg16524830,0
cg26881713,0
cg03098515,0
cg08976749,0
cg11976929,0
cg23026048,0
cg10272779,0
cg23382700,0
cg11540624,0
cg23480499,0
cg07360893,0
cg00590081,0
cg16874634,0
cg22521096,0
cg09769958,0
cg00777209,0
cg19333374,0
cg06850852,0
cg07630858,0
cg08425745,0
cg23269169,0
cg26125384,0
cg15035350,0
cg08269986,0
cg27465717,0
cg09813817,0
cg11679443,0
cg04878727,0
cg26892368,0
cg22712893,0
cg05022225,0
cg23610053,0
cg23090583,0
cg06685968,0
cg26357538,0
cg13361705,0
cg05567294,0
cg00676224,0
cg10030837,0
cg10510505,0
cg04788221,0
cg16435820,0
cg10250651,0
cg02955077,0
cg20847580,0
cg00475645,0
cg19935171,0
cg17503287,0
cg08401990,0
cg08745899,0
cg08969912,0
cg23052568,0
cg12181217,0
cg22881279,0
cg17006042,0
cg21962423,0
cg19495043,0
cg18803655,0
cg07132633,0
cg05926266,0
cg03689456,0
cg19461582,0
cg06876708,0
cg21080034,0
cg20041366,0
cg21575861,0
cg23113963,0
cg10505324,0
cg14976442,0
cg03095533,0
cg14202380,0
cg06477715,0
cg12758636,0
cg00049718,0
cg23881902,0
cg21756465,0
cg16423812,0
cg11237535,0
cg06935598,0
cg04052427,0
cg24666276,0
cg02108068,0
cg19809636,0
cg09164559,0
cg12542281,0
cg27400644,0
cg15645986,0
cg19453769,0
cg08251499,0
cg05976652,0
cg05240795,0
cg03376183,0
cg16275960,0
cg15023571,0
cg07568517,0
cg16625170,0
cg00053010,0
cg02779667,0
cg23918923,0
cg16920581,0
cg08283932,0
cg06762403,0
cg15248353,0
cg08991232,0
cg20706638,0
cg03537301,0
cg02887499,0
cg03605037,0
cg15947940,0
cg24958916,0
cg04602387,0
cg00188503,0
cg05931345,0
cg00819696,0
cg10700647,0
cg02340053,0
cg25910506,0
cg16976047,0
cg24527785,0
cg02515730,0
cg24023859,0
cg14696535,0
cg20219159,0
cg18960642,0
cg07924535,0
cg17536960,0
cg19410967,0
cg11539424,0
cg12667257,0
cg13400176,0
cg17934743,0
cg05011838,0
cg16011258,0
cg11518020,0
cg03508928,0
cg26056831,0
cg22052758,0
cg15960928,0
cg00347643,0
cg16503683,0
cg24060954,0
cg09583839,0
cg16385431,0
cg11302887,0
cg11661250,0
cg20241801,0
cg20257411,0
cg23951927,0
cg24679411,0
cg07318284,0
cg13852791,0
cg18590590,0
cg13626544,0
cg05668580,0
cg25050353,0
cg24887381,0
cg13071476,0
cg22847089,0
cg13916316,0
cg16095615,0
cg17112155,0
cg04108615,0
cg03298319,0
cg23732384,0
cg16554933,0
cg00981797,0
cg04915566,0
cg23199238,0
cg26718354,0
cg26112797,0
cg26368718,0
cg05264454,0
cg11985680,0
cg09631044,0
cg09741588,0
cg04413724,0
cg09536031,0
cg05166316,0
cg00885506,0
cg06805546,0
cg02288001,0
cg00920818,0
cg12176476,0
cg13880786,0
cg03047098,0
cg24771349,0
cg05192269,0
cg02321381,0
cg27388618,0
cg03778669,0
cg11731114,0
cg23896578,0
cg12081743,0
cg03782956,0
cg07798892,0
cg07776900,0
cg22775896,0
cg25577940,0
cg11371933,0
cg25347362,0
cg24225147,0
cg25284208,0
cg03904607,0
cg09435617,0
cg13430225,0
cg03254875,0
cg05013250,0
cg12242373,0
cg15859850,0
cg25385412,0
cg00563699,0
cg06095699,0
cg17077639,0
cg00569673,0
cg21836903,0
cg21986225,0
cg24676817,0
cg09283635,0
cg24686380,0
cg02614129,0
cg08198132,0
cg23721301,0
cg16774604,0
cg23057284,0
cg00563238,0
cg06657243,0
cg21823101,0
cg15376949,0
cg16442226,0
cg14027857,0
cg06458732,0
cg04985652,0
cg23275463,0
cg12024328,0
cg22732432,0
cg16328540,0
cg05308900,0
cg05857979,0
cg24855730,0
cg15399604,0
cg19579903,0
cg06362065,0
cg00586909,0
cg26721264,0
cg04897621,0
cg10685559,0
cg06772644,0
cg05598969,0
cg04880751,0
cg15225701,0
cg18097281,0
cg10498361,0
cg08288226,0
cg20192481,0
cg00300039,0
cg06170754,0
cg24743639,0
cg03346802,0
cg24144175,0
cg20135607,0
cg26385438,0
cg07574621,0
cg01714890,0
cg19792908,0
cg27191131,0
cg18924222,0
cg09504398,0
cg00963305,0
cg11334838,0
cg14353079,0
cg26207201,0
cg01848594,0
cg19407459,0
cg25418007,0
cg12949807,0
cg26246658,0
cg24591318,0
cg15571376,0
cg18039643,0
cg06746360,0
cg04017458,0
cg00992385,0
cg02584969,0
cg25623977,0
cg03827423,0
cg16483840,0
cg26930584,0
cg10410170,0
cg27481208,0
cg08593668,0
cg13063357,0
cg11332441,0
cg26027796,0
cg10541313,0
cg06937548,0
cg26450944,0
cg27449651,0
cg12222574,0
cg06131526,0
cg16393012,0
cg00068621,0
cg09106817,0
cg14845385,0
cg01148786,0
cg26525486,0
cg13470919,0
cg15769201,0
cg23511613,0
cg23806715,0
cg24331312,0
cg20279673,0
cg04546950,0
cg17506056,0
cg02818811,0
cg23246978,0
cg19459834,0
cg15937634,0
cg23806084,0
cg02504465,0
cg13033090,0
cg02215070,0
cg01073375,0
cg01642168,0
cg26924012,0
cg17166258,0
cg08267614,0
cg03649649,0
cg20483690,0
cg14519036,0
cg18823846,0
cg23202316,0
cg13821008,0
cg13849422,0
cg04954144,0
cg14198223,0
cg17484629,0
cg05718343,0
cg27031435,0
cg12520919,0
cg02945007,0
cg05162533,0
cg27130302,0
cg05926280,0
cg18912520,0
cg18866106,0
cg15418155,0
cg18091469,0
cg07159858,0
cg08462306,0
cg06062519,0
cg01310019,0
cg16174301,0
cg15085322,0
cg08626560,0
cg23157971,0
cg08294750,0
cg12538400,0
cg05221369,0
cg22618571,0
cg08206898,0
cg16003500,0
cg24568245,0
cg00165639,0
cg26165853,0
cg04379969,0
cg09985530,0
cg26959053,0
cg16469426,0
cg01001468,0
cg01990225,0
cg05972047,0
cg01051546,0
cg16476890,0
cg14962032,0
cg10559416,0
cg08502490,0
cg12900942,0
cg27196691,0
cg21820436,0
cg06420049,0
cg25543316,0
cg09679897,0
cg26555463,0
cg03039025,0
cg21973275,0
cg01641455,0
cg03913924,0
cg25496071,0
cg05144432,0
cg00558737,0
cg19877371,0
cg12239750,0
cg00932688,0
cg08540602,0
cg26594331,0
cg26632494,0
cg26935619,0
cg13795465,0
cg10443987,0
cg11836012,0
cg04589027,0
cg10286310,0
cg02811312,0
cg24942272,0
cg06643390,0
cg06785302,0
cg21468825,0
cg23988749,0
cg12832355,0
cg12600418,0
cg12033781,0
cg26796396,0
cg19564098,0
cg21284119,0
cg17665164,0
cg13445358,0
cg14022881,0
cg16846653,0
cg09108797,0
cg22335490,0
cg26286805,0
cg23537517,0
cg10638599,0
cg11228113,0
cg26891576,0
cg02062326,0
cg20784525,0
cg11079525,0
cg26775843,0
cg14284289,0
cg06350353,0
cg25027091,0
cg05804587,0
cg14581887,0
cg05747376,0
cg10797910,0
cg13565723,0
cg00030422,0
cg11054680,0
cg24922817,0
cg06802812,0
cg05635455,0
cg11190156,0
cg15642704,0
cg03511806,0
cg06244522,0
cg10822593,0
