seqnames,start,end,width,strand,no.cpgs,min_smoothed_fdr,Stouffer,HMFDR,Fisher,maxdiff,meandiff,overlapping.genes,dmr_fdr
chr6,32551749,32552453,705,*,9,9.95837822781678e-16,3.77389148125924e-10,0.00689268899370422,6.28886468052687e-10,0.130075453647783,0.0578094952245448,HLA-DRB1,1.75750126282243e-06
chr17,80393124,80394416,1293,*,6,6.72678297032159e-15,9.24579415563185e-08,0.00518642384558885,1.8529763883017e-08,0.0396734792597124,0.0148753024016897,HEXDC,7.17627723046292e-05
chr20,57425979,57427830,1852,*,60,2.89118578110429e-16,8.76560641363627e-07,0.0385224523350199,1.45554225235142e-06,0.0362091697889658,0.00839418378654781,GNAS,0.000340178575569201
chr3,122281881,122281975,95,*,3,5.0519735076901e-10,2.27732967907952e-06,0.00702158268925885,6.77304076930161e-06,-0.039734179194151,-0.027804642665525,PARP9,0.000591780479908211
chr10,102295134,102296115,982,*,11,2.7747643272516e-08,3.44177625913228e-06,0.0162485825973341,3.72327404008726e-05,-0.0220716495402371,0.00384629748123737,HIF1AN,0.000728561456308138
chr14,106320202,106322429,2228,*,13,3.70209779595285e-08,4.54106317636601e-06,0.00689268899370422,6.77304076930161e-06,0.0256873994438043,0.00974040484610327,IGHM,0.000852066158514017
chr10,73848153,73849626,1474,*,14,8.96985594618965e-14,1.25585714213581e-05,0.0115405716428096,8.35211858955355e-07,0.0435178894967635,0.000721002621989416,SPOCK2,0.00182766459716452
chr4,40631571,40633269,1699,*,13,6.50920612121058e-09,1.25585714213581e-05,0.0161752269581799,2.56205497631747e-05,-0.0582090817994795,-0.0149956889916906,RBM47,0.00182766459716452
chr6,155537595,155538155,561,*,8,7.84954593361167e-08,4.38094018530665e-05,0.00996714305942744,4.50662353736883e-05,-0.0193209931565304,-0.00823749447543017,TIAM2,0.00453378632066068
chr17,47296970,47297928,959,*,5,9.55871747052122e-07,8.31173123565883e-05,0.0134889546471426,0.000166730747322971,0.0430275775718318,0.02706529836952,ABI3,0.00645128872741053
chr19,11074303,11074428,126,*,2,2.85465539769664e-06,7.34943012598157e-05,0.00689268899370422,0.000124899784856844,0.0730477547899077,0.0709063016571709,SMARCA4,0.00645128872741053
chr3,49394622,49396232,1611,*,11,1.06549394803492e-05,7.24016044732594e-05,0.0170519926846794,0.000134499371033283,-0.0309587259221769,-0.00614350462052402,GPX1,0.00645128872741053
chr15,75743753,75748421,4669,*,32,3.46264668880386e-05,7.24016044732594e-05,0.0375431115695562,0.000206059960062687,0.0157495552014465,0.00649457023934021,SIN3A,0.00645128872741053
chr21,45559077,45561490,2414,*,7,0.000666386665797437,8.59049839926838e-05,0.020709936560976,0.000535596716851526,0.0328953343625034,0.0187735862668645,C21orf33,0.00646267887104275
chr16,89034292,89035532,1241,*,6,2.74391511684999e-06,0.000129599291805226,0.0141371187403079,0.000351539280047053,0.0199891227948538,0.011496767173903,CBFA2T3,0.00900811793935725
chr12,69863677,69864653,977,*,10,2.04136647494308e-06,0.00018540389124311,0.0212955225216233,0.000513697884464039,-0.021750601705862,0.00635172167857961,FRS2,0.0107928240189895
chr11,67349590,67351786,2197,*,12,4.78288654280446e-05,0.000206057544245364,0.0503994859983955,0.00100598218261946,-0.0390963827478924,-0.00749583836588755,GSTP1,0.0114931214822248
chr12,62584454,62586892,2439,*,16,3.5511019195474e-05,0.000230441171009351,0.0347650754776464,0.000935169619947818,0.0152169677324494,0.00168824825983656,FAM19A2,0.0121950515158017
chr16,78601767,78601961,195,*,4,3.53217013491557e-07,0.000253832210038518,0.00333513406649978,0.000108808474897213,-0.0150283615421499,-0.0114741438845181,WWOX,0.0128488761103193
chr16,936480,937477,998,*,3,5.70156381472499e-06,0.000262373944054774,0.010286402887336,0.000388099572931914,0.0117505009234061,0.00558713215601077,LMF1,0.0131384457791729
chr12,69633854,69634561,708,*,5,7.33105630748408e-07,0.000291186404199903,0.00934337517034838,0.000410724346532896,0.0199498301498738,0.00888233899591707,CPSF6,0.0141255737954057
chr4,83955429,83956251,823,*,10,2.46724684606266e-05,0.000296920318088589,0.0368152743308677,0.00120486664860286,0.0185003062657892,0.00782949641794015,COPS4,0.0142552363024594
chr20,57430663,57431303,641,*,3,3.42436384115611e-09,0.000320575704899017,0.00323287475161154,3.10674857283816e-05,0.0330030110491252,0.0184382567862587,GNAS,0.0152338883440278
chr17,62007912,62009835,1924,*,7,0.000467032973947397,0.000357878868411242,0.0188537937535769,0.00100598218261946,-0.0276087065301178,-0.00339106499406046,CD79B,0.0165014048533778
chr17,37028105,37028977,873,*,4,1.44499028131218e-05,0.00039595999526415,0.00928924739848483,0.000406700033117533,0.0303210820705084,0.0163633134295236,LASP1,0.0172120649762795
chr12,125282342,125282561,220,*,3,6.60970730397744e-05,0.000399163198934548,0.0132697697726765,0.000948309384802739,0.00647697225387123,0.00126008063695426,SCARB1,0.0172120649762795
chr12,133120548,133121162,615,*,4,9.63966925172118e-06,0.000596408565406431,0.0136441385691954,0.000738280253327069,0.0347802816646726,0.0195722319921559,FBRSL1,0.0205389222892432
chr6,32974897,32978775,3879,*,55,1.27121252215979e-05,0.000596408565406431,0.0384410860343522,0.000117747699831293,0.0387238186249531,0.000366251204269012,HLA-DOA,0.0205389222892432
chr7,73819814,73820652,839,*,4,5.2377645631136e-05,0.000537815937450097,0.012288931516823,0.00100598218261946,-0.0176527445575116,-0.00894640880000655,CLIP2,0.0205389222892432
chr14,69442697,69443683,987,*,3,7.11711294141831e-05,0.000560035517117996,0.0128597667955898,0.00113883288517339,-0.0236554227436387,-0.012452055225164,ACTN1,0.0205389222892432
chr16,57022486,57023835,1350,*,13,2.28806794259414e-20,0.000674539297110373,6.29455881944018e-05,5.79577943337373e-09,0.0337992963196251,0.00496574689966472,NLRC5,0.0212167694722527
chr1,226925702,226927988,2287,*,13,1.3595062911814e-05,0.000674539297110373,0.0138794694307532,0.00034813219789959,0.0538012568710835,0.0131992493732173,ITPKB,0.0212167694722527
chr3,98452218,98453086,869,*,5,6.26625434897717e-05,0.00068676206804591,0.0119930221243463,0.0010159239411616,0.0168881012258415,0.00739422795827057,ST3GAL6,0.0212167694722527
chr3,71111923,71114335,2413,*,11,0.00111727634805256,0.000687939057399647,0.0344899863433003,0.00151613249197583,0.0313408151440265,0.00976062708305523,FOXP1,0.0212167694722527
chr19,44716462,44716952,491,*,8,0.000202264559377176,0.000749154379829793,0.0294590910682675,0.00255054419070542,0.0314017436944287,0.0186940127456941,ZNF227,0.0222217321456519
chr6,42951711,42952586,876,*,13,1.47103714413357e-09,0.00138346144157354,0.00702158268925885,0.00011587724147943,-0.0168708798381451,0.00174832934235519,PPP2R5D,0.0222873627237108
chr6,29576329,29577348,1020,*,8,6.22163661386364e-07,0.00182424867771496,0.0125048336720324,0.000921687233202585,0.0229538918862764,0.00682794310147357,GABBR1,0.0222873627237108
