seqnames,start,end,width,strand,no.cpgs,min_smoothed_fdr,Stouffer,HMFDR,Fisher,maxdiff,meandiff,overlapping.genes,sex,dmr_fdr
chr6,32847527,32847845,319,*,15,1.33063395041462e-07,2.75776057382028e-09,0.0289674826696924,1.20067461968774e-06,0.0176252847200795,0.00526870391584105,PPP1R2P1,M,9.41499459902243e-06
chr17,73583355,73584617,1263,*,10,1.33063395041462e-07,2.12597800964636e-05,0.021604678989596,1.80504114153616e-05,-0.022269474815326,-0.00566945310262494,MYO15B,M,0.0110891791530635
chr17,40822424,40823930,1507,*,7,2.18474376174258e-07,2.12597800964636e-05,0.0233585058160614,3.09482513056592e-05,-0.0360258471577828,-0.0243629607277412,PLEKHH3,M,0.0110891791530635
chr5,1106118,1108401,2284,*,9,2.36780839827848e-07,2.12597800964636e-05,0.0233585058160614,1.80504114153616e-05,-0.0640559269667373,-0.0129719044752723,SLC12A7,M,0.0110891791530635
chr3,111717534,111718457,924,*,11,3.66951704201428e-07,2.12597800964636e-05,0.0202658751811579,2.34127844001239e-05,-0.0545314460109738,-0.0237649640180933,TAGLN3,M,0.0110891791530635
chr6,32605694,32609212,3519,*,8,1.26579037500254e-06,2.92333369588668e-05,0.0202658751811579,4.78667312891204e-05,-0.110540672682677,-0.082902515155226,HLA-DQA1,M,0.0110891791530635
chr11,60719947,60720229,283,*,3,1.46338083833634e-06,2.92333369588668e-05,0.0202658751811579,3.62869090890932e-05,-0.0303047388521475,-0.0153652732393335,SLC15A3,M,0.0110891791530635
chr20,61583537,61584850,1314,*,11,1.71089676604128e-05,2.12597800964636e-05,0.0263876926911652,0.000170969540254878,-0.0418811399886061,-0.0203802956513845,SLC17A9,M,0.0110891791530635
chr7,1065956,1068244,2289,*,12,0.000976825048770745,2.37028373896236e-05,0.0266845102559005,0.000119700893297161,-0.0313265408066425,-0.00439003737856765,C7orf50,M,0.0110891791530635
chr15,81426347,81426820,474,*,10,4.68926771839272e-07,5.89368648941523e-05,0.0299644652890445,0.000251459614802019,-0.0221367795324212,-0.011296550998146,C15orf26,M,0.0167675380623863
chr17,57915665,57916643,979,*,5,6.85926644421362e-06,4.9706341580191e-05,0.0233585058160614,0.000325237258467311,0.0306911086463991,0.0122970117277335,VMP1,M,0.0167675380623863
chr17,79224306,79225974,1669,*,7,0.000110382179159233,5.89368648941523e-05,0.0266845102559005,0.000624957086585093,-0.0106474095728984,-0.00288405633987118,SLC38A10,M,0.0167675380623863
chr20,57426215,57428032,1818,*,58,3.00042754674756e-06,9.11738507642603e-05,0.0833562043724236,0.000577427064221067,0.0228637620472543,0.00430839815208407,GNAS,M,0.0239436558853219
chr6,32819858,32821684,1827,*,50,3.95715529507021e-07,0.0152245225827547,0.0233585058160614,0.00624245105611033,0.0928823068348169,0.0139004136119378,"PSMB9, TAP1",M,0.0435352689678904
chr4,15964743,15965425,683,*,9,4.80825274031114e-07,0.00298151867630865,0.0233585058160614,0.000867330122024769,-0.0117321511645546,-0.00254087951925372,"FGFBP2, PROM1",M,0.0435352689678904
chr2,176994142,176995556,1415,*,11,6.59362454531423e-07,0.0127116841801839,0.0233585058160614,0.00661289026698485,-0.0242095720871768,-0.0120384500090884,"HOXD8, HOXD-AS2",M,0.0435352689678904
chr16,29673680,29676071,2392,*,13,1.41049294853374e-06,0.000319639272406015,0.0233585058160614,0.000265366408526099,-0.00978100704689371,-0.00172965192426538,"SPN, QPRT",M,0.0435352689678904
chr1,24741723,24743029,1307,*,11,1.68005296349962e-06,0.000293209357973261,0.0233585058160614,0.000325237258467311,0.0215512368654432,0.00681211737129201,"NIPAL3, STPG1",M,0.0435352689678904
chr6,170571143,170572016,874,*,10,1.68005296349962e-06,0.00231111395873512,0.0233585058160614,0.0012421742675237,-0.040465128816741,-0.017681933166358,RP5-1086L22.1,M,0.0435352689678904
chr16,57022486,57023835,1350,*,13,2.04983818056764e-06,0.0168744306002674,0.0206612397210575,0.00624245105611033,0.0309822905926357,0.0051498845016688,NLRC5,M,0.0435352689678904
chr7,130130383,130132199,1817,*,37,2.85941536753522e-06,0.0206853732007801,0.0699023578755558,0.0141819719299124,-0.0336240042028474,-0.00645580188745367,MEST,M,0.0435352689678904
chr20,57462798,57466137,3340,*,67,4.22741778181301e-06,0.0110156981734278,0.0456494292333261,0.00565274150125251,0.0272398437344041,0.000275069785464447,"GNAS, RP1-309F20.3",M,0.0435352689678904
chr11,87908134,87908938,805,*,11,5.27043606733994e-06,0.00261302483819095,0.0233585058160614,0.000543067197586132,-0.0339227300710261,-0.0151571857390641,RAB38,M,0.0435352689678904
chr12,110433562,110434341,780,*,9,6.64414307963126e-06,0.00859304392143563,0.0233585058160614,0.00106630338429617,0.0150761507583478,0.00491626928372045,GIT2,M,0.0435352689678904
chr1,39956641,39957535,895,*,12,9.89346984415472e-06,0.0103374354163179,0.0234591291487607,0.0044028521840317,-0.0108225830057223,0.000115826969558171,BMP8A,M,0.0435352689678904
chr6,31632320,31634349,2030,*,51,1.79956961424888e-05,0.0111002988676974,0.0362494622303506,0.00482275137045855,0.0217810338686494,0.00648740463254801,"CSNK2B, CSNK2B-LY6G5B-1181, GPANK1",M,0.0435352689678904
chr5,194530,196162,1633,*,10,2.58835828120586e-05,0.00220724455926673,0.0233585058160614,0.000968881585821405,0.0182894870322413,0.00461721659781754,"LRRC14B, CTD-2083E4.7",M,0.0435352689678904
chr14,81425912,81426577,666,*,5,2.58835828120586e-05,0.00540669462262218,0.0233585058160614,0.00252897826702983,0.0506963380321687,0.0310057198705593,TSHR,M,0.0435352689678904
chr6,29520698,29521803,1106,*,39,2.95293487271772e-05,0.00157179235735462,0.047087327169043,0.00122400206663358,-0.0175387022180142,-0.00388729102927598,OR2I1P,M,0.0435352689678904
chr3,137905836,137906843,1008,*,9,3.34917141182871e-05,0.00938571250269251,0.0233585058160614,0.0044028521840317,-0.00844654688591409,-0.000395849844665337,ARMC8,M,0.0435352689678904
chr7,101961796,101962267,472,*,4,3.56731385042255e-05,0.000319639272406015,0.0233585058160614,0.0012421742675237,-0.0207545389195815,-0.0118151290846287,SH2B2,M,0.0435352689678904
chr12,89743788,89746101,2314,*,13,4.47835723400034e-05,0.000293209357973261,0.0233585058160614,0.000543067197586132,-0.0436773074084204,-0.0160504277766218,DUSP6,M,0.0435352689678904
chr1,27675587,27677240,1654,*,7,4.52622007585426e-05,0.000319639272406015,0.0295627391792468,0.00205300328085487,-0.0485087600189513,-0.0278711704518848,SYTL1,M,0.0435352689678904
chr22,42486499,42487540,1042,*,13,4.78951911033182e-05,0.00441926676824628,0.0233585058160614,0.00380035662218785,0.00767555695803936,0.00278619766412423,"NDUFA6-AS1, NDUFA6",M,0.0435352689678904
chr16,89179742,89180843,1102,*,5,4.78951911033182e-05,0.00654448163127219,0.0179040368427815,0.00205300328085487,0.0365052223624734,0.0150721969732391,"ACSF3, CTD-2555A7.3",M,0.0435352689678904
chr17,79005386,79006667,1282,*,8,4.93336253156963e-05,0.00762155039572724,0.0233585058160614,0.00624245105611033,-0.0808811284650081,-0.0389351812056673,BAIAP2-AS1,M,0.0435352689678904
chr8,121823462,121824742,1281,*,13,5.22820490582907e-05,0.0131828397049383,0.0233585058160614,0.00981680372820854,0.0209338985688093,0.00395723306567165,"RP11-713M15.2, SNTB1",M,0.0435352689678904
chr4,76598323,76599597,1275,*,14,5.26509450396729e-05,0.00649125786448897,0.0253601289941328,0.00624245105611033,-0.024189343590329,0.000261102379407878,G3BP2,M,0.0435352689678904
chr16,1510115,1510890,776,*,3,5.28374697437492e-05,0.00280344289485033,0.0206612397210575,0.00305177600413268,0.00166544240145539,0.00122688288641744,CLCN7,M,0.0435352689678904
chr20,17549599,17551166,1568,*,11,5.35888331733417e-05,0.00337925555283777,0.0233585058160614,0.00109701681560533,-0.0317742600861208,-0.000944530027977024,"DSTN, BFSP1",M,0.0435352689678904
chr17,73996245,73996906,662,*,6,5.4257354439113e-05,0.0111002988676974,0.0233585058160614,0.00787304184110835,-0.0243357393019769,-0.0114052877795147,"TEN1, TEN1-CDK3",M,0.0435352689678904
chr12,104850716,104853274,2559,*,15,6.05368468752088e-05,0.00324797873733309,0.0242437275604303,0.00205300328085487,-0.034312004303261,0.0010626356703394,CHST11,M,0.0435352689678904
chr12,132670858,132671887,1030,*,6,6.42007945207949e-05,0.000301386878913003,0.0235904994458281,0.00107771696287325,0.0337273078907066,0.0200787594199087,RP13-977J11.2,M,0.0435352689678904
chr4,78977420,78979559,2140,*,13,8.97318191789981e-05,0.00882096214217387,0.0266261432576745,0.00648990051710565,0.0236487333303152,0.00111826138783681,FRAS1,M,0.0435352689678904
chr4,2470698,2471727,1030,*,9,9.01269047818014e-05,0.0168573987605194,0.0206612397210575,0.00865640394328653,0.0315526799887267,0.00659871742215741,RNF4,M,0.0435352689678904
chr7,101499638,101500514,877,*,4,9.3520792776102e-05,0.0193656402839387,0.0202658751811579,0.00363643403182788,-0.0701738222233657,-0.00902094729910506,CUX1,M,0.0435352689678904
chr1,24194307,24195659,1353,*,16,0.000119792207154198,0.00280344289485033,0.0515416215796444,0.00766643874363004,-0.031695504942367,-0.00566621745904853,FUCA1,M,0.0435352689678904
chr16,8806359,8807043,685,*,13,0.000129254866039127,0.00184973483501972,0.0643218351729778,0.00648990051710565,-0.0306916001885735,-0.0200815631956444,ABAT,M,0.0435352689678904
chr11,1769152,1770181,1030,*,11,0.000131110142910906,0.000513569621788971,0.0343948191417289,0.0019182848028051,0.0491929113633783,0.0156626348181727,"IFITM10, RP11-295K3.1",M,0.0435352689678904
chr8,43058931,43060278,1348,*,7,0.000131730295252649,0.0162600097703877,0.0202658751811579,0.00938417789931718,-0.011805746160351,-0.00277974783022404,,M,0.0435352689678904
chr19,41255444,41257233,1790,*,13,0.000148979755683896,0.0136553802661991,0.0202658751811579,0.00648990051710565,-0.0150450455761004,0.000465382820072381,"SNRPA, C19orf54",M,0.0435352689678904
chr19,40948296,40949452,1157,*,8,0.000161362794254431,0.00415921676191943,0.0233585058160614,0.00334051196509202,-0.0629055550651407,-0.00226181798403842,"CTC-492K19.4, SERTAD3",M,0.0435352689678904
chr3,113464350,113465485,1136,*,7,0.000162859717832472,0.00115793247877409,0.0302433789133901,0.00415664082706976,0.0165987020657295,0.00551907381602331,NAA50,M,0.0435352689678904
chr1,229693798,229695045,1248,*,6,0.000167064859587567,0.00298151867630865,0.0234591291487607,0.00202902755258003,0.0164090881206449,0.00291707959940296,ABCB10,M,0.0435352689678904
chr5,122110361,122111354,994,*,12,0.000171156887644782,0.0104442847435493,0.0256553215837188,0.0105372651597151,0.0112178354980661,0.00121699120877177,SNX2,M,0.0435352689678904
chr20,25603976,25605178,1203,*,13,0.000179547799923014,0.00270787957277339,0.0250015146274255,0.00513375153280421,0.0276844482968444,0.00457054965297155,"ZNF337-AS1, NANP",M,0.0435352689678904
chr1,159046391,159047163,773,*,7,0.000192085764771898,0.00998370442527041,0.0233585058160614,0.00787304184110835,0.0438687641149864,0.00859127040207646,AIM2,M,0.0435352689678904
chr13,110790284,110791045,762,*,8,0.000194986496509962,0.0142767659938796,0.0233585058160614,0.00624245105611033,-0.00696145262201761,0.000841164360897397,,M,0.0435352689678904
chr10,45473712,45474372,661,*,3,0.000201375300063935,0.00128835735339997,0.0234591291487607,0.00334051196509202,-0.0323279182327466,-0.023797391260538,"RASSF4, C10orf10",M,0.0435352689678904
chr12,27396229,27397833,1605,*,14,0.000213239421703615,0.00951979868891343,0.0329566360264307,0.00601894928070088,-0.0832642277193332,-0.0148292998820592,STK38L,M,0.0435352689678904
chr1,170634330,170634931,602,*,3,0.000219861100150406,0.00367151472669831,0.0206612397210575,0.00363643403182788,-0.00993472957961894,-0.0073811071264387,PRRX1,M,0.0435352689678904
chr9,124855628,124855907,280,*,3,0.000257126517160459,0.00315304057291081,0.0206612397210575,0.00320690217506772,0.0090684289466213,0.00479181439640556,TTLL11,M,0.0435352689678904
chr11,105947257,105949106,1850,*,28,0.000258731112061971,0.011335813940671,0.0472723732020523,0.0117395405751526,-0.0195410122631132,0.00249508856136484,"AASDHPPT, KBTBD3",M,0.0435352689678904
chr1,114300298,114302602,2305,*,14,0.000274585708428545,0.00926789181349127,0.0233585058160614,0.00319993462043421,-0.016082007831068,0.00131367205096088,PHTF1,M,0.0435352689678904
chr17,80230660,80231324,665,*,4,0.000280560648785296,0.0127116841801839,0.0233585058160614,0.0113891003471163,0.0143792463181794,0.00709724970518044,CSNK1D,M,0.0435352689678904
chr14,55368706,55369959,1254,*,9,0.000301856013863683,0.0177126589102352,0.0233585058160614,0.0103452205161685,0.0103214894910968,0.00365591825864503,GCH1,M,0.0435352689678904
chr6,128839906,128841426,1521,*,5,0.000301856013863683,0.0123186039099236,0.0233585058160614,0.0106669536634452,-0.00883367184959422,0.000571062498674605,PTPRK,M,0.0435352689678904
chr20,37352612,37353907,1296,*,11,0.000303006352558408,0.00340583836937999,0.056346093808015,0.00806888352874689,-0.0203531892840967,-0.0064701247969107,SLC32A1,M,0.0435352689678904
chr19,12885939,12886986,1048,*,11,0.000306710785746087,0.011335813940671,0.0234591291487607,0.0124139845635406,-0.00951041219824311,-0.000951904166284073,HOOK2,M,0.0435352689678904
chr16,88099702,88101502,1801,*,6,0.000311608703858248,0.00184973483501972,0.0234591291487607,0.00196273496779947,0.0085142197668836,0.00105804721206635,BANP,M,0.0435352689678904
chr1,198648849,198649189,341,*,3,0.000315289640435324,0.00476814704006162,0.0206612397210575,0.00513375153280421,0.0346466325457937,0.0106406635168164,"PTPRC, PEBP1P3",M,0.0435352689678904
chr1,1564422,1565541,1120,*,7,0.000333934195585388,0.00280654948407397,0.0413871914171421,0.00662087946761718,-0.0148555513880122,-0.00654410363625197,MIB2,M,0.0435352689678904
chr15,41575421,41576837,1417,*,15,0.000334536953388251,0.00415921676191943,0.0445324795550881,0.00624245105611033,0.0176107244719903,0.0055070407536144,OIP5-AS1,M,0.0435352689678904
chr17,47301348,47301741,394,*,3,0.000341665548297429,0.00649125786448897,0.0206612397210575,0.00592302854677357,-0.0234183300204804,-0.0100433044943543,PHOSPHO1,M,0.0435352689678904
chr1,14075362,14076293,932,*,10,0.000354324975066998,0.0186758108330613,0.0233585058160614,0.0117730396805224,0.00892008809667334,0.00161017528054574,PRDM2,M,0.0435352689678904
chr14,36002441,36003211,771,*,10,0.000355048924446215,0.0164583499727536,0.0233585058160614,0.0138388791685029,0.0176803040585751,0.00331237489515145,,M,0.0435352689678904
chr22,38201848,38202659,812,*,3,0.000393471775862039,0.00325470028469993,0.0233585058160614,0.00624245105611033,-0.0148778492863394,-0.0120884528018464,H1F0,M,0.0435352689678904
chr8,144922496,144924219,1724,*,9,0.000395225369898735,0.0145294971495214,0.0233585058160614,0.0111331297079061,-0.00799115108298709,0.000201865151258814,NRBP2,M,0.0435352689678904
chr14,45722043,45723353,1311,*,11,0.000397140306491494,0.0149009055707448,0.0293858569042727,0.00938417789931718,-0.0077834995750441,0.000459439176561877,MIS18BP1,M,0.0435352689678904
chr12,4140243,4141051,809,*,6,0.000418825974732673,0.0109142252241277,0.0282553963250418,0.0113891003471163,-0.0183946144916975,-0.00586709826527317,,M,0.0435352689678904
chr15,45028083,45028595,513,*,5,0.000430961907300064,0.00298151867630865,0.0233585058160614,0.00513375153280421,0.036372590438334,0.0119028416387655,TRIM69,M,0.0435352689678904
chr14,52780919,52781800,882,*,5,0.000476179995583683,0.0115511151000006,0.0243026667967867,0.0113891003471163,-0.00326636808974833,-0.000725498490950962,PTGER2,M,0.0435352689678904
chr3,151986340,151987978,1639,*,11,0.000476378312608319,0.0068485254497743,0.0290621670154726,0.00766643874363004,-0.0133646535845482,0.00181828541442209,"MBNL1, MBNL1-AS1",M,0.0435352689678904
chr6,31695027,31696333,1307,*,23,0.000477013377527902,0.0161368921137146,0.0233585058160614,0.0135314871506981,-0.0519569257320058,-0.0120105068553572,DDAH2,M,0.0435352689678904
chr16,54964332,54965929,1598,*,12,0.000480343889588363,0.00628450349901009,0.0280036425039933,0.00766643874363004,0.0156276396884457,-0.00559926780858755,IRX5,M,0.0435352689678904
chr17,6946527,6947464,938,*,10,0.000508816426894513,0.0111002988676974,0.0242437275604303,0.00594478125514883,-0.00807749389882775,-0.00401892494397088,SLC16A11,M,0.0435352689678904
chr19,38893155,38894407,1253,*,11,0.00051780357657168,0.0105641837850688,0.0233585058160614,0.00952195593740607,0.0107939227707899,0.00385813166215215,FAM98C,M,0.0435352689678904
chr17,38464679,38465510,832,*,9,0.00052255477649421,0.00184973483501972,0.0321331941670658,0.00275235970357251,-0.0443224988923637,-0.0222044895335582,RARA,M,0.0435352689678904
chr6,31095276,31096204,929,*,7,0.00052368961342462,0.00853016407190692,0.0261158118241463,0.00975934362050031,-0.0104246827407383,-0.00520271942752523,PSORS1C1,M,0.0435352689678904
chr17,46969672,46970705,1034,*,11,0.000565386406793563,0.0150294553001453,0.0206612397210575,0.0106163155318586,0.020901243994474,0.00607351220554818,"ATP5G1, SUMO2P17",M,0.0435352689678904
chr19,17356142,17357641,1500,*,10,0.000565386406793563,0.00124049365838,0.0248451625762699,0.0016630520321751,-0.0361477879128829,-0.00697723719441068,"NR2F6, AC010646.3",M,0.0435352689678904
chr16,67232921,67233983,1063,*,6,0.000565557720660436,0.0031039693659478,0.0369871268025476,0.00787304184110835,-0.0433323637632866,-0.0321088237456285,ELMO3,M,0.0435352689678904
chr19,58739734,58740861,1128,*,13,0.000568968199809477,0.00455891804325723,0.0297480812233591,0.00380035662218785,0.0331679934216591,0.00598427415358774,"ZNF544, CTD-3138B18.4",M,0.0435352689678904
chr12,4273763,4274683,921,*,5,0.000596702804429156,0.0149873660698433,0.0233585058160614,0.00672945538897097,-0.0193853704466239,0.000931996272740032,,M,0.0435352689678904
chr19,6534760,6534936,177,*,4,0.000627215102594899,0.000573158052759094,0.0234591291487607,0.00191101060911676,0.014826459328764,0.00758315363549883,TNFSF9,M,0.0435352689678904
chr5,40681893,40682333,441,*,3,0.000655870164935083,0.00871193362915794,0.0233585058160614,0.0082906845821749,-0.00307710280724872,-0.000123860939054352,PTGER4,M,0.0435352689678904
chr19,47287778,47288263,486,*,6,0.000689973748720055,0.00540669462262218,0.0303589973077256,0.00766643874363004,-0.0230152967220391,-0.0117685862394084,SLC1A5,M,0.0435352689678904
chr11,85358506,85359560,1055,*,11,0.000690061804511209,0.0110156981734278,0.0234591291487607,0.0113891003471163,-0.00503850273343888,0.000304352132950347,TMEM126A,M,0.0435352689678904
chr17,34135736,34136647,912,*,11,0.000719020898580052,0.018240981312292,0.0471667264802138,0.0138388791685029,0.00987464044525724,0.00181267114093184,"TAF15, AC015849.12",M,0.0435352689678904
chr3,101395512,101396658,1147,*,9,0.000719020898580052,0.00461805388625372,0.0256602546323,0.00766643874363004,-0.0101114679948178,0.00108134376989044,"ZBTB11-AS1, ZBTB11",M,0.0435352689678904
chr1,158119395,158120045,651,*,6,0.000752834341941229,0.0107169920920582,0.0269763486635569,0.0101147009476445,-0.0194892005877248,-0.0120673619986596,,M,0.0435352689678904
chr8,21966736,21967328,593,*,3,0.00075643370240563,0.0102417959097921,0.0233585058160614,0.00980710825069061,0.00535722420126268,0.003117185210391,NUDT18,M,0.0435352689678904
chr17,16492455,16492891,437,*,4,0.000788928809864339,0.0155150599309304,0.0202658751811579,0.00952195593740607,0.0100642756815803,0.00485389250074846,,M,0.0435352689678904
chr1,149169973,149170352,380,*,5,0.000796639869920757,0.00479976095794714,0.025827449688234,0.00807414136827205,-0.0598430196802998,-0.0206854136996574,,M,0.0435352689678904
chr14,106320510,106321551,1042,*,6,0.000808990748373057,0.00467435635957338,0.0234591291487607,0.00638420337136269,0.0217494920901978,0.00748197582690086,IGHM,M,0.0435352689678904
chr11,6341349,6342510,1162,*,14,0.000841691505786415,0.016136031704529,0.0532465685911741,0.0138388791685029,-0.0105986220539171,-0.0015308904936821,PRKCDBP,M,0.0435352689678904
chr11,20626786,20627781,996,*,5,0.000876145172376936,0.0158567565967111,0.0233585058160614,0.0138388791685029,-0.0149452881471138,-0.00908217649481306,SLC6A5,M,0.0435352689678904
chr12,57620054,57620856,803,*,3,0.00087835314049829,0.00198591382383699,0.0233585058160614,0.00352102508234112,-0.0400375020739262,-0.0226220606589575,NXPH4,M,0.0435352689678904
chr20,3189311,3190600,1290,*,14,0.000909715499713631,0.0142767659938796,0.0252055778399041,0.00780294025378139,-0.0302427021110019,0.0039254625777356,ITPA,M,0.0435352689678904
chr2,25391042,25391911,870,*,13,0.000924233043415315,0.00649125786448897,0.0251378968007688,0.00629078855245396,-0.024470829979012,-0.00532087666227409,POMC,M,0.0435352689678904
chr18,48556216,48557509,1294,*,12,0.000943797830080918,0.0122893885721071,0.0268165047863794,0.0118162487962223,0.00816262089682721,0.00393600465880235,"RP11-729L2.2, SMAD4",M,0.0435352689678904
chr11,22453679,22454661,983,*,7,0.000951094536117372,0.00954485737745683,0.0233585058160614,0.00766643874363004,-0.0326719698188404,-0.000578149318636503,,M,0.0435352689678904
chr17,79282893,79283959,1067,*,13,0.000970164534557047,0.0122954004054713,0.076388344698325,0.0141296389142284,-0.0267608518050178,-0.00698278260742143,LINC00482,M,0.0435352689678904
chr6,29012269,29013336,1068,*,5,0.000982025870333742,0.00195323609503671,0.0249312225652738,0.00415723389930438,0.036561557129948,0.0157294492878724,OR2W1,M,0.0435352689678904
chr7,150065170,150066001,832,*,11,0.000983534829128064,0.0166920595309894,0.0240329280494642,0.0123825107660651,0.0059607516731726,0.00271159563393354,"REPIN1, ZNF775, RP4-584D14.5",M,0.0435352689678904
chr22,38239648,38241384,1737,*,12,0.00101389232634904,0.0146566492980532,0.0260515400813359,0.0117284175825128,0.0110035313626215,0.00186185485879368,"ANKRD54, MIR658",M,0.0435352689678904
chr8,38324024,38326209,2186,*,9,0.00101799955466656,0.00585984510888269,0.0312872778859561,0.00811198055364608,0.0142012044381861,0.00265410267085873,FGFR1,M,0.0435352689678904
chr6,170580947,170581890,944,*,9,0.00102968663858221,0.000574976731754722,0.0353758430106705,0.00352102508234112,0.0345051846631201,0.0179757715736075,"RP5-894D12.3, RP5-894D12.5",M,0.0435352689678904
chr19,58545001,58546307,1307,*,12,0.00105753123422239,0.00566918102017559,0.0361591729723337,0.00661289026698485,-0.0401430950789875,-0.016688207543857,ZSCAN1,M,0.0435352689678904
