cpg,gene,dmr_fdr,tier
cg00063006,PPP1R2P1,9.41499459902243e-06,DMR_top50
cg00797104,PPP1R2P1,9.41499459902243e-06,DMR_top50
cg00892368,PPP1R2P1,9.41499459902243e-06,DMR_top50
cg01607625,PPP1R2P1,9.41499459902243e-06,DMR_top50
cg02269978,PPP1R2P1,9.41499459902243e-06,DMR_top50
cg07189222,PPP1R2P1,9.41499459902243e-06,DMR_top50
cg08873792,PPP1R2P1,9.41499459902243e-06,DMR_top50
cg09318162,PPP1R2P1,9.41499459902243e-06,DMR_top50
cg15076318,PPP1R2P1,9.41499459902243e-06,DMR_top50
cg16454316,PPP1R2P1,9.41499459902243e-06,DMR_top50
cg17352045,PPP1R2P1,9.41499459902243e-06,DMR_top50
cg18942934,PPP1R2P1,9.41499459902243e-06,DMR_top50
cg19628603,PPP1R2P1,9.41499459902243e-06,DMR_top50
cg21685006,PPP1R2P1,9.41499459902243e-06,DMR_top50
cg24639679,PPP1R2P1,9.41499459902243e-06,DMR_top50
cg00199007,SLC17A9,0.0110891791530635,DMR_top50
cg00204465,MYO15B,0.0110891791530635,DMR_top50
cg00727912,SLC17A9,0.0110891791530635,DMR_top50
cg01817521,SLC17A9,0.0110891791530635,DMR_top50
cg02762475,SLC12A7,0.0110891791530635,DMR_top50
cg02919082,HLA-DQA1,0.0110891791530635,DMR_top50
cg03744440,MYO15B,0.0110891791530635,DMR_top50
cg03870746,C7orf50,0.0110891791530635,DMR_top50
cg03978242,PLEKHH3,0.0110891791530635,DMR_top50
cg04054303,HLA-DQA1,0.0110891791530635,DMR_top50
cg04478428,SLC17A9,0.0110891791530635,DMR_top50
cg04671541,TAGLN3,0.0110891791530635,DMR_top50
cg04738888,MYO15B,0.0110891791530635,DMR_top50
cg04816311,C7orf50,0.0110891791530635,DMR_top50
cg05370853,HLA-DQA1,0.0110891791530635,DMR_top50
cg05932042,PLEKHH3,0.0110891791530635,DMR_top50
cg06390536,MYO15B,0.0110891791530635,DMR_top50
cg06590302,MYO15B,0.0110891791530635,DMR_top50
cg07173972,SLC17A9,0.0110891791530635,DMR_top50
cg07217954,C7orf50,0.0110891791530635,DMR_top50
cg07968906,PLEKHH3,0.0110891791530635,DMR_top50
cg08082908,C7orf50,0.0110891791530635,DMR_top50
cg08781140,MYO15B,0.0110891791530635,DMR_top50
cg08830157,SLC12A7,0.0110891791530635,DMR_top50
cg09050160,SLC12A7,0.0110891791530635,DMR_top50
cg11104313,TAGLN3,0.0110891791530635,DMR_top50
cg11235297,SLC12A7,0.0110891791530635,DMR_top50
cg12146829,SLC12A7,0.0110891791530635,DMR_top50
cg12184886,MYO15B,0.0110891791530635,DMR_top50
cg13408214,PLEKHH3,0.0110891791530635,DMR_top50
